algorithm,dataset,timestep,anomaly_score
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,0,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,1,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,2,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,3,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,4,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,5,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,6,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,7,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,8,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,9,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,10,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,11,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,12,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,13,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,14,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,15,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,16,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,17,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,18,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,19,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,20,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,21,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,22,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,23,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,24,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,25,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,26,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,27,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,28,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,29,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,30,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,31,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,32,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,33,0.0
Det1,KPI-ab216663-dcc2-3a24-b1ee-2c3e550e06c9.train,34,0.0
