algorithm,dataset,timestep,anomaly_score
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,0,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,1,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,2,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,3,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,4,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,5,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,6,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,7,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,8,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,9,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,10,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,11,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,12,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,13,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,14,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,15,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,16,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,17,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,18,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,19,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,20,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,21,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,22,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,23,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,24,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,25,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,26,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,27,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,28,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,29,0.0
Det4,KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.train,30,0.0
