algorithm,dataset,timestep,anomaly_score
IsolationForestDetector,IOPS_4,0,0.0
IsolationForestDetector,IOPS_4,1,0.0
IsolationForestDetector,IOPS_4,2,0.0
IsolationForestDetector,IOPS_4,3,0.0
IsolationForestDetector,IOPS_4,4,0.0
IsolationForestDetector,IOPS_4,5,0.0
IsolationForestDetector,IOPS_4,6,0.0
IsolationForestDetector,IOPS_4,7,0.0
IsolationForestDetector,IOPS_4,8,0.0
IsolationForestDetector,IOPS_4,9,0.0
IsolationForestDetector,IOPS_4,10,0.0
IsolationForestDetector,IOPS_4,11,0.0
IsolationForestDetector,IOPS_4,12,0.0
IsolationForestDetector,IOPS_4,13,0.0
IsolationForestDetector,IOPS_4,14,0.0
IsolationForestDetector,IOPS_4,15,0.0
IsolationForestDetector,IOPS_4,16,0.0
IsolationForestDetector,IOPS_4,17,0.0
IsolationForestDetector,IOPS_4,18,0.0
IsolationForestDetector,IOPS_4,19,0.0
IsolationForestDetector,IOPS_4,20,0.0
IsolationForestDetector,IOPS_4,21,0.0
IsolationForestDetector,IOPS_4,22,0.0
IsolationForestDetector,IOPS_4,23,0.0
IsolationForestDetector,IOPS_4,24,0.0
IsolationForestDetector,IOPS_4,25,0.0
IsolationForestDetector,IOPS_4,26,0.0
IsolationForestDetector,IOPS_4,27,0.0
IsolationForestDetector,IOPS_4,28,0.0
IsolationForestDetector,IOPS_4,29,0.0
IsolationForestDetector,IOPS_4,30,0.0
IsolationForestDetector,IOPS_4,31,0.0
IsolationForestDetector,IOPS_4,32,0.0
IsolationForestDetector,IOPS_4,33,0.0
IsolationForestDetector,IOPS_4,34,0.0
IsolationForestDetector,IOPS_4,35,0.0
IsolationForestDetector,IOPS_4,36,0.0
IsolationForestDetector,IOPS_4,37,0.0
IsolationForestDetector,IOPS_4,38,0.0
IsolationForestDetector,IOPS_4,39,0.0
IsolationForestDetector,IOPS_4,40,0.0
IsolationForestDetector,IOPS_4,41,0.0
IsolationForestDetector,IOPS_4,42,0.0
IsolationForestDetector,IOPS_4,43,0.0
IsolationForestDetector,IOPS_4,44,0.0
IsolationForestDetector,IOPS_4,45,0.0
IsolationForestDetector,IOPS_4,46,0.0
IsolationForestDetector,IOPS_4,47,0.0
IsolationForestDetector,IOPS_4,48,0.0
IsolationForestDetector,IOPS_4,49,1.0
IsolationForestDetector,IOPS_4,50,0.7614094878634794
IsolationForestDetector,IOPS_4,51,0.9896216607279947
