algorithm,dataset,timestep,anomaly_score
ReRe,IOPS_5.csv,30,1
ReRe,IOPS_5.csv,31,1
ReRe,IOPS_5.csv,32,1
ReRe,IOPS_5.csv,33,1
ReRe,IOPS_5.csv,34,1
ReRe,IOPS_5.csv,35,1
ReRe,IOPS_5.csv,36,1
ReRe,IOPS_5.csv,37,1
ReRe,IOPS_5.csv,38,1
ReRe,IOPS_5.csv,39,1
ReRe,IOPS_5.csv,40,1
ReRe,IOPS_5.csv,41,1
ReRe,IOPS_5.csv,42,1
ReRe,IOPS_5.csv,43,1
ReRe,IOPS_5.csv,44,1
ReRe,IOPS_5.csv,45,1
ReRe,IOPS_5.csv,46,1
ReRe,IOPS_5.csv,47,1
ReRe,IOPS_5.csv,48,1
ReRe,IOPS_5.csv,49,1
ReRe,IOPS_5.csv,50,1
ReRe,IOPS_5.csv,51,1
ReRe,IOPS_5.csv,52,1
ReRe,IOPS_5.csv,53,1
ReRe,IOPS_5.csv,54,1
ReRe,IOPS_5.csv,55,1
ReRe,IOPS_5.csv,56,1
ReRe,IOPS_5.csv,57,1
ReRe,IOPS_5.csv,58,1
ReRe,IOPS_5.csv,59,1
ReRe,IOPS_5.csv,60,1
ReRe,IOPS_5.csv,61,1
ReRe,IOPS_5.csv,62,1
ReRe,IOPS_5.csv,63,1
ReRe,IOPS_5.csv,64,1
ReRe,IOPS_5.csv,65,1
ReRe,IOPS_5.csv,66,1
ReRe,IOPS_5.csv,67,1
ReRe,IOPS_5.csv,68,1
ReRe,IOPS_5.csv,69,1
ReRe,IOPS_5.csv,70,1
ReRe,IOPS_5.csv,71,1
ReRe,IOPS_5.csv,72,1
ReRe,IOPS_5.csv,73,1
ReRe,IOPS_5.csv,74,1
ReRe,IOPS_5.csv,75,1
ReRe,IOPS_5.csv,76,1
ReRe,IOPS_5.csv,77,1
ReRe,IOPS_5.csv,78,1
ReRe,IOPS_5.csv,79,1
ReRe,IOPS_5.csv,80,1
ReRe,IOPS_5.csv,81,1
ReRe,IOPS_5.csv,82,1
ReRe,IOPS_5.csv,83,1
ReRe,IOPS_5.csv,84,1
ReRe,IOPS_5.csv,85,1
ReRe,IOPS_5.csv,86,1
ReRe,IOPS_5.csv,87,1
ReRe,IOPS_5.csv,88,1
ReRe,IOPS_5.csv,89,1
ReRe,IOPS_5.csv,90,1
ReRe,IOPS_5.csv,91,1
ReRe,IOPS_5.csv,92,1
ReRe,IOPS_5.csv,93,1
ReRe,IOPS_5.csv,94,1
ReRe,IOPS_5.csv,95,1
ReRe,IOPS_5.csv,96,1
ReRe,IOPS_5.csv,97,1
ReRe,IOPS_5.csv,98,1
ReRe,IOPS_5.csv,99,1
ReRe,IOPS_5.csv,100,1
ReRe,IOPS_5.csv,101,1
ReRe,IOPS_5.csv,102,1
ReRe,IOPS_5.csv,103,1
ReRe,IOPS_5.csv,104,1
ReRe,IOPS_5.csv,105,1
ReRe,IOPS_5.csv,106,1
ReRe,IOPS_5.csv,107,1
ReRe,IOPS_5.csv,108,1
ReRe,IOPS_5.csv,109,1
ReRe,IOPS_5.csv,110,1
ReRe,IOPS_5.csv,111,1
ReRe,IOPS_5.csv,112,1
ReRe,IOPS_5.csv,113,1
ReRe,IOPS_5.csv,114,1
ReRe,IOPS_5.csv,115,1
ReRe,IOPS_5.csv,116,1
ReRe,IOPS_5.csv,117,1
ReRe,IOPS_5.csv,118,1
ReRe,IOPS_5.csv,119,0
ReRe,IOPS_5.csv,120,0
ReRe,IOPS_5.csv,121,0
ReRe,IOPS_5.csv,122,0
ReRe,IOPS_5.csv,123,0
ReRe,IOPS_5.csv,124,0
ReRe,IOPS_5.csv,125,0
ReRe,IOPS_5.csv,126,0
ReRe,IOPS_5.csv,127,0
ReRe,IOPS_5.csv,128,0
ReRe,IOPS_5.csv,129,0
ReRe,IOPS_5.csv,130,0
ReRe,IOPS_5.csv,131,0
ReRe,IOPS_5.csv,132,0
ReRe,IOPS_5.csv,133,0
ReRe,IOPS_5.csv,134,0
ReRe,IOPS_5.csv,135,0
ReRe,IOPS_5.csv,136,0
ReRe,IOPS_5.csv,137,0
ReRe,IOPS_5.csv,138,0
ReRe,IOPS_5.csv,139,0
ReRe,IOPS_5.csv,140,0
ReRe,IOPS_5.csv,141,0
ReRe,IOPS_5.csv,142,0
ReRe,IOPS_5.csv,143,0
ReRe,IOPS_5.csv,144,0
ReRe,IOPS_5.csv,145,0
ReRe,IOPS_5.csv,146,0
ReRe,IOPS_5.csv,147,0
ReRe,IOPS_5.csv,148,0
