algorithm,dataset,timestep,anomaly_score
EchoStateNetwork,IOPS_5,0,0.0
EchoStateNetwork,IOPS_5,1,0.0
EchoStateNetwork,IOPS_5,2,0.0
EchoStateNetwork,IOPS_5,3,0.0
EchoStateNetwork,IOPS_5,4,0.0
EchoStateNetwork,IOPS_5,5,0.0
EchoStateNetwork,IOPS_5,6,0.0
EchoStateNetwork,IOPS_5,7,0.0
EchoStateNetwork,IOPS_5,8,0.0
EchoStateNetwork,IOPS_5,9,0.0
EchoStateNetwork,IOPS_5,10,0.0
EchoStateNetwork,IOPS_5,11,0.0
EchoStateNetwork,IOPS_5,12,0.0
EchoStateNetwork,IOPS_5,13,0.0
EchoStateNetwork,IOPS_5,14,0.0
EchoStateNetwork,IOPS_5,15,0.0
EchoStateNetwork,IOPS_5,16,0.0
EchoStateNetwork,IOPS_5,17,0.0
EchoStateNetwork,IOPS_5,18,0.0
EchoStateNetwork,IOPS_5,19,0.0
EchoStateNetwork,IOPS_5,20,0.0
EchoStateNetwork,IOPS_5,21,0.0
EchoStateNetwork,IOPS_5,22,0.0
EchoStateNetwork,IOPS_5,23,0.0
EchoStateNetwork,IOPS_5,24,0.0
EchoStateNetwork,IOPS_5,25,0.0
EchoStateNetwork,IOPS_5,26,0.0
EchoStateNetwork,IOPS_5,27,0.0
EchoStateNetwork,IOPS_5,28,0.0
EchoStateNetwork,IOPS_5,29,0.0
EchoStateNetwork,IOPS_5,30,0.0
EchoStateNetwork,IOPS_5,31,0.0
EchoStateNetwork,IOPS_5,32,0.0
EchoStateNetwork,IOPS_5,33,0.0
EchoStateNetwork,IOPS_5,34,0.0
EchoStateNetwork,IOPS_5,35,0.0
EchoStateNetwork,IOPS_5,36,0.0
EchoStateNetwork,IOPS_5,37,0.0
EchoStateNetwork,IOPS_5,38,0.0
EchoStateNetwork,IOPS_5,39,0.0
EchoStateNetwork,IOPS_5,40,0.0
EchoStateNetwork,IOPS_5,41,0.0
EchoStateNetwork,IOPS_5,42,0.0
EchoStateNetwork,IOPS_5,43,0.0
EchoStateNetwork,IOPS_5,44,0.0
EchoStateNetwork,IOPS_5,45,0.0
EchoStateNetwork,IOPS_5,46,0.0
EchoStateNetwork,IOPS_5,47,0.0
EchoStateNetwork,IOPS_5,48,0.0
EchoStateNetwork,IOPS_5,49,0.0
EchoStateNetwork,IOPS_5,50,0.0
EchoStateNetwork,IOPS_5,51,0.0
EchoStateNetwork,IOPS_5,52,0.0
EchoStateNetwork,IOPS_5,53,0.0
EchoStateNetwork,IOPS_5,54,0.0
EchoStateNetwork,IOPS_5,55,0.0
EchoStateNetwork,IOPS_5,56,0.0
EchoStateNetwork,IOPS_5,57,0.0
EchoStateNetwork,IOPS_5,58,0.0
EchoStateNetwork,IOPS_5,59,0.0
EchoStateNetwork,IOPS_5,60,0.0
EchoStateNetwork,IOPS_5,61,0.0
EchoStateNetwork,IOPS_5,62,0.0
EchoStateNetwork,IOPS_5,63,0.0
EchoStateNetwork,IOPS_5,64,0.0
EchoStateNetwork,IOPS_5,65,0.0
EchoStateNetwork,IOPS_5,66,0.0
EchoStateNetwork,IOPS_5,67,0.0
EchoStateNetwork,IOPS_5,68,0.0
EchoStateNetwork,IOPS_5,69,0.0
EchoStateNetwork,IOPS_5,70,0.0
EchoStateNetwork,IOPS_5,71,0.0
EchoStateNetwork,IOPS_5,72,0.0
EchoStateNetwork,IOPS_5,73,0.0
EchoStateNetwork,IOPS_5,74,0.0
EchoStateNetwork,IOPS_5,75,0.0
EchoStateNetwork,IOPS_5,76,0.0
EchoStateNetwork,IOPS_5,77,0.0
EchoStateNetwork,IOPS_5,78,0.0
EchoStateNetwork,IOPS_5,79,0.0
EchoStateNetwork,IOPS_5,80,0.0
EchoStateNetwork,IOPS_5,81,0.0
EchoStateNetwork,IOPS_5,82,0.0
EchoStateNetwork,IOPS_5,83,0.0
EchoStateNetwork,IOPS_5,84,0.0
EchoStateNetwork,IOPS_5,85,0.0
EchoStateNetwork,IOPS_5,86,0.0
EchoStateNetwork,IOPS_5,87,0.0
EchoStateNetwork,IOPS_5,88,0.0
EchoStateNetwork,IOPS_5,89,0.0
EchoStateNetwork,IOPS_5,90,0.0
EchoStateNetwork,IOPS_5,91,0.0
EchoStateNetwork,IOPS_5,92,0.0
EchoStateNetwork,IOPS_5,93,0.0
EchoStateNetwork,IOPS_5,94,0.0
EchoStateNetwork,IOPS_5,95,0.0
EchoStateNetwork,IOPS_5,96,0.0
EchoStateNetwork,IOPS_5,97,0.0
EchoStateNetwork,IOPS_5,98,0.0
EchoStateNetwork,IOPS_5,99,0.0
EchoStateNetwork,IOPS_5,100,0.20891303578066547
EchoStateNetwork,IOPS_5,101,0.6072377359807365
EchoStateNetwork,IOPS_5,102,0.10577368997532212
EchoStateNetwork,IOPS_5,103,0.31777087404544474
EchoStateNetwork,IOPS_5,104,0.6097184049430737
EchoStateNetwork,IOPS_5,105,0.33558695210984546
EchoStateNetwork,IOPS_5,106,0.27624073031930646
EchoStateNetwork,IOPS_5,107,0.08354454693811154
EchoStateNetwork,IOPS_5,108,0.7213656992551551
EchoStateNetwork,IOPS_5,109,0.7166727564288072
EchoStateNetwork,IOPS_5,110,0.04183220753136125
EchoStateNetwork,IOPS_5,111,0.2660360326758644
EchoStateNetwork,IOPS_5,112,0.11676693681576034
EchoStateNetwork,IOPS_5,113,0.23693791458525176
EchoStateNetwork,IOPS_5,114,0.18288525705128095
EchoStateNetwork,IOPS_5,115,0.37073918119416743
EchoStateNetwork,IOPS_5,116,0.5552496548010809
EchoStateNetwork,IOPS_5,117,0.6671634991036357
EchoStateNetwork,IOPS_5,118,0.732166945779742
EchoStateNetwork,IOPS_5,119,0.1504665072219055
EchoStateNetwork,IOPS_5,120,0.05311513274255678
EchoStateNetwork,IOPS_5,121,0.03637573621318675
EchoStateNetwork,IOPS_5,122,0.3447624599123329
EchoStateNetwork,IOPS_5,123,0.12837866770220055
EchoStateNetwork,IOPS_5,124,0.5085543314956704
EchoStateNetwork,IOPS_5,125,0.8485024431276404
EchoStateNetwork,IOPS_5,126,0.1428734416017928
EchoStateNetwork,IOPS_5,127,0.9172389560068052
EchoStateNetwork,IOPS_5,128,1.1072845979242063
EchoStateNetwork,IOPS_5,129,0.20307168523411284
EchoStateNetwork,IOPS_5,130,0.10557154139671132
EchoStateNetwork,IOPS_5,131,0.013976034941675682
EchoStateNetwork,IOPS_5,132,0.2336362652772403
EchoStateNetwork,IOPS_5,133,0.4625928823548619
EchoStateNetwork,IOPS_5,134,0.07152803518343198
EchoStateNetwork,IOPS_5,135,0.4888563832203354
EchoStateNetwork,IOPS_5,136,0.11827068806995074
EchoStateNetwork,IOPS_5,137,0.564427083055272
EchoStateNetwork,IOPS_5,138,0.056002340779611186
EchoStateNetwork,IOPS_5,139,0.24674235409131445
EchoStateNetwork,IOPS_5,140,0.4510000537232716
EchoStateNetwork,IOPS_5,141,0.1624736866952423
EchoStateNetwork,IOPS_5,142,0.25189871751251797
EchoStateNetwork,IOPS_5,143,1.1360663182668447
