algorithm,dataset,timestep,anomaly_score
BayesChangePtDetector,IOPS_8.csv,0,0.0
BayesChangePtDetector,IOPS_8.csv,1,0.0
BayesChangePtDetector,IOPS_8.csv,2,0.0
BayesChangePtDetector,IOPS_8.csv,3,0.0
BayesChangePtDetector,IOPS_8.csv,4,0.0
BayesChangePtDetector,IOPS_8.csv,5,0.0
BayesChangePtDetector,IOPS_8.csv,6,0.0
BayesChangePtDetector,IOPS_8.csv,7,0.0
BayesChangePtDetector,IOPS_8.csv,8,0.0
BayesChangePtDetector,IOPS_8.csv,9,0.0
BayesChangePtDetector,IOPS_8.csv,10,0.0
BayesChangePtDetector,IOPS_8.csv,11,0.0
BayesChangePtDetector,IOPS_8.csv,12,0.0
BayesChangePtDetector,IOPS_8.csv,13,0.0
BayesChangePtDetector,IOPS_8.csv,14,0.0
BayesChangePtDetector,IOPS_8.csv,15,0.0
BayesChangePtDetector,IOPS_8.csv,16,0.0
BayesChangePtDetector,IOPS_8.csv,17,0.0
BayesChangePtDetector,IOPS_8.csv,18,0.0
BayesChangePtDetector,IOPS_8.csv,19,0.0
BayesChangePtDetector,IOPS_8.csv,20,0.0
BayesChangePtDetector,IOPS_8.csv,21,0.0
BayesChangePtDetector,IOPS_8.csv,22,0.0
BayesChangePtDetector,IOPS_8.csv,23,0.0
BayesChangePtDetector,IOPS_8.csv,24,0.0
BayesChangePtDetector,IOPS_8.csv,25,0.0
BayesChangePtDetector,IOPS_8.csv,26,0.0
BayesChangePtDetector,IOPS_8.csv,27,0.0
BayesChangePtDetector,IOPS_8.csv,28,0.0
BayesChangePtDetector,IOPS_8.csv,29,0.0
BayesChangePtDetector,IOPS_8.csv,30,0.0
BayesChangePtDetector,IOPS_8.csv,31,0.0
BayesChangePtDetector,IOPS_8.csv,32,0.0
BayesChangePtDetector,IOPS_8.csv,33,0.0
BayesChangePtDetector,IOPS_8.csv,34,0.0
BayesChangePtDetector,IOPS_8.csv,35,0.0
BayesChangePtDetector,IOPS_8.csv,36,0.0
BayesChangePtDetector,IOPS_8.csv,37,0.0
BayesChangePtDetector,IOPS_8.csv,38,0.0
BayesChangePtDetector,IOPS_8.csv,39,0.0
BayesChangePtDetector,IOPS_8.csv,40,0.0
BayesChangePtDetector,IOPS_8.csv,41,0.0
BayesChangePtDetector,IOPS_8.csv,42,0.0
BayesChangePtDetector,IOPS_8.csv,43,0.0
BayesChangePtDetector,IOPS_8.csv,44,0.0
BayesChangePtDetector,IOPS_8.csv,45,0.0
BayesChangePtDetector,IOPS_8.csv,46,0.0
BayesChangePtDetector,IOPS_8.csv,47,0.0
BayesChangePtDetector,IOPS_8.csv,48,0.0
BayesChangePtDetector,IOPS_8.csv,49,0.7959183673469388
BayesChangePtDetector,IOPS_8.csv,50,0.0
BayesChangePtDetector,IOPS_8.csv,51,0.0
BayesChangePtDetector,IOPS_8.csv,52,0.0
BayesChangePtDetector,IOPS_8.csv,53,0.0
BayesChangePtDetector,IOPS_8.csv,54,0.0
BayesChangePtDetector,IOPS_8.csv,55,0.7090909090909091
BayesChangePtDetector,IOPS_8.csv,56,0.0
BayesChangePtDetector,IOPS_8.csv,57,0.0
BayesChangePtDetector,IOPS_8.csv,58,0.0
BayesChangePtDetector,IOPS_8.csv,59,0.0
BayesChangePtDetector,IOPS_8.csv,60,0.0
BayesChangePtDetector,IOPS_8.csv,61,0.0
BayesChangePtDetector,IOPS_8.csv,62,0.0
BayesChangePtDetector,IOPS_8.csv,63,0.0
BayesChangePtDetector,IOPS_8.csv,64,0.0
BayesChangePtDetector,IOPS_8.csv,65,0.0
BayesChangePtDetector,IOPS_8.csv,66,0.0
BayesChangePtDetector,IOPS_8.csv,67,0.0
BayesChangePtDetector,IOPS_8.csv,68,0.8571428571428572
BayesChangePtDetector,IOPS_8.csv,69,0.0
BayesChangePtDetector,IOPS_8.csv,70,0.0
BayesChangePtDetector,IOPS_8.csv,71,0.0
BayesChangePtDetector,IOPS_8.csv,72,0.0
BayesChangePtDetector,IOPS_8.csv,73,0.0
BayesChangePtDetector,IOPS_8.csv,74,0.0
BayesChangePtDetector,IOPS_8.csv,75,0.0
BayesChangePtDetector,IOPS_8.csv,76,0.0
BayesChangePtDetector,IOPS_8.csv,77,0.0
BayesChangePtDetector,IOPS_8.csv,78,0.0
BayesChangePtDetector,IOPS_8.csv,79,0.0
BayesChangePtDetector,IOPS_8.csv,80,0.0
BayesChangePtDetector,IOPS_8.csv,81,0.0
BayesChangePtDetector,IOPS_8.csv,82,0.0
BayesChangePtDetector,IOPS_8.csv,83,0.0
BayesChangePtDetector,IOPS_8.csv,84,0.0
BayesChangePtDetector,IOPS_8.csv,85,0.0
BayesChangePtDetector,IOPS_8.csv,86,0.0
BayesChangePtDetector,IOPS_8.csv,87,0.0
BayesChangePtDetector,IOPS_8.csv,88,0.0
BayesChangePtDetector,IOPS_8.csv,89,0.0
BayesChangePtDetector,IOPS_8.csv,90,0.0
BayesChangePtDetector,IOPS_8.csv,91,0.0
BayesChangePtDetector,IOPS_8.csv,92,0.0
BayesChangePtDetector,IOPS_8.csv,93,0.0
BayesChangePtDetector,IOPS_8.csv,94,0.0
BayesChangePtDetector,IOPS_8.csv,95,0.8315789473684211
BayesChangePtDetector,IOPS_8.csv,96,0.0
BayesChangePtDetector,IOPS_8.csv,97,0.0
BayesChangePtDetector,IOPS_8.csv,98,0.0
BayesChangePtDetector,IOPS_8.csv,99,0.0
BayesChangePtDetector,IOPS_8.csv,100,0.0
BayesChangePtDetector,IOPS_8.csv,101,0.0
BayesChangePtDetector,IOPS_8.csv,102,0.0
BayesChangePtDetector,IOPS_8.csv,103,0.0
BayesChangePtDetector,IOPS_8.csv,104,0.0
BayesChangePtDetector,IOPS_8.csv,105,0.0
BayesChangePtDetector,IOPS_8.csv,106,0.0
BayesChangePtDetector,IOPS_8.csv,107,0.0
BayesChangePtDetector,IOPS_8.csv,108,0.0
BayesChangePtDetector,IOPS_8.csv,109,0.9908256880733946
BayesChangePtDetector,IOPS_8.csv,110,0.0
BayesChangePtDetector,IOPS_8.csv,111,0.0
BayesChangePtDetector,IOPS_8.csv,112,0.0
BayesChangePtDetector,IOPS_8.csv,113,0.0
BayesChangePtDetector,IOPS_8.csv,114,0.0
BayesChangePtDetector,IOPS_8.csv,115,0.0
BayesChangePtDetector,IOPS_8.csv,116,0.0
BayesChangePtDetector,IOPS_8.csv,117,0.0
BayesChangePtDetector,IOPS_8.csv,118,0.0
BayesChangePtDetector,IOPS_8.csv,119,0.0
BayesChangePtDetector,IOPS_8.csv,120,0.0
BayesChangePtDetector,IOPS_8.csv,121,0.0
BayesChangePtDetector,IOPS_8.csv,122,0.0
BayesChangePtDetector,IOPS_8.csv,123,0.0
BayesChangePtDetector,IOPS_8.csv,124,0.0
BayesChangePtDetector,IOPS_8.csv,125,0.0
BayesChangePtDetector,IOPS_8.csv,126,0.0
BayesChangePtDetector,IOPS_8.csv,127,0.0
BayesChangePtDetector,IOPS_8.csv,128,0.0
BayesChangePtDetector,IOPS_8.csv,129,0.0
BayesChangePtDetector,IOPS_8.csv,130,0.0
BayesChangePtDetector,IOPS_8.csv,131,0.0
BayesChangePtDetector,IOPS_8.csv,132,0.0
BayesChangePtDetector,IOPS_8.csv,133,0.0
BayesChangePtDetector,IOPS_8.csv,134,0.0
BayesChangePtDetector,IOPS_8.csv,135,0.0
