algorithm,dataset,timestep,anomaly_score
ContextOSEDetector,IOPS_9.csv,0,0.5
ContextOSEDetector,IOPS_9.csv,1,1.0
ContextOSEDetector,IOPS_9.csv,2,0.5
ContextOSEDetector,IOPS_9.csv,3,0.5
ContextOSEDetector,IOPS_9.csv,4,0.5
ContextOSEDetector,IOPS_9.csv,5,0.5
ContextOSEDetector,IOPS_9.csv,6,0.5
ContextOSEDetector,IOPS_9.csv,7,0.5
ContextOSEDetector,IOPS_9.csv,8,0.5
ContextOSEDetector,IOPS_9.csv,9,0.5
ContextOSEDetector,IOPS_9.csv,10,0.5
ContextOSEDetector,IOPS_9.csv,11,0.5
ContextOSEDetector,IOPS_9.csv,12,0.5
ContextOSEDetector,IOPS_9.csv,13,1.0
ContextOSEDetector,IOPS_9.csv,14,1.0
ContextOSEDetector,IOPS_9.csv,15,0.0
ContextOSEDetector,IOPS_9.csv,16,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,17,0.0
ContextOSEDetector,IOPS_9.csv,18,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,19,0.0
ContextOSEDetector,IOPS_9.csv,20,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,21,0.0
ContextOSEDetector,IOPS_9.csv,22,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,23,0.0
ContextOSEDetector,IOPS_9.csv,24,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,25,0.0
ContextOSEDetector,IOPS_9.csv,26,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,27,0.0
ContextOSEDetector,IOPS_9.csv,28,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,29,0.0
ContextOSEDetector,IOPS_9.csv,30,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,31,0.0
ContextOSEDetector,IOPS_9.csv,32,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,33,0.0
ContextOSEDetector,IOPS_9.csv,34,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,35,0.0
ContextOSEDetector,IOPS_9.csv,36,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,37,0.0
ContextOSEDetector,IOPS_9.csv,38,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,39,0.0
ContextOSEDetector,IOPS_9.csv,40,0.16666666666666666
ContextOSEDetector,IOPS_9.csv,41,0.0
ContextOSEDetector,IOPS_9.csv,42,0.0
ContextOSEDetector,IOPS_9.csv,43,0.0
ContextOSEDetector,IOPS_9.csv,44,0.0
ContextOSEDetector,IOPS_9.csv,45,0.0
ContextOSEDetector,IOPS_9.csv,46,0.0
ContextOSEDetector,IOPS_9.csv,47,0.0
ContextOSEDetector,IOPS_9.csv,48,0.0
ContextOSEDetector,IOPS_9.csv,49,0.0
ContextOSEDetector,IOPS_9.csv,50,0.0
ContextOSEDetector,IOPS_9.csv,51,0.0
ContextOSEDetector,IOPS_9.csv,52,0.0
ContextOSEDetector,IOPS_9.csv,53,0.0
ContextOSEDetector,IOPS_9.csv,54,0.0
ContextOSEDetector,IOPS_9.csv,55,0.0
ContextOSEDetector,IOPS_9.csv,56,0.0
ContextOSEDetector,IOPS_9.csv,57,0.0
ContextOSEDetector,IOPS_9.csv,58,0.0
ContextOSEDetector,IOPS_9.csv,59,0.0
ContextOSEDetector,IOPS_9.csv,60,0.0
ContextOSEDetector,IOPS_9.csv,61,0.0
ContextOSEDetector,IOPS_9.csv,62,0.0
ContextOSEDetector,IOPS_9.csv,63,0.0
ContextOSEDetector,IOPS_9.csv,64,0.0
ContextOSEDetector,IOPS_9.csv,65,0.0
ContextOSEDetector,IOPS_9.csv,66,0.0
ContextOSEDetector,IOPS_9.csv,67,0.0
ContextOSEDetector,IOPS_9.csv,68,0.0
ContextOSEDetector,IOPS_9.csv,69,0.0
ContextOSEDetector,IOPS_9.csv,70,0.0
ContextOSEDetector,IOPS_9.csv,71,0.0
ContextOSEDetector,IOPS_9.csv,72,0.0
ContextOSEDetector,IOPS_9.csv,73,0.0
ContextOSEDetector,IOPS_9.csv,74,0.96875
ContextOSEDetector,IOPS_9.csv,75,0.625
ContextOSEDetector,IOPS_9.csv,76,0.1333333333333333
ContextOSEDetector,IOPS_9.csv,77,0.12878787878787878
ContextOSEDetector,IOPS_9.csv,78,0.125
ContextOSEDetector,IOPS_9.csv,79,0.12179487179487176
ContextOSEDetector,IOPS_9.csv,80,0.7232142857142857
ContextOSEDetector,IOPS_9.csv,81,0.4242424242424242
ContextOSEDetector,IOPS_9.csv,82,0.22916666666666666
ContextOSEDetector,IOPS_9.csv,83,0.10317460317460317
ContextOSEDetector,IOPS_9.csv,84,0.11490683229813667
ContextOSEDetector,IOPS_9.csv,85,0.11490683229813667
ContextOSEDetector,IOPS_9.csv,86,0.11309523809523811
ContextOSEDetector,IOPS_9.csv,87,0.1114285714285714
ContextOSEDetector,IOPS_9.csv,88,0.10989010989010986
ContextOSEDetector,IOPS_9.csv,89,0.10989010989010986
ContextOSEDetector,IOPS_9.csv,90,0.10846560846560846
ContextOSEDetector,IOPS_9.csv,91,0.10714285714285712
ContextOSEDetector,IOPS_9.csv,92,0.28703703703703703
ContextOSEDetector,IOPS_9.csv,93,0.2857142857142857
ContextOSEDetector,IOPS_9.csv,94,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,95,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,96,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,97,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,98,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,99,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,100,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,101,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,102,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,103,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,104,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,105,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,106,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,107,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,108,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,109,0.051724137931034475
ContextOSEDetector,IOPS_9.csv,110,0.9099616858237547
ContextOSEDetector,IOPS_9.csv,111,0.5972222222222222
ContextOSEDetector,IOPS_9.csv,112,0.28157894736842104
ContextOSEDetector,IOPS_9.csv,113,0.16363636363636364
ContextOSEDetector,IOPS_9.csv,114,0.15869565217391302
ContextOSEDetector,IOPS_9.csv,115,0.10869565217391303
ContextOSEDetector,IOPS_9.csv,116,0.16904761904761906
ContextOSEDetector,IOPS_9.csv,117,0.15869565217391302
ContextOSEDetector,IOPS_9.csv,118,0.10869565217391303
ContextOSEDetector,IOPS_9.csv,119,0.16904761904761906
ContextOSEDetector,IOPS_9.csv,120,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,121,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,122,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,123,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,124,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,125,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,126,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,127,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,128,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,129,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,130,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,131,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,132,0.11904761904761907
ContextOSEDetector,IOPS_9.csv,133,0.11904761904761907
