Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16
IOPS_102,0.29257035,-0.5153734,-0.66001016,-0.824629,-0.013557323,-0.5468134,-0.44755927,-0.61196566,-0.25395244,0.44346672,0.5025708,0.37121528,-0.67322725,0.4609524,0.31570655,-0.33022788
IOPS_103,-0.49212644,-0.026015326,-0.7574404,0.8736755,-0.5454843,0.5605018,-0.122277305,-0.3413895,0.3565181,-0.36855665,-0.5996741,-0.2848874,-0.52999204,-0.15147062,-0.83584094,-0.2118332
IOPS_104,-0.54611075,-0.13572243,-0.7557947,0.64379853,-0.41357625,0.4848702,-0.22018841,0.00066802854,0.33788046,-0.25233805,-0.5961556,-0.08195086,-0.6458235,0.09767563,-0.91463244,-0.37403977
IOPS_11,0.25860107,-0.52580494,-0.6369458,-0.8643968,-0.06339764,-0.61803293,-0.36443016,-0.6722396,-0.22816585,0.35538435,0.49651837,0.3664936,-0.6170462,0.4679681,0.29157534,-0.29857734
IOPS_116,-0.3176045,-0.07143817,-0.5545423,-0.38410452,-0.19973283,0.27848577,-0.48213956,0.172676,0.25569558,-0.040734872,-0.099230856,-0.017392343,-0.8237044,0.23465922,-0.70443684,-0.5611016
IOPS_118,-0.50795627,-0.19952412,-0.7024962,0.30057707,-0.32226273,0.36785758,-0.2789142,0.13186397,0.34658024,-0.14806217,-0.48088363,0.08603183,-0.742911,0.26646978,-0.9142998,-0.40807214
IOPS_121,-0.5054523,-0.03340756,-0.7542376,0.84100544,-0.5404963,0.5560568,-0.12211316,-0.32164434,0.35152748,-0.36839798,-0.60401374,-0.2689867,-0.5374953,-0.13246222,-0.85179156,-0.22111817
IOPS_127,-0.47094455,0.18952475,-0.46772283,-0.11072046,-0.42592916,0.54610485,-0.32061747,-0.06323586,0.42033434,-0.17663026,-0.30345815,-0.16180423,-0.7739714,0.010283529,-0.92910355,-0.41789404
IOPS_128,0.038179327,-0.4365159,-0.5288501,-0.7421375,-0.09588959,-0.3530977,-0.36763203,-0.29609835,-0.32296208,0.32460725,0.3166764,0.14380655,-0.53915936,0.23448384,0.29456493,-0.3607144
IOPS_186,-0.3998697,-0.04367625,-0.7997381,1.0791996,-0.6100483,0.4817682,-0.039892897,-0.60695016,0.33146203,-0.4459636,-0.57865256,-0.39229798,-0.42185488,-0.3058499,-0.6987259,-0.06258472
IOPS_19,-0.4547161,-0.25576106,-0.6874529,0.09801683,-0.25385958,0.25130954,-0.32274806,0.18026643,0.31091657,-0.087969124,-0.40416715,0.17902926,-0.77627164,0.3464257,-0.85818565,-0.43133935
IOPS_192,-0.3398816,-0.025932495,-0.774,1.0041935,-0.6660026,0.42819718,0.009821748,-0.7950166,0.3377937,-0.51713586,-0.5439088,-0.47185358,-0.3595257,-0.39645663,-0.6422432,0.056119606
IOPS_194,-0.21594742,0.10381885,-0.27139246,-0.83554655,-0.11115335,0.20360897,-0.7342784,0.30217034,-0.15852346,-0.016985573,0.22809389,-0.4438413,-0.5701361,-0.07980523,-0.1652029,-0.7790046
IOPS_199,-0.562316,-0.22582965,-0.78853726,0.6719455,-0.36429814,0.42031762,-0.23791534,0.10596424,0.30077264,-0.22323428,-0.6262182,-0.008089516,-0.6498845,0.18562168,-0.9135313,-0.41101506
IOPS_218,-0.21070826,-0.25610942,-0.6066156,-0.48917496,-0.13600472,0.06122328,-0.44804406,0.13166578,0.18238743,0.075910166,0.009633207,0.17756869,-0.84410095,0.38678807,-0.55359834,-0.4973819
IOPS_225,0.32293263,-0.56418335,-0.6573382,-0.78860587,-0.06598345,-0.60886216,-0.33959693,-0.73199505,-0.22723381,0.43899146,0.4911597,0.4936487,-0.68954957,0.48982167,0.32080558,-0.22770452
IOPS_236,0.32012215,-0.5234459,-0.6604409,-0.8021862,-0.045143403,-0.60096645,-0.39252344,-0.7102703,-0.32534838,0.44990098,0.5321855,0.33265013,-0.58346564,0.3971267,0.44513088,-0.31148726
IOPS_24,0.115509264,-0.5059643,-0.6362897,-0.70404446,-0.069448404,-0.4127581,-0.37979528,-0.35263768,0.04897209,0.31512338,0.27579185,0.53884006,-0.83939004,0.60481834,-0.16547787,-0.29511622
IOPS_241,-0.69208264,-0.20242296,0.23218438,-0.32923627,-0.14079323,-0.5035304,0.3480017,0.27266932,-0.60675514,-0.39825743,-0.33826137,-0.5136113,1.2591903,-0.31831694,0.52454156,-0.4144349
IOPS_242,-0.42051274,0.7648924,0.4363662,-0.67982835,-0.5916734,0.38148904,-0.349188,-0.71956974,0.25396746,-0.48292515,0.21756622,-0.5752303,-0.6366239,-0.3905704,-0.866529,-0.120200396
IOPS_243,-0.6740665,-0.62728995,-0.38481808,-0.14360903,-0.010254447,-0.6295431,0.833321,-0.09408588,-0.511843,-0.25398496,-0.5017334,-0.46888524,1.8259578,-0.24597956,0.8864924,-0.31633306
IOPS_246,-0.65667397,-0.67926115,-0.50965345,-0.10838024,-0.03233477,-0.60747385,0.9117694,-0.28903675,-0.49149927,-0.1810105,-0.47183326,-0.44238055,1.851382,-0.2223212,0.9492722,-0.26906607
IOPS_255,-0.26578745,0.101081654,-0.08507969,-0.8286235,-0.18426053,0.07365036,-0.6245078,0.17174998,-0.2760117,-0.07234648,0.23452117,-0.431082,-0.38519126,-0.1308668,-0.04608578,-0.67094666
IOPS_256,-0.16121235,-0.12066845,-0.23546237,-0.82346517,-0.08722879,-0.10778554,-0.56010854,0.13789025,-0.38915473,0.04900244,0.263213,-0.32800415,-0.3059294,-0.037392274,0.1895188,-0.63344353
IOPS_261,-0.52531236,-0.07927734,-0.76950616,0.8217401,-0.49681225,0.54411715,-0.16514744,-0.1933701,0.3437966,-0.32631174,-0.61815,-0.20912646,-0.5851596,-0.053676028,-0.86790323,-0.2878562
IOPS_264,-0.47878975,-0.16589737,-0.70116985,0.13373716,-0.27594033,0.37639964,-0.3423308,0.19368024,0.3364846,-0.13375738,-0.41979605,0.047683567,-0.7651482,0.2631926,-0.8977262,-0.4793083
IOPS_267,0.2624594,-0.5238589,-0.6524357,-0.80047816,-0.042568795,-0.53000474,-0.39778316,-0.57004595,-0.16645007,0.40792143,0.45824414,0.4448139,-0.7358251,0.50735784,0.18946187,-0.29777113
IOPS_269,-0.5245622,-0.1079938,-0.6939001,0.22624782,-0.32767054,0.4206695,-0.3122658,0.10770607,0.3405909,-0.18153012,-0.47956622,-0.023365233,-0.7382976,0.19628587,-0.92942065,-0.44109753
IOPS_275,-0.49677995,-0.065686665,-0.77426577,0.91513,-0.5329715,0.53349453,-0.12066538,-0.3142848,0.34472096,-0.3567301,-0.61201185,-0.25502646,-0.52966154,-0.11655056,-0.83340293,-0.22450274
IOPS_285,0.19078651,-0.46480787,-0.64474756,-0.8252332,-0.006632187,-0.43309504,-0.49574065,-0.39373982,-0.12940249,0.36665148,0.42666,0.3228202,-0.744762,0.47825506,0.09326834,-0.40292403
IOPS_3,0.2553757,-0.5589121,-0.6212161,-0.8216417,-0.1242219,-0.6727948,-0.23842603,-0.7663342,-0.2182819,0.34046504,0.4819616,0.43704233,-0.5597265,0.49651632,0.28758892,-0.20689753
IOPS_319,-0.18248805,-0.45756584,-0.6776051,-0.31489393,-0.11525291,-0.11125157,-0.34059742,0.07413505,0.2666021,0.10724015,-0.08592083,0.4848659,-0.8690068,0.61680996,-0.6436828,-0.3602081
IOPS_327,-0.18933152,0.012069298,-0.1623748,-0.8520467,-0.12008122,0.0037160546,-0.6268454,0.21663447,-0.31043953,-0.052763045,0.26581278,-0.42027733,-0.394572,-0.09912323,0.040763706,-0.6959291
IOPS_328,-0.3994867,-0.67559105,-0.648556,0.02527008,-0.052181296,-0.5912261,0.6067805,-0.4056011,-0.59645176,-0.24693762,-0.23302008,-0.5241238,1.5556897,-0.31412885,1.0841371,-0.28411528
IOPS_329,-0.4028303,0.32675448,0.48010904,-0.7065693,-0.3212627,-0.08630898,-0.46658692,0.12426636,-0.47717708,-0.40093982,0.21679094,-0.5862092,0.019173361,-0.35904288,0.0532426,-0.54436886
IOPS_330,-0.47137207,0.6366251,-0.17050593,-0.08758114,-0.68353903,0.7781794,-0.16943385,-0.67676187,0.5177294,-0.4464156,-0.29803377,-0.5638572,-0.6089835,-0.43657836,-1.0644131,-0.08379998
IOPS_331,-0.4290937,0.19702156,-0.3041436,-0.520841,-0.3591114,0.4148847,-0.40516722,-0.00040808725,0.31121376,-0.24198146,-0.14350168,-0.242546,-0.7510947,0.031055022,-0.83592814,-0.5087502
IOPS_333,0.19801372,-0.49723113,-0.62118685,-0.75608045,0.029410021,-0.5493154,-0.36011866,-0.56909835,-0.6124246,0.37184668,0.4516557,-0.08129673,-0.045085877,0.12698244,0.84762585,-0.43477848
IOPS_334,-0.2639218,0.017965809,-0.37755668,-0.70789284,-0.19164081,0.19884472,-0.51288295,0.15773292,0.15269475,-0.11599651,0.058640007,-0.16959411,-0.74267507,0.14231814,-0.5623279,-0.6206293
IOPS_337,-0.2902706,0.15331218,0.1496335,-0.7973491,-0.2005875,-0.042129777,-0.55671394,0.2593125,-0.42298487,-0.25041717,0.24073301,-0.548414,-0.12021814,-0.24609411,0.09565531,-0.6619872
IOPS_338,-0.47663504,0.65670437,-0.089072555,-0.23249868,-0.65192896,0.7229844,-0.21177131,-0.6267086,0.5032271,-0.42626154,-0.22885576,-0.544822,-0.63961226,-0.39715043,-1.0612016,-0.13498923
IOPS_342,-0.4453252,-0.32827908,-0.07349812,-0.35220456,-0.033229407,-0.48004517,0.113057256,0.28781986,-0.6677268,-0.28981867,-0.18683648,-0.548004,1.1044927,-0.32055873,0.753958,-0.50031936
IOPS_344,-0.056062214,-0.39825675,-0.6209903,-0.5828472,-0.09090296,-0.16372475,-0.41616845,-0.039830577,0.13195626,0.17458841,0.13292353,0.37758696,-0.8813622,0.519961,-0.4002265,-0.39703545
IOPS_353,-0.53974336,-0.123506494,-0.7658494,0.734731,-0.4283252,0.49113896,-0.21207976,-0.04237476,0.3171526,-0.27235612,-0.6175516,-0.106218725,-0.60753125,0.046276405,-0.8898951,-0.36181232
IOPS_365,-0.2700241,-0.13874827,-0.5524589,-0.43656778,-0.18238673,0.16419728,-0.44092804,0.13641694,0.22576815,0.006967661,-0.05707672,0.09067455,-0.8258657,0.295909,-0.644403,-0.51559603
IOPS_381,-0.32514727,-0.3092779,-0.6562175,-0.21464454,-0.18004113,0.10709046,-0.36030653,0.16331695,0.27949783,0.016417475,-0.19995062,0.27182052,-0.8496066,0.4305879,-0.7343637,-0.43407056
IOPS_393,-0.538384,-0.02598002,-0.71230495,0.5198334,-0.43118548,0.56763786,-0.24748373,-0.020694006,0.37797156,-0.25967562,-0.5502083,-0.15517645,-0.66436267,0.037654772,-0.93441087,-0.3844949
IOPS_394,-0.4756612,-0.028607158,-0.77020806,0.93157804,-0.5589891,0.5469928,-0.10296241,-0.39532736,0.35209963,-0.38017365,-0.60165584,-0.30481628,-0.51270455,-0.17958383,-0.809994,-0.1832121
IOPS_396,-0.5202299,-0.06845932,-0.7667007,0.8345278,-0.4982308,0.5334077,-0.15263489,-0.21916299,0.33931205,-0.32783258,-0.611036,-0.20129071,-0.55784154,-0.06532825,-0.86543924,-0.2662255
IOPS_401,0.04055828,-0.4333776,-0.6227689,-0.68567854,-0.056658532,-0.29261947,-0.42567748,-0.19271626,0.05753739,0.25905395,0.24542035,0.40621778,-0.83819526,0.5392279,-0.23795824,-0.37681636
IOPS_418,-0.32390982,-0.14950699,-0.5082639,-0.43219966,-0.2330779,0.1759302,-0.37721312,0.12407156,0.2377076,-0.0037920785,-0.089262284,0.12774909,-0.8374093,0.28394777,-0.6649901,-0.45169416
IOPS_427,-0.5249656,0.119228475,-0.54202193,0.16895635,-0.47550693,0.52182204,-0.2269371,-0.19305234,0.40872806,-0.23746814,-0.44791424,-0.14125825,-0.6739959,-0.016507918,-0.9427968,-0.30617553
IOPS_450,-0.52855545,-0.031238362,-0.6554099,0.3222412,-0.42231914,0.5265993,-0.2572449,-0.03571459,0.39165118,-0.21402664,-0.48383892,-0.08212607,-0.7165182,0.07564646,-0.9265778,-0.35780945
IOPS_459,0.22325438,-0.5134176,-0.6305206,-0.7761025,-0.031014964,-0.5320088,-0.41229555,-0.6382486,-0.47748634,0.45245314,0.48806548,0.14705865,-0.3884694,0.2335131,0.6404198,-0.34212217
IOPS_46,-0.5459784,-0.12434087,-0.7684407,0.71108663,-0.42215976,0.5167577,-0.22871794,-0.013052776,0.3313356,-0.26606658,-0.6115927,-0.11835407,-0.6354897,0.059346974,-0.89866745,-0.37240985
IOPS_461,-0.50928146,0.017514788,-0.7120759,0.71311516,-0.5435654,0.5876353,-0.13695097,-0.3092719,0.39243683,-0.34631532,-0.5664673,-0.25811183,-0.5682526,-0.12699428,-0.8834416,-0.22196673
IOPS_475,-0.53483856,-0.122089826,-0.77280676,0.80698943,-0.46011063,0.5007428,-0.18136434,-0.12537943,0.3276579,-0.29655543,-0.6190358,-0.15011641,-0.5895886,0.009575853,-0.87520397,-0.31761402
IOPS_478,-0.5410651,-0.113279894,-0.7665209,0.7387573,-0.44303402,0.49198252,-0.1965194,-0.08225997,0.3250392,-0.28168762,-0.6166044,-0.12594172,-0.6042071,0.03989546,-0.8939136,-0.3473676
IOPS_52,-0.51158506,-0.056635227,-0.7590135,0.83601516,-0.5125109,0.54666865,-0.14780371,-0.2412265,0.3516897,-0.33875453,-0.607592,-0.22574158,-0.5646453,-0.087780334,-0.8528739,-0.26100147
IOPS_59,-0.4915254,-0.21140778,-0.7041825,0.1908196,-0.27663094,0.3216834,-0.3333668,0.17949536,0.30701852,-0.13464096,-0.46658385,0.10783914,-0.7328384,0.28225484,-0.88950723,-0.4516988
IOPS_68,0.045227736,-0.40440118,-0.62712246,-0.6710118,-0.052624308,-0.24313293,-0.45355442,-0.124043114,0.04983957,0.2531638,0.25046194,0.34939304,-0.85053706,0.50890964,-0.23870544,-0.4297512
IOPS_71,0.007919584,-0.36555597,-0.58694136,-0.6761299,-0.06911157,-0.19240692,-0.46076638,-0.06563847,0.03474548,0.22077927,0.24367116,0.26363832,-0.823464,0.44307458,-0.2286706,-0.4471489
IOPS_81,-0.16702674,-0.21664178,-0.5820138,-0.52393776,-0.12095855,0.060484678,-0.4872241,0.12041266,0.1807713,0.09479583,0.06649537,0.13698174,-0.85847837,0.37161046,-0.52215576,-0.5248751
IOPS_87,-0.21700701,-0.05336281,-0.50159067,-0.6479635,-0.130476,0.19879706,-0.6000251,0.21155776,0.10530177,0.01445952,0.10540399,-0.14037982,-0.79964745,0.17537992,-0.4767361,-0.66296947
