Dataset,AE_1,AE_2,AE_3,AE_4
IOPS_102,-0.39781687,-0.8480419,1.974091,0.65380394
IOPS_103,1.9928705,-0.41943294,-0.14961587,-0.909039
IOPS_104,1.859107,-0.59830713,0.2831674,-0.72567
IOPS_11,-0.54858893,-0.76223063,2.0179307,0.581854
IOPS_116,0.841264,-0.50143117,0.6366779,-0.15374108
IOPS_118,1.5812651,-0.6237196,0.642387,-0.58868676
IOPS_121,1.9736986,-0.42299822,-0.1147515,-0.9011664
IOPS_127,0.99172217,-0.055378433,0.20899284,-0.6844925
IOPS_128,-0.23119472,-0.60818464,1.3526379,0.7385161
IOPS_186,2.1400492,-0.4436473,-0.43212327,-1.0138825
IOPS_19,1.3965435,-0.6650756,0.84790474,-0.44391719
IOPS_192,2.1390777,-0.33587694,-0.6034075,-1.1068736
IOPS_194,-0.078580275,-0.17251714,0.023317408,0.54516643
IOPS_199,1.929011,-0.75017655,0.39358822,-0.67216104
IOPS_218,0.6707996,-0.66562635,1.0476257,0.022979895
IOPS_225,-0.47984213,-0.7432522,2.1419153,0.52905697
IOPS_236,-0.5168176,-0.8182062,1.9811081,0.74727094
IOPS_24,0.043689374,-0.7922026,1.9530748,0.16467223
IOPS_241,-1.0064425,-0.2492884,-0.7234705,1.9560536
IOPS_242,-0.4352345,0.7851464,-0.9202267,-1.1288025
IOPS_243,-0.95130956,-1.046905,-0.72939885,2.5290287
IOPS_246,-0.92449117,-1.1650317,-0.6532403,2.5574245
IOPS_255,-0.38403568,-0.011724339,0.053231608,0.53801847
IOPS_256,-0.36039424,-0.2484303,0.38936102,0.8693804
IOPS_261,1.9701833,-0.5036488,0.01037893,-0.83748174
IOPS_264,1.4759895,-0.606397,0.6211545,-0.45392543
IOPS_267,-0.3043236,-0.80336434,2.006685,0.48346913
IOPS_269,1.5528682,-0.4925716,0.46485513,-0.5942796
IOPS_275,2.026838,-0.49542552,-0.09940739,-0.8982483
IOPS_285,-0.13466758,-0.8468329,1.8036782,0.5223751
IOPS_3,-0.634272,-0.72365904,2.115315,0.5203942
IOPS_319,0.862203,-0.8997665,1.5755211,-0.23474756
IOPS_327,-0.36013973,-0.10893513,0.11716332,0.68342644
IOPS_328,-0.97475964,-1.2620475,-0.61144805,2.4641373
IOPS_329,-1.0093838,0.39446473,-0.64123935,0.46210024
IOPS_330,0.9518883,0.52419466,-0.68744236,-1.2431192
IOPS_331,0.5437016,0.074520424,0.13339658,-0.49581516
IOPS_333,-0.7384015,-0.93426764,1.249418,1.4287142
IOPS_334,0.31918326,-0.16350442,0.41283894,0.0016026497
