Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16
ambient_temperature_system_failure,-1.6867074,-1.2329438,1.5400773,0.045454428,-2.6642845,-0.056931853,-1.206794,0.41282314,-1.3605965,-0.910801,-0.2822919,-0.024694845,-1.1804156,-1.1229246,0.8171269,0.17244501
art_daily_flatmiddle,1.8881348,-1.8590664,-0.5925585,4.243755,-4.281485,1.3648622,0.2362138,0.14697964,2.306471,-1.9955984,-1.0907527,1.037097,-3.8141208,-1.0512758,-1.345506,1.4356356
art_daily_jumpsdown,1.5060147,-0.897533,-1.1040113,3.0044098,-2.7521846,1.435617,0.28262907,0.010751989,1.9566026,-1.6568147,-1.0472733,1.5191572,-2.6231606,-0.68258965,-0.8855566,1.328914
art_daily_jumpsup,1.8298166,-1.3930272,-0.2150347,3.6613061,-2.983023,0.061799623,-0.06344554,-0.42225745,1.8940687,-1.3910626,-2.0425246,0.38151088,-3.5595973,-1.6248593,-1.0181599,0.6074807
art_daily_nojump,1.2679944,-0.69422466,-0.94931924,3.0225716,-2.9782197,1.689055,-0.022550121,-0.28910208,1.8391488,-1.530672,-0.5419078,1.5535889,-2.4735553,-0.67602104,-0.853599,1.4503642
art_increase_spike_density,0.073021434,0.5917781,1.8563676,5.01171,-7.3444,7.2136064,-1.44284,-0.5436914,0.35530868,-2.3512635,1.6502658,-0.89956856,-0.6938289,-0.300991,0.15445442,1.7194428
art_load_balancer_spikes,0.26708117,-0.41076702,0.15675904,1.141302,-2.197923,0.795178,0.89915013,0.63050264,0.12155921,-1.1609747,-0.0349569,0.1791536,-1.4833038,-1.1352016,-0.2593016,-0.17979446
cpu_utilization_asg_misconfiguration,-1.8638996,2.9029546,2.99751,4.8624697,-8.007026,7.981615,1.2758186,1.6243296,-2.6414592,-2.4543762,0.17525661,-2.1368423,-1.9671487,-3.809055,-0.13842145,0.99911773
ec2_cpu_utilization_53ea38,1.5279634,-2.2404456,2.4614396,9.07312,-9.607404,9.456595,1.211318,7.4804316,7.1883044,-4.076841,4.6246076,-1.6980972,3.2516248,8.30399,4.990831,-3.3990383
ec2_cpu_utilization_5f5533,8.26232,8.167994,3.8930728,14.12612,-5.350794,12.125278,-4.649441,-5.9118176,5.1223474,-4.6913023,-5.501327,-7.316251,4.920342,-5.753572,4.9835787,-4.082732
ec2_cpu_utilization_24ae8d,0.43305784,0.47467124,1.388656,1.7496592,-3.8957236,2.0528445,-0.6020913,-0.027685495,-0.07329624,-1.4713221,1.0269225,-0.62062085,-1.2890139,-1.1320696,0.3185094,0.08505587
ec2_cpu_utilization_77c1ca,0.14144267,-1.3550879,0.20478758,1.9244893,-1.8476408,-0.14310354,0.60369563,0.33971927,0.50544584,-1.0743045,-0.7687162,1.2286446,-1.8347224,-0.27353448,0.1439977,0.18306573
ec2_cpu_utilization_825cc2,1.0528964,1.0029116,1.0527798,3.699575,-5.9897285,4.749679,-0.43669456,-0.20305328,0.33303314,-2.0218196,1.5558686,-0.6933284,-1.7077937,-1.1583396,-0.11436123,0.7824157
ec2_cpu_utilization_ac20cd,1.8013288,-0.2419514,-0.62305635,1.182046,-0.009216702,-1.4425628,-0.22719051,0.67765844,1.1526049,-1.0028275,-2.4837875,0.36381823,-1.4883797,-1.0259224,-0.05896905,-0.05944512
ec2_cpu_utilization_fe7f93,0.07400114,-0.47912896,0.41974518,2.0450788,-2.8709657,1.181392,0.54190385,-0.015817173,0.3404932,-1.3265618,0.021148134,0.3056056,-1.656353,-1.3580511,0.2221456,-0.17702754
ec2_disk_write_bytes_1ef3de,13.955777,3.026004,-5.2817574,9.609174,-17.335737,0.8783045,3.1664603,11.527263,1.0566028,-3.1454616,8.0078535,10.469563,-18.018696,-5.3458147,-12.549126,4.514763
ec2_disk_write_bytes_c0d644,12.039941,10.67174,7.0016813,12.157694,-15.14696,-13.751924,-11.186068,17.786776,-5.513065,3.5082085,2.38881,16.081358,-18.099987,-4.7853584,-7.6788273,9.728092
ec2_network_in_257a54,1.4650749,1.0723422,0.5980233,0.9403999,-1.300419,-1.8363065,-0.7177421,3.0736458,-1.1178131,-0.12282756,-0.20409143,1.9523739,-2.2703342,-0.15380788,-1.3161252,0.9719597
ec2_request_latency_system_failure,1.8625844,0.1500254,0.4715164,2.7129762,-1.1621491,0.9836189,1.30342,0.75796705,0.8034409,-1.374283,-1.4358591,-1.4628164,-0.2824103,0.12760727,-0.16903979,-1.9262099
ec2_network_in_5abac7,0.5654149,-0.15383106,0.6425036,2.1031022,-2.0977197,0.85527456,0.9561249,0.70037705,-0.16985096,-0.7140618,0.20228231,-0.23002253,-1.5143172,-0.6293952,-0.96865565,-0.69889873
elb_request_count_8c0756,-0.36574936,0.50159454,1.948401,2.8547168,-4.3732347,2.8105438,-1.4176273,-0.4565967,0.17638764,-1.4069879,1.1811764,-0.7129643,-0.8436462,-0.6733597,0.6929328,0.64797753
exchange-2_cpc_results,1.407578,-0.5272188,0.8416099,4.5638294,-7.611732,4.712153,-2.4258933,-1.1875119,1.7374728,-2.9251955,1.744857,0.21097589,-2.404433,-1.1555338,-0.06642711,2.3283935
exchange-2_cpm_results,1.536575,-0.46836585,0.8367467,4.766441,-7.8037066,4.9707804,-2.6916702,-1.1305817,1.9102907,-3.0917275,1.8402221,0.25600746,-2.4181342,-0.9919737,-0.23437823,2.6080825
exchange-3_cpc_results,1.5672789,-1.9439698,0.11753635,1.6115016,-2.462415,-1.4785362,-0.9799542,0.33453873,1.5173109,-2.0789597,-1.4377295,0.35708404,-2.4733531,-0.36929283,-0.13683343,0.67600214
exchange-3_cpm_results,1.5004497,-0.15679735,0.71648455,3.7337198,-5.778368,4.0705056,-2.6641796,-1.0887976,1.4054482,-2.6237,1.0843906,-0.6757834,-1.74887,-0.8950372,-0.8669811,2.5376015
exchange-4_cpc_results,2.3916357,-0.52583677,0.18217,2.5802555,-4.225963,2.8094356,-1.7531509,-0.12563008,1.8442838,-2.4706748,0.96431637,-0.9245011,-1.9324152,-0.60498714,-0.76153815,1.2113864
exchange-4_cpm_results,2.3257885,-0.5170562,0.51688325,3.3431127,-5.1141763,3.4127388,-1.9222457,-0.4515468,1.6440401,-2.5385163,1.1460875,-1.2029768,-2.0640564,-0.7101268,-0.8816752,1.334916
grok_asg_anomaly,0.30010438,-0.24300127,0.2831376,1.1977617,-1.2915028,0.748635,0.95126647,0.54007417,-0.17227407,-0.71503675,-0.3400611,-0.34568584,-1.0257989,-0.44182613,-0.626288,-0.42198738
iio_us-east-1_i-a2eb1cd9_NetworkIn,1.8984225,-0.29273683,0.34210372,1.486929,-2.0533798,0.09481441,-0.9100391,0.6525171,0.77746034,-1.2611285,0.6217789,-0.2724055,-1.6067425,0.23335914,-0.5132241,0.0916852
machine_temperature_system_failure,0.49171045,2.721696,4.231048,3.8308673,-7.761463,1.7478693,1.2924104,6.258511,-5.341493,-2.252032,-4.1946054,-5.359419,-5.322506,-7.424122,-1.744624,-1.2887168
nyc_taxi,-0.628873,1.4253331,2.5754654,2.918729,-4.410532,3.1288016,0.17158791,0.47561064,-1.1296974,-1.0853124,0.8198648,-1.7532798,-1.3546861,-1.692366,0.092173144,-0.33105466
occupancy_6005,1.4464375,-0.43789738,-0.4294445,2.3479934,-0.9992469,-0.8928601,0.48011902,0.44206184,1.5432255,-1.3378532,-1.1070977,0.91524446,-1.4945718,0.34278792,0.4538051,-0.85488194
occupancy_t4013,0.65559137,-1.664968,0.19981547,2.0905254,-2.3946433,-0.72652256,0.31991506,0.44047898,1.1010319,-1.8566064,-0.43237245,1.0633016,-1.925576,0.3773531,0.28504598,-0.24488777
rds_cpu_utilization_cc0c53,0.8414376,0.6300889,0.84459794,2.2124813,-4.3008795,2.8518965,-0.6228975,-0.23929441,0.15266933,-1.4725525,1.0938171,-0.7458405,-1.2632086,-1.1165631,-0.25014794,0.721372
rds_cpu_utilization_e47b3b,0.13210613,0.6676595,0.90465105,4.0131116,-5.995817,6.5011625,-1.0988424,-0.55485535,0.026673285,-1.9159814,0.8913357,-0.8296367,-0.53615427,-0.2963352,-0.56809664,2.0472028
rogue_agent_key_hold,1.4196538,-1.6472406,0.05663885,1.3970723,-2.1160197,-0.1723821,0.41031423,0.6158836,1.1875544,-1.536742,-0.08629028,0.091991335,-1.643308,0.40148345,-0.1792121,-0.41652426
rogue_agent_key_updown,-0.1724481,0.45486146,0.51725423,0.7449598,-1.025363,-0.03784269,0.071897626,0.9221773,-1.5924742,-0.66412795,-1.0107043,-1.1709138,-1.3064817,-0.28207868,-0.9987002,-0.3748651
speed_6005,0.376551,-2.3817852,1.0430808,2.2010093,-3.3896136,0.4061934,0.9473521,2.0252147,1.9278152,-1.9850023,1.3141832,0.6753066,-0.9101558,2.0475333,0.8721956,-1.0699447
speed_7578,3.9928374,-0.6076905,1.4907881,1.0446008,-2.962153,-1.6075251,-1.9125233,1.8248916,0.6995295,-2.073675,-0.18667716,-2.0127864,-3.0799572,1.3388748,0.0643311,-1.8163967
speed_t4013,2.8605072,1.367224,2.0515745,2.1942742,-2.6505272,-0.23546776,-2.6231666,2.7939634,0.73976547,-3.5111828,-1.0588533,-3.888908,-2.0888517,-1.8163091,-1.2923301,0.5628135
TravelTime_387,0.24997932,-0.3747751,0.5284609,1.0620432,-1.1604304,0.14929184,-0.06927615,0.0957824,0.34079385,-0.8442684,0.3081231,0.13670298,-0.58604103,0.32796615,0.23496597,-0.39566964
TravelTime_451,0.96642387,-0.69368744,-0.3496135,0.81384933,-1.168306,-0.32758477,-0.006169158,0.17097351,1.1743724,-1.2410839,-0.4984956,0.8452089,-1.1285412,-0.022017479,0.37721157,0.20299594
Twitter_volume_AAPL,-0.8286524,0.06410315,2.126598,2.0056863,-5.663118,1.3857841,0.88115215,2.9068065,-3.4595995,-0.4866607,-1.9140176,-1.9588315,-3.4658208,-4.887403,-0.33109546,-1.1937433
Twitter_volume_AMZN,0.3015089,1.0676464,2.2324772,2.774564,-4.433769,1.4347577,2.202855,4.295755,-2.9873168,-1.2069687,-2.1549325,-3.1660986,-3.050681,-2.8607183,-1.5034171,-1.7503028
Twitter_volume_CRM,-0.18723802,0.45803112,2.0203109,2.3020465,-4.530898,1.0273975,1.905577,3.7860289,-3.0912213,-1.1763604,-2.032716,-2.5996714,-2.9073606,-3.449772,-0.9432825,-1.6580576
Twitter_volume_CVS,-0.32889947,0.059747167,1.5164635,2.3789022,-4.9512534,0.8121662,1.6130729,3.1235526,-2.4821072,-0.57736117,-2.2006335,-1.1024332,-3.693768,-4.848846,-0.2686509,-1.2465038
Twitter_volume_FB,1.0751369,-0.55058324,4.1869154,1.6544132,-7.1170545,2.2329183,-1.8268967,4.031717,-5.9220085,0.6330467,-1.692303,-5.645974,-4.5429935,-3.7530065,-3.0927496,-0.49560228
Twitter_volume_GOOG,-1.1359264,0.35972697,2.3690538,2.6115015,-5.537977,2.1366231,1.6375258,2.7957847,-2.3647573,-0.9931621,-1.0443267,-1.5302093,-2.5293033,-3.8340366,0.12593785,-1.0068368
Twitter_volume_IBM,-1.571753,0.7020829,2.2376058,2.0384836,-5.293755,1.7611036,1.5713928,3.463511,-2.8822277,-1.4332731,-1.4604349,-1.4563758,-2.6513286,-3.7030287,-0.02482421,-0.69257104
Twitter_volume_KO,-0.29183125,0.2630595,2.5417256,1.8318105,-5.1872673,0.48779967,0.9498976,3.7979496,-4.126569,-0.8891064,-2.3111312,-3.080444,-3.5129993,-3.793907,-0.9380622,-1.6798191
Twitter_volume_PFE,-0.14265992,0.4560958,2.3488638,3.1430032,-5.406018,1.3280071,2.5837722,4.0072618,-2.1731315,-0.8945456,-1.6024467,-2.0881243,-3.1428528,-3.7190263,-0.6476031,-1.997504
