Dataset,AE_1,AE_2,AE_3,AE_4,target
IOPS_102,-0.39781687,-0.8480419,1.974091,0.65380394,4
IOPS_103,1.9928705,-0.41943294,-0.14961587,-0.909039,4
IOPS_104,1.859107,-0.59830713,0.2831674,-0.72567,2
IOPS_11,-0.54858893,-0.76223063,2.0179307,0.581854,4
IOPS_116,0.841264,-0.50143117,0.6366779,-0.15374108,4
IOPS_118,1.5812651,-0.6237196,0.642387,-0.58868676,0
IOPS_121,1.9736986,-0.42299822,-0.1147515,-0.9011664,4
IOPS_127,0.99172217,-0.055378433,0.20899284,-0.6844925,4
IOPS_128,-0.23119472,-0.60818464,1.3526379,0.7385161,0
IOPS_186,2.1400492,-0.4436473,-0.43212327,-1.0138825,4
IOPS_19,1.3965435,-0.6650756,0.84790474,-0.44391719,0
IOPS_192,2.1390777,-0.33587694,-0.6034075,-1.1068736,4
IOPS_194,-0.078580275,-0.17251714,0.023317408,0.54516643,4
IOPS_199,1.929011,-0.75017655,0.39358822,-0.67216104,4
IOPS_218,0.6707996,-0.66562635,1.0476257,0.022979895,0
IOPS_225,-0.47984213,-0.7432522,2.1419153,0.52905697,0
IOPS_236,-0.5168176,-0.8182062,1.9811081,0.74727094,4
IOPS_24,0.043689374,-0.7922026,1.9530748,0.16467223,0
IOPS_241,-1.0064425,-0.2492884,-0.7234705,1.9560536,2
IOPS_242,-0.4352345,0.7851464,-0.9202267,-1.1288025,4
IOPS_243,-0.95130956,-1.046905,-0.72939885,2.5290287,2
IOPS_246,-0.92449117,-1.1650317,-0.6532403,2.5574245,2
IOPS_255,-0.38403568,-0.011724339,0.053231608,0.53801847,4
IOPS_256,-0.36039424,-0.2484303,0.38936102,0.8693804,4
IOPS_261,1.9701833,-0.5036488,0.01037893,-0.83748174,0
IOPS_264,1.4759895,-0.606397,0.6211545,-0.45392543,0
IOPS_267,-0.3043236,-0.80336434,2.006685,0.48346913,0
IOPS_269,1.5528682,-0.4925716,0.46485513,-0.5942796,0
IOPS_275,2.026838,-0.49542552,-0.09940739,-0.8982483,4
IOPS_285,-0.13466758,-0.8468329,1.8036782,0.5223751,0
IOPS_3,-0.634272,-0.72365904,2.115315,0.5203942,4
IOPS_319,0.862203,-0.8997665,1.5755211,-0.23474756,0
IOPS_327,-0.36013973,-0.10893513,0.11716332,0.68342644,2
IOPS_328,-0.97475964,-1.2620475,-0.61144805,2.4641373,2
IOPS_329,-1.0093838,0.39446473,-0.64123935,0.46210024,3
IOPS_330,0.9518883,0.52419466,-0.68744236,-1.2431192,3
IOPS_331,0.5437016,0.074520424,0.13339658,-0.49581516,0
IOPS_333,-0.7384015,-0.93426764,1.249418,1.4287142,4
IOPS_334,0.31918326,-0.16350442,0.41283894,0.0016026497,0
IOPS_337,-0.72924453,0.16251218,-0.307038,0.6726212,3
IOPS_338,0.7070357,0.5393453,-0.66230685,-1.2084048,4
IOPS_342,-0.9149502,-0.4894108,-0.55252707,2.0052214,3
IOPS_344,0.42975608,-0.74823964,1.4601071,0.03768849,2
IOPS_353,1.9203682,-0.5825129,0.20140262,-0.74960303,0
IOPS_365,0.6902395,-0.48528403,0.8297136,-0.12052002,2
IOPS_381,1.0390881,-0.7187062,1.0784652,-0.25267437,0
IOPS_393,1.7536706,-0.42786774,0.18600498,-0.7149356,4
IOPS_394,2.0268664,-0.4241237,-0.20508204,-0.93162763,4
IOPS_396,1.9657363,-0.49932113,0.006269156,-0.8479861,4
IOPS_401,0.1875087,-0.75878584,1.6524367,0.17956905,2
IOPS_418,0.6427602,-0.3530029,0.82714635,-0.18927409,4
IOPS_427,1.2954975,-0.07974235,0.23044294,-0.81373775,2
IOPS_450,1.5379292,-0.3617202,0.31567857,-0.7014026,4
IOPS_459,-0.5602208,-0.83640647,1.6754423,1.0576497,0
IOPS_46,1.914481,-0.5872584,0.19780089,-0.7335993,0
IOPS_461,1.8533719,-0.31972107,-0.06929722,-0.9018768,4
IOPS_475,1.972382,-0.5899629,0.121353954,-0.8002998,4
IOPS_478,1.9238993,-0.57082254,0.17325225,-0.7736643,4
IOPS_52,1.9583875,-0.4539826,-0.027383938,-0.8683749,0
IOPS_59,1.5274214,-0.6344962,0.71150964,-0.48680246,0
IOPS_68,0.2479618,-0.79906553,1.5261818,0.21138097,2
IOPS_71,0.23383176,-0.72581196,1.3646402,0.24898167,2
IOPS_81,0.5916005,-0.6316974,1.0044394,0.018542731,2
IOPS_87,0.48024914,-0.46294126,0.52852595,0.17807223,2
IOPS_89,1.1420217,-0.54898673,0.6492113,-0.28336865,0
IOPS_94,0.6598914,-0.8082841,1.6404222,-0.23335092,0
IOPS_96,1.8432152,-0.6239182,0.33996612,-0.7045379,4
