Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,target
IOPS_3,-0.1855947,-0.19833669,0.38377976,1.0908864,-1.7227902,-0.10484489,0.7604832,1.2725085,-0.6343989,-0.53230107,-1.4554281,0.10134232,-1.7669269,-2.1662366,0.29419625,-0.48985034,4
IOPS_11,-0.018297808,-0.4238882,0.60472876,1.0971582,-1.7885351,-0.30951333,0.5861543,1.3382194,-0.9021452,-0.5785731,-1.6827168,-0.34627193,-1.9756191,-2.264577,0.09897213,-0.5727809,4
IOPS_19,-1.0219126,-0.116438664,1.4955841,1.7847544,-3.1033494,1.1065441,0.7450772,0.818326,-0.6934898,-1.3597004,0.24813715,-0.39455768,-1.2009007,-1.1785283,0.42570013,-0.5288001,0
IOPS_24,0.12158282,0.7877148,0.43623564,2.1094744,-1.7756052,0.67495054,0.38022095,0.1751808,-0.25368094,-0.5958414,-1.3805313,-0.54433036,-1.1667453,-2.5189333,0.7591389,-0.74794793,0
IOPS_46,0.34639975,0.8184313,0.97101253,2.0270724,-2.019906,1.4245113,0.7788077,0.7816308,-0.5933567,-0.8683915,-0.5061692,-1.4098012,-0.8147379,-1.4205914,-0.27474594,-0.87304974,0
IOPS_52,-4.0619445,-2.581784,3.6038046,0.9653838,-5.327439,0.58946985,-0.76103556,1.7555724,-0.91974306,-2.998111,0.6918205,1.169749,-1.2546934,-0.054772105,3.1977222,0.08440281,0
IOPS_59,-0.33836564,-0.2091242,1.1722405,1.769737,-2.8962708,1.3621566,1.0765275,0.89140075,-0.57104,-0.89304215,0.17845736,-0.5984703,-1.2047046,-1.1136811,-0.065019384,-0.74106306,0
IOPS_68,0.11936718,-0.059623554,0.64181805,1.428385,-1.3604108,-0.21251497,0.9740922,1.4469173,-0.45292327,-0.49401018,-1.1754274,-0.58486575,-1.0104573,-1.1124929,0.26644725,-1.3392394,2
IOPS_71,0.12753733,0.11647938,0.5049192,1.1172811,-1.3806348,0.28700835,1.3275319,1.679324,-0.49182177,-0.66749144,-0.9034272,-0.5007347,-1.206035,-1.0706291,-0.27152407,-0.74196035,2
IOPS_81,0.25506505,-0.11219271,0.5447736,1.4743466,-1.6705244,0.69811076,1.915975,2.0737338,-0.44166034,-0.6933362,-0.8321497,-0.83987725,-1.273101,-0.74364424,-0.65871114,-1.1650976,2
IOPS_87,0.031368688,-0.25050727,0.5774436,1.220023,-1.9201043,0.7737852,1.2438891,1.186327,-0.5877622,-0.7075316,-0.59157556,-0.48971364,-1.2189791,-1.2869593,-0.31808385,-0.6868677,2
IOPS_89,-2.1971757,-1.772228,2.118161,0.68871546,-3.0344095,0.05586444,0.24167229,1.256076,-0.8676308,-1.6933564,0.02387085,0.41706738,-1.2619117,-0.23359756,1.2535242,-0.3240374,0
IOPS_94,-0.19229484,0.41830808,0.67459166,1.4755527,-1.7244788,0.4011362,0.9254786,1.1482778,-0.33406696,-0.8789329,-0.6592625,-0.3259721,-0.99607265,-1.2724673,0.38039547,-0.6899811,0
IOPS_96,-0.69122136,-0.20593312,1.2594621,1.658512,-2.6050844,1.4028691,1.5537293,1.5089626,-0.45263782,-1.3358228,0.11566851,-0.46494234,-0.9025332,-0.6230033,0.23818876,-0.7912975,4
IOPS_102,-0.26497686,-0.1158058,0.91936064,1.316738,-1.6063303,-0.5915666,0.70847595,1.5108055,-0.79983014,-0.6434613,-1.442368,-0.5070838,-1.2113386,-1.2687383,0.40357322,-1.0562264,4
IOPS_103,-0.42179352,0.33379006,1.392058,1.9167717,-2.8367143,1.8333088,0.8407443,0.741732,-0.61209303,-0.9228004,0.33671555,-0.9699507,-0.8574521,-1.2267015,0.071042255,-0.58335644,4
IOPS_104,0.35787585,0.246895,1.0090215,2.0027325,-2.4201646,1.5734607,1.7479237,1.66908,-0.58001184,-0.91168326,-0.1210355,-1.3926834,-1.1297419,-0.8116084,-0.8533179,-1.2047781,2
IOPS_116,0.8637806,-0.4647963,1.1198853,1.8537304,-1.6420898,0.7110834,1.5303081,2.4089282,-0.48893276,-0.27089536,-0.86744803,-1.5436115,-1.4572184,-0.09407277,-1.4207155,-1.1823939,4
IOPS_118,0.0039700605,0.44535708,1.1105394,2.0374517,-2.1804206,0.8461022,0.95035857,0.9732204,-0.547328,-1.0768698,-0.45475712,-1.0766109,-0.9790921,-1.2055036,0.07232699,-1.0531934,0
IOPS_121,-0.1016781,0.28599882,0.87552863,1.8276706,-2.306033,1.5248983,1.7254823,1.7161502,-0.75267607,-1.0691085,-0.23636152,-1.1701111,-1.036308,-0.6687992,-0.77790934,-0.9631331,4
IOPS_127,-0.36429057,-1.0843098,1.4169649,1.9706897,-2.4975853,0.9884354,2.3166375,3.0544302,-0.040864468,-1.1469043,-0.25066614,-1.094864,-0.7085449,0.7306494,0.01396323,-2.0494833,4
IOPS_128,0.35657737,0.0084373765,0.6275222,2.0743854,-1.7897712,0.09615606,1.4377118,1.5658604,0.17223346,-0.77965564,-1.162039,-0.2234876,-1.3293232,-1.3491673,0.43407345,-1.1068734,0
IOPS_186,-1.271627,0.94644374,2.6864245,3.2819066,-5.3096232,4.1958704,-0.44340718,0.2746288,-0.7022126,-1.5800683,1.2975041,-1.1976765,-0.73763776,-1.3077291,0.85784096,0.19337666,4
IOPS_192,0.03349872,1.6847959,1.4368898,4.1556115,-6.126826,6.345803,0.29231173,0.66873264,-0.884184,-2.107737,1.1117249,-1.4340727,-1.4566715,-1.143525,-0.7711152,0.62946075,4
