Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,target
IOPS_3,0.18653113,-1.1712586,-0.110306695,-0.6728291,0.3399464,-0.7625124,-0.7552565,1.9064983,0.75737834,0.9971404,-2.8223464,1.0810659,-2.1755042,-1.8604604,0.5591789,0.6700294,-0.38966084,0.07110955,-0.16175829,0.0835277,0.25633994,-1.2283912,-0.17644197,0.22105397,-2.1108866,-2.1109042,-1.7834452,0.74712646,-0.7151934,-0.8208404,-1.87444,1.5303768,4
IOPS_11,0.2377589,-1.1221107,-0.04496843,-0.5424011,0.21188089,-0.80929375,-0.7274747,1.9198574,0.6391107,1.1198772,-2.8388803,0.9120067,-2.0948853,-1.90719,0.48501527,0.4927623,-0.3157512,0.24542576,-0.021933021,0.10848901,0.23046425,-1.3174412,-0.35863817,0.12576081,-2.296902,-2.1300335,-1.8373353,0.93428826,-0.62907434,-0.86318344,-1.9590832,1.5835373,4
IOPS_19,0.6092379,-1.1982979,1.6213478,0.32111222,-0.7720166,-1.0982584,-1.7162316,1.9462231,0.90312445,-0.61543536,-0.79268473,-0.6063521,-1.9964465,-1.4034847,1.2928059,-0.3772592,1.2821655,-0.8227601,-0.44643125,1.0141461,0.12851328,-0.36231744,0.6284372,1.1246743,-1.384782,-2.4637892,-1.3028435,0.61088836,0.59674454,-0.19020972,-1.7832788,2.1869483,0
IOPS_24,0.7008366,-1.1408099,0.6558294,-0.39853027,-0.13496116,-1.0927724,-1.0653427,1.5462749,0.38738444,0.33353207,-2.2472415,0.4270598,-1.7872113,-1.3905683,0.2288706,0.34148002,-0.033890855,-0.16205369,-0.30085048,0.4603032,0.7924053,-0.9238329,-0.0063430667,0.17581636,-1.7500993,-1.751997,-1.5108958,0.49865252,0.49467543,0.16614673,-1.4193519,1.4635673,0
IOPS_46,0.6220735,-0.8374524,0.6795012,-0.47457722,-1.3786418,-1.1563104,-0.8840196,1.7008238,-0.5381939,-0.02507262,-1.0762844,0.06741685,-2.1586084,-1.2863657,0.10797341,-0.066507965,-0.46525815,-0.12383625,0.19873513,1.0078461,1.9973717,-0.43096876,-0.0913436,0.42661172,-1.4836979,-1.5892713,-1.6480349,-0.44150764,0.9462731,0.5083536,-1.4552028,1.510648,0
IOPS_52,-0.3561895,-3.5532234,3.7295055,0.44924352,-1.7267622,-1.3016363,-3.2089777,3.7784872,2.7797534,-1.1941277,-0.5959074,0.4759937,-3.8353715,-2.1915135,4.6286917,-0.16546714,2.0969858,-0.3924289,0.10398962,2.0988579,-1.6608816,-2.2879937,2.8154933,3.3664095,-2.968797,-4.664376,-3.06329,3.70397,0.15866742,-1.2887242,-3.8358319,3.2866282,0
IOPS_59,0.9918427,-1.0277708,1.3390126,0.40357763,-0.82416314,-1.2867006,-1.3018409,1.9080648,0.4992476,-0.7021687,-0.8266734,-0.5588751,-1.9823505,-1.5236051,0.7021036,-0.6954783,1.1577274,-0.54353845,-0.033283003,0.90406775,0.76074326,-0.39337382,-0.020042311,0.9871194,-1.4657872,-2.384327,-1.3307074,0.43190852,0.6073067,-0.13499932,-1.798226,1.9393009,0
IOPS_68,0.8401291,-0.5888001,0.42610085,-0.0826991,-0.58727705,-1.4493299,-0.8169083,1.8080212,-0.11742345,0.68119067,-1.8271068,0.17039755,-1.8086894,-1.8458298,-0.046038467,-0.63732517,0.8597057,0.23803228,0.22619003,0.5630811,0.08276412,-0.8474467,0.17857528,0.7166243,-1.490868,-1.8809639,-0.9982784,0.750269,0.079542264,-0.5243612,-1.0290929,1.0054599,2
IOPS_71,0.08181354,-0.6517495,-0.010250181,-0.2895831,-0.37883744,-1.0648197,-0.14821154,1.8511784,-0.03404563,0.6471579,-1.2120456,0.0023287088,-1.7167732,-1.566786,0.15200277,0.042296845,-0.29247698,0.12628268,0.48922706,0.49805984,0.48013657,-0.70352036,-0.18826014,0.5092901,-1.2456135,-1.6564153,-1.2118651,0.2354052,-0.2841702,-0.5188696,-1.2410944,1.2275662,2
IOPS_81,0.44990537,-0.5376675,0.3447404,-0.05175493,-1.1207905,-1.4148319,-0.3006085,2.202809,-0.6582436,0.79707396,-1.0922865,-0.28753284,-2.1457005,-2.0004075,0.2866349,-0.72195315,0.19989468,0.3584985,0.8828204,0.6957542,0.2844123,-0.84081024,-0.28257015,0.9390544,-1.1718029,-2.050857,-1.073271,0.2279048,-0.16841307,-0.6544446,-1.3910117,1.3260282,2
