Dataset,AE_1,AE_2,AE_3,AE_4,target
IOPS_3,-1.8812405,-1.0460217,-2.077818,3.0794759,4
IOPS_11,-1.8270459,-0.90900844,-2.1121817,3.1241217,4
IOPS_19,-0.39779142,-3.4476178,-1.1939895,3.6361842,0
IOPS_24,-0.81352216,-1.487617,-1.0970408,3.4545858,0
IOPS_46,-0.51896816,-1.4550804,0.10425839,3.2624204,0
IOPS_52,-1.7437994,-8.795318,-5.9265585,5.1294565,0
IOPS_59,-0.32949856,-2.7622879,-0.76671004,3.7963045,0
IOPS_68,-1.0243925,-1.1190492,-0.8445943,3.2525303,2
IOPS_71,-1.2619994,-0.4583945,-0.8429057,2.6049685,2
IOPS_81,-1.0527332,-0.6244488,-0.69332355,2.9639344,2
IOPS_87,-0.9866658,-1.5622488,-1.0816517,3.3398268,2
IOPS_89,-1.6098435,-4.523551,-3.7582204,3.2428925,0
IOPS_94,-1.1381348,-1.4275029,-0.4684867,2.8262799,0
IOPS_96,-0.87795097,-3.4802284,-1.0146117,3.071335,4
IOPS_102,-1.4460094,-1.0813144,-1.6024294,3.0090606,4
IOPS_103,-0.4108756,-3.0925508,-0.033678442,3.64273,4
IOPS_104,-0.59410876,-1.1639022,0.462948,2.8613226,2
IOPS_116,-0.32211235,0.024507673,-0.62682635,2.513295,4
IOPS_118,-0.5096304,-1.4335927,-0.563385,3.1415243,0
IOPS_121,-0.17591469,-1.5864725,-0.2670838,3.3236566,4
IOPS_127,-3.2247987,-3.6564238,-1.6206405,1.9326037,4
IOPS_128,-2.761979,-1.0745018,-0.6887701,2.4137104,0
IOPS_186,3.1487923,-8.034067,-0.99289685,5.1011257,4
IOPS_192,6.483082,-7.400325,-0.24948509,6.390176,4
IOPS_194,-0.3559883,-0.14890276,-1.0332923,3.7713873,4
IOPS_199,-0.34537032,-4.246332,-1.0928581,4.0575447,4
IOPS_218,-0.9563106,-1.6580186,-1.4712607,3.7894747,0
IOPS_225,-1.6529148,-1.5131556,-2.204222,3.1499932,0
IOPS_236,-2.144281,-1.163144,-2.1019466,3.4776518,4
IOPS_241,1.8282489,-0.9488597,-2.0421684,4.640244,2
IOPS_242,6.3805075,-1.5074086,-4.60302,9.419461,4
IOPS_243,5.0280952,3.054085,-1.6448133,9.942741,2
IOPS_246,2.7309191,1.2090621,-2.6900377,7.0740013,2
IOPS_255,-0.29823175,-0.1462533,-1.1476452,4.2364283,4
IOPS_256,-0.97028524,-0.5207527,-1.3549783,3.8704777,4
IOPS_261,-0.07791667,-2.6244924,-0.58707565,3.5714753,0
IOPS_264,-0.66200346,-0.46926472,-0.8847272,2.9991195,0
IOPS_267,-1.8073959,-1.0475849,-1.9979478,3.2585344,0
IOPS_269,0.22426589,-1.6871381,0.08461237,1.7849343,0
IOPS_275,0.5765571,-3.4090226,0.34641138,3.5704496,4
IOPS_285,-1.051259,-0.3267361,-1.5131484,3.2503812,0
IOPS_319,-0.6228698,-1.8346828,-1.3131859,2.8767211,0
IOPS_327,-0.8086522,-2.3207824,-2.81846,4.113885,2
IOPS_328,-0.83600754,-0.3826318,-1.8556805,7.017373,2
IOPS_329,3.4645066,-0.07774176,-3.9823837,8.707719,3
IOPS_330,5.3226514,-1.9993678,-3.7955022,7.9660788,3
IOPS_331,-0.6708104,-1.7745955,-2.126591,4.4414973,0
IOPS_333,-1.4673754,-0.09174363,-1.160303,3.8364277,4
IOPS_334,-1.0113368,-1.5470173,-2.0982552,3.8304236,0
IOPS_337,1.100408,0.08071999,-2.17219,5.6565447,3
IOPS_338,3.805462,-1.397169,-2.970114,6.969113,4
IOPS_342,2.3464518,0.7946356,-3.4964907,8.309125,3
IOPS_344,-1.3062537,-1.0245392,-0.9496893,2.8618248,2
IOPS_353,0.44899556,-3.07663,0.14082977,3.930076,0
IOPS_365,-1.1074941,-3.523791,-2.7189827,3.7813382,2
IOPS_381,-2.4890966,-9.88913,-8.227534,5.352749,0
IOPS_393,-0.43493727,-2.8083813,-1.7270811,3.7611506,4
IOPS_394,0.54395944,-2.651511,0.103981525,3.2655227,4
IOPS_396,-0.056978267,-2.388447,-0.8503507,3.6090872,4
IOPS_401,-1.43372,-1.3229198,-1.699952,3.1202474,2
IOPS_418,-2.8680172,-3.1223316,-0.7717648,1.5853472,4
IOPS_427,-1.1092329,-2.7541134,-1.0770973,3.9890358,2
IOPS_450,-0.7344784,-0.83983517,-0.5491951,3.1433008,4
IOPS_459,-1.8419467,-1.292536,-2.1099918,3.470311,0
IOPS_461,-0.2617691,-2.1231377,-0.4492686,3.4520915,4
IOPS_475,-0.49202874,-4.086415,-0.22796407,3.496763,4
IOPS_478,-0.4750611,-2.779368,-0.17138264,3.2683604,4
