Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,target
IOPS_3,0.04769023,-0.89937925,0.87878114,2.457288,1.3108816,0.7267744,2.5560722,0.33624908,4
IOPS_11,0.11401136,-1.4063733,0.46984893,2.5574725,0.9918735,0.5739485,2.542191,0.3428872,4
IOPS_19,3.7792506,-1.2212334,-0.5839463,2.1180327,0.3947568,1.4304286,2.0618176,0.3402931,0
IOPS_24,1.2093937,-0.6823294,0.05396346,1.9190375,0.5017896,0.6380544,2.7343419,0.21081921,0
IOPS_46,2.0316324,0.060137264,-0.43980408,1.7352487,-0.2436808,0.64078236,2.6920156,0.784452,0
IOPS_52,7.646928,-4.739243,-1.7853136,4.968835,-0.61654824,4.746937,2.013755,-0.19781543,0
IOPS_59,2.9309485,-0.6298169,-0.95039403,2.0842452,0.9064331,0.99545586,2.1004982,0.6493621,0
IOPS_68,0.6770235,-0.37167218,-0.5028528,2.5646007,1.4965799,0.3663734,1.9791931,0.71979535,2
IOPS_71,0.5595282,-0.41522995,-0.30681235,1.8430377,0.49740714,0.24402814,1.8233836,0.7750442,2
IOPS_81,0.7247187,0.108967535,-0.83799344,2.2810738,1.0323584,0.27288845,1.9557052,0.8622203,2
IOPS_87,1.219682,-0.5402202,-0.6645486,2.070948,0.61849123,0.5837364,2.33984,0.5222841,2
IOPS_89,3.724119,-2.8309848,-1.0219324,2.8852546,0.33853066,2.264538,1.420809,0.20040102,0
IOPS_94,1.5586278,-0.2797238,0.21828975,1.9154822,0.42954582,0.690978,2.2905736,0.4642931,0
IOPS_96,2.9696522,-0.49838847,-0.70227563,2.4875374,0.76083446,2.3241503,1.4462364,0.652084,4
IOPS_102,0.5575429,-1.1712179,-0.29469395,2.6538212,0.55890304,0.26571524,2.1099644,0.40411642,4
IOPS_103,3.3906052,-0.2732646,-0.64126664,2.1427715,0.53120595,1.4469181,1.8515124,0.6916564,4
IOPS_104,1.7543542,0.41013896,-0.9825203,2.009493,0.66229475,0.5620915,1.8825905,0.91374475,2
IOPS_116,0.53300744,0.023194179,-1.3412488,1.7574992,1.065007,0.06848283,0.8864561,1.2317283,4
IOPS_118,2.3879948,-0.43864027,-1.1789609,2.013333,0.44805908,0.6579801,2.391694,0.77941906,0
IOPS_121,2.4113402,0.008462243,-1.6189705,2.0717118,0.8711733,1.1914061,1.8826818,1.3164504,4
IOPS_127,1.9480324,-0.27077663,-1.7468112,3.0491984,1.3821282,1.6059945,1.0688215,1.0852079,4
IOPS_128,0.82518977,-0.30268958,0.16539432,2.7573574,0.4759255,0.48950908,2.315855,0.52172446,0
IOPS_186,8.257855,-0.8422253,-2.2520404,3.4052215,0.13258141,5.1820683,0.32556173,0.7792808,4
IOPS_192,8.120635,0.34465075,-3.113413,2.947971,-0.32079196,6.868639,-0.2360948,1.4566143,4
IOPS_194,0.3826722,-0.1262877,-1.5099864,2.2813509,0.72456473,0.0057163364,2.3773577,1.0101001,4
IOPS_199,4.408372,-1.0307404,-0.06477366,2.6729534,0.7165378,2.2822506,1.9243333,0.3418908,4
IOPS_218,1.865421,-0.8655071,-1.2739012,2.5532281,0.91820264,0.4794183,2.280446,0.6979581,0
IOPS_225,0.92943627,-1.9521792,0.4848262,2.4107559,0.30797476,0.45875844,2.5502381,0.061237477,0
IOPS_236,0.5912685,-1.5537701,0.7520775,2.113644,0.48573315,1.0382851,2.991603,0.29413515,4
IOPS_241,2.1847,-0.54596084,-3.2540975,2.351089,-0.35857242,0.691238,1.8740604,0.5765178,2
IOPS_242,5.397861,-3.5126398,-6.5529046,3.387946,-2.5541868,3.4136791,1.5737127,2.3764174,4
IOPS_243,1.8456955,-1.5936588,-6.8772397,3.452275,-2.6681004,-2.0299797,3.1100063,3.8739674,2
IOPS_246,1.4435853,-1.9823282,-4.649696,3.260409,-1.4594889,0.058747377,0.6863315,2.1135647,2
IOPS_255,-0.055744033,-0.44976103,-1.4789624,2.6587253,0.98603684,-0.22525138,2.3137832,0.6128077,4
IOPS_256,0.40284064,-0.42699417,-1.1738279,2.7372131,0.8165919,-0.020196708,2.2527225,0.81037444,4
IOPS_261,3.1112716,-0.3833245,-0.8611179,1.8420056,0.67560524,1.2394413,1.9984293,0.7573924,0
IOPS_264,1.1317888,-0.019822486,-1.2748464,2.0738645,0.89863354,0.22274561,2.1563203,1.0853231,0
IOPS_267,0.603484,-1.4466064,0.4057879,1.9659668,0.43597364,1.0328842,2.5954008,0.42084184,0
IOPS_269,1.942432,-0.00842046,-0.054325975,1.2012312,0.2901319,1.0182804,0.62433994,0.4027243,0
IOPS_275,3.6910682,0.050958537,-0.81150055,2.2504132,1.1283393,2.152453,1.0963073,1.189068,4
IOPS_285,0.63647145,-1.423975,-0.42586082,2.0644832,-0.038256526,0.15586917,2.6324458,0.99058664,0
IOPS_319,2.25132,-1.3166115,-0.29069328,1.5716188,0.096031845,0.8387699,2.2271233,0.62206316,0
IOPS_327,2.2763164,-2.096708,-1.4900124,2.4175248,0.078026175,0.9306339,2.5063152,0.15373814,2
IOPS_328,-1.9831767,-1.9469838,-2.730212,4.4811406,2.8853662,-0.10430473,4.355696,-1.2558968,2
IOPS_329,1.8674861,-3.3200095,-5.659759,4.130023,-1.2150912,0.70227313,1.4477186,1.9083056,3
IOPS_330,5.277206,-3.425536,-5.477487,3.577387,-2.0653024,4.0175614,1.4703147,2.6731708,3
IOPS_331,1.6904887,-0.955622,-1.4009287,2.4904625,0.34908697,0.9593414,2.6394272,0.76382864,0
IOPS_333,-0.69707197,-0.41400605,-0.54271346,2.8310373,0.71001726,-0.024766142,2.3166966,0.5313249,4
IOPS_334,1.3922604,-1.2195672,-1.1541145,2.4124908,0.53328705,0.5425574,2.4009833,0.40513512,0
IOPS_337,0.7084683,-1.9265802,-3.360157,3.378672,-0.023147643,-1.0256673,1.6749865,1.1713235,3
IOPS_338,3.6538296,-2.5648763,-5.150686,3.0276737,-1.3375146,2.1565545,1.450783,2.313036,4
IOPS_342,0.5515544,-3.0967588,-4.8353233,4.397399,-0.9120502,-0.31157824,1.7011395,0.8462883,3
IOPS_344,1.0499706,-0.0361358,-0.26241606,2.176317,0.77494377,0.67834795,2.0916598,0.6824051,2
IOPS_353,3.7074754,-0.28155616,-0.6748958,1.8389701,-0.016571999,1.7089976,2.3996143,0.8425175,0
IOPS_365,3.118434,-2.0660655,0.09516203,2.3149247,0.38107514,1.8484328,2.5930004,-0.28643158,2
IOPS_381,7.844889,-6.213141,-1.0375277,6.091052,-1.0456228,4.9587708,2.7444615,-0.7233448,0
IOPS_393,3.6122417,-1.725542,-1.2489029,1.7829462,0.013860285,1.3956685,2.4785442,0.5089124,4
IOPS_394,2.8811393,-0.0871731,-0.78484726,1.8649963,0.711328,1.8865157,1.3505442,1.1094311,4
IOPS_396,2.7595565,-0.28918982,-1.7247081,1.9251403,1.2471428,0.8769392,1.8305291,1.004876,4
IOPS_401,1.1424383,-1.3202597,-0.0028124955,1.7632767,-0.0028982162,0.98894787,2.5829859,0.59176064,2
IOPS_418,1.7325643,0.3022955,-0.518544,3.0190957,1.8877664,1.4911642,0.8561973,1.1916894,4
IOPS_427,2.7127655,-0.66339296,0.1252102,2.410809,0.08134851,1.7951897,2.8555398,0.17402808,2
IOPS_450,1.2778884,0.16078529,-0.85895747,1.9665285,0.70972496,0.3560374,2.3312736,0.9053689,4
IOPS_459,0.6326765,-1.9483726,0.12815432,2.2986395,0.06885785,0.70767474,2.7737632,0.5312922,0
IOPS_461,2.5127835,-0.2953905,-0.52180904,1.6966237,0.30785596,1.2525425,2.2480104,0.8374168,4
IOPS_475,4.271795,-0.3315022,-0.5523364,2.6424768,0.8705988,2.0254555,1.4894875,0.72558373,4
IOPS_478,2.8808813,-0.15656012,-0.7684208,2.352783,1.0059221,1.767187,1.5144719,1.0922974,4
