Dataset,AE_1,AE_2,AE_3,AE_4,target
TravelTime_387,1.3257779,0.117562436,-0.1131475,-0.99268186,0
TravelTime_451,-0.26591927,-0.121214114,0.6192476,0.28628278,1
Twitter_volume_AAPL,-0.90073603,-0.42131352,-0.2520942,1.8293107,1
Twitter_volume_AMZN,0.9452245,-0.026963396,0.022845004,-0.50761014,0
Twitter_volume_CRM,0.2794714,-0.25553188,0.39292672,0.047360767,1
Twitter_volume_CVS,-0.7449623,-0.92769355,1.1889417,1.4925474,1
Twitter_volume_FB,-0.68164784,0.6287446,-0.723466,-0.57989585,1
Twitter_volume_GOOG,1.2565734,0.010374064,-0.040781952,-0.7959512,0
Twitter_volume_IBM,1.1148694,-0.08539222,0.13365825,-0.65325236,1
Twitter_volume_KO,-0.756171,0.1972374,-0.2632852,0.53843135,1
Twitter_volume_PFE,0.7231507,-0.32378304,0.8149864,-0.3424605,0
Twitter_volume_UPS,-0.8429678,-0.5062731,0.35160324,1.4946033,1
ambient_temperature_system_failure,0.19416425,-0.27501264,0.71918243,0.19268475,0
art_daily_flatmiddle,-0.502539,-0.30681464,1.3480146,0.57302946,1
art_daily_jumpsdown,0.056477543,-0.053415325,0.92346144,-0.1951443,0
art_daily_jumpsup,-0.7535101,-0.7601249,1.5210232,0.9208582,1
art_daily_nojump,0.38462377,-0.004698333,0.7286969,-0.5245536,0
art_increase_spike_density,2.1476197,-0.3529789,-0.5634031,-1.1051567,4
art_load_balancer_spikes,0.21537748,0.1324056,0.20880976,-0.4407556,1
cpu_utilization_asg_misconfiguration,2.1241262,-0.3308954,-0.5861403,-1.0931348,4
ec2_cpu_utilization_24ae8d,1.6623204,0.073645316,-0.3653077,-1.0761389,0
ec2_cpu_utilization_53ea38,2.1528273,-0.31463507,-0.65238386,-1.1524583,2
ec2_cpu_utilization_5f5533,2.1376133,-0.336156,-0.56647474,-1.1132779,4
ec2_cpu_utilization_77c1ca,-0.76571006,-0.7405472,1.5233918,0.9266092,1
ec2_cpu_utilization_825cc2,2.0982957,-0.31926298,-0.49992537,-1.0947652,4
ec2_cpu_utilization_ac20cd,-0.7587966,-0.9616218,1.8286673,1.2750452,1
ec2_cpu_utilization_fe7f93,0.15682769,0.19707969,0.3431281,-0.61500907,2
ec2_disk_write_bytes_1ef3de,0.24454318,0.3182618,0.11776808,-0.8113469,1
ec2_disk_write_bytes_c0d644,-0.8292146,-0.86474854,0.99396944,1.4025621,0
ec2_network_in_257a54,-1.0772183,0.29920313,-0.71384317,1.0125716,1
ec2_network_in_5abac7,1.2619348,0.08498604,0.019631237,-1.0323656,0
ec2_request_latency_system_failure,0.49684572,-0.6956308,0.65260214,0.39136666,0
elb_request_count_8c0756,1.9855596,-0.5351908,0.06851269,-0.85383844,0
exchange-2_cpc_results,2.0762491,-0.4294638,-0.20875266,-0.9977329,4
exchange-2_cpm_results,2.1190124,-0.46284616,-0.2727588,-1.0074606,0
exchange-3_cpc_results,-0.7865033,-0.9962038,1.1271236,1.5382411,4
exchange-3_cpm_results,1.960681,-0.21095529,-0.29282108,-1.0757136,0
exchange-4_cpc_results,1.1961036,0.25264627,-0.2735094,-1.1192192,4
exchange-4_cpm_results,1.5522164,0.14797865,-0.3289698,-1.1565185,4
grok_asg_anomaly,1.2038547,-0.23423645,0.13362725,-0.593703,0
iio_us-east-1_i-a2eb1cd9_NetworkIn,1.0145692,0.25283724,-0.25068632,-1.0952617,4
machine_temperature_system_failure,-0.518515,-0.9789922,1.9010488,1.0524414,1
nyc_taxi,2.0835788,-0.42025235,-0.37191892,-0.97986484,4
occupancy_6005,-0.06640661,-0.7485444,2.0258682,0.16413306,0
occupancy_t4013,0.052812904,-0.76424646,1.9455826,0.07859956,1
rds_cpu_utilization_cc0c53,1.9237341,-0.23419675,-0.32014328,-1.0048077,0
rds_cpu_utilization_e47b3b,2.135014,-0.29209086,-0.6380449,-1.1519307,2
rogue_agent_key_hold,-0.15183997,-0.18616974,0.8137719,0.11695818,4
rogue_agent_key_updown,-0.609392,0.59184307,-0.5546543,-0.58243376,0
speed_6005,1.5710917,-0.80925196,0.8888362,-0.56053376,0
speed_7578,-0.8685544,-1.0779666,-0.38212636,2.4546402,0
speed_t4013,-0.7049769,-0.5681865,-0.021325506,1.9642646,1
