Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,AE_33,AE_34,AE_35,AE_36,AE_37,AE_38,AE_39,AE_40,AE_41,AE_42,AE_43,AE_44,AE_45,AE_46,AE_47,AE_48,AE_49,AE_50,AE_51,AE_52,AE_53,AE_54,AE_55,AE_56,AE_57,AE_58,AE_59,AE_60,AE_61,AE_62,AE_63,AE_64,AE_65,AE_66,target
TravelTime_387,TravelTime_387,0.0085769865871321,-0.0148487971918313,3.987879515615708,15.903183031067377,0.4984,0.5016,464.9510652899449,6.989760711455917,1.1402398625406724,3.6890251236536606,0.0176227368565364,-0.0414066646808215,-3.215651928302563,2.93142440536203,-14.702810740312032,37.12042943425604,-51.82324017456807,3.987888739140837,3.322076227104469,1.489088384558792,0.5255828641204023,0.0769515665578892,-14.702810740312032,464.9510652899449,1249.5,1249.5,624.75,1874.25,1.0,1.0,1.0,1.0,2499.0,18.177806868035653,0.0104995695429583,5.2308665867449565e-157,0.4526760086915797,0.4526760086915797,0.0,0.8719170421098464,3.446448449556786e-09,0.0092094378825568,0.0003388924033558,0.0007883691470427,3.446448449556786e-09,3.13312625250501,8.71871743486974,0.16944620167792,4.958266922287964,4.8059347325391295,2.726313453997536,-0.2671378465390334,1.8693932680148724,0.1199643823033896,7.457454909819639,-0.1573197501791598,0.0003730802282597,1.0,0,0.9747899159659964,17,0,60.19231777693425,0.5026010404159653,23403.14331173361,0
TravelTime_451,TravelTime_451,0.0197020129522443,-0.2519188184711112,3.7060155244253017,13.734551067281345,0.4699352451433857,0.5300647548566142,188.10338544111767,17.670652194301145,2.1574173794346825,5.486942687288836,0.2198756288741001,-0.0065048926529968,-1.9009618400464416,1.37580915949723,-20.314992773259007,41.21808223220614,-61.53307500546515,3.706067894223703,2.3913865646471457,1.3453925899560637,0.465473891313507,0.0602280240998181,-20.314992773259007,188.10338544111767,1080.5,1080.5,540.25,1620.75,1.0,1.0,1.0,1.0,2161.0,26.3827998038746,0.0010168823394585,7.922089194906412e-265,0.6090780531924398,0.6090780531924398,0.0,4.031046771289859,4.333775532651362e-08,0.0131731409361224,0.000767194553865,0.0016114893078424,4.333775532651362e-08,5.775771543086172,7.777775551102205,0.3835972769325002,4.991687175358995,4.634589296508949,2.7451759607437185,-0.4994678990471352,1.8200674774956445,0.1394403277591381,7.077074148296593,-0.3362854103016007,0.0008104510572398,1.0,0,0.8745950948630844,31,0,86.82300284457855,0.5053216103653376,4365.164440521788,1
Twitter_volume_AAPL,Twitter_volume_AAPL,0.1332514002514341,0.109315218611309,1.8227759113275448,3.3225120229159617,0.4888064394415797,0.5111935605584204,13.679225090384758,356.688127481069,11.210710838515842,11.407611104282894,0.0393951579208007,-0.0581085671598836,-0.2108478749830604,0.3943132653802185,-20.66026733783565,69.29819705647242,-89.95846439430807,1.827639996986532,0.5993344812314456,0.35525487192158,0.1103661312644019,0.0202624169229662,-20.66026733783565,13.679225090384758,7950.5,7950.5,3975.25,11925.75,1.0,1.0,1.0,1.0,15901.0,88.12634510347418,0.0016438196373392,0.0,0.417707461555666,0.417707461555666,0.0,0.3200202570411043,5.246476345716303e-11,0.0018582373564212,0.0001124853873153,0.0002663306327623,5.246476345716303e-11,6.036032064128257,5.755751503006012,0.0562426936576641,4.801176929040087,4.6473356588357895,2.660257243875815,-0.6015709438024228,1.8551323654601453,0.0607455838931867,7.117114228456914,-0.3922606259354779,0.0001332550507563,1.0,0,0.895038047921458,105,0,402.0290123588025,0.4985221055279228,-29.290945778299346,1
Twitter_volume_AMZN,Twitter_volume_AMZN,-0.0001151350293362,0.0099298635348361,0.3497443417529426,0.1223211045881991,0.5066009727749352,0.4933990272250647,-3037.714772680474,124.4427413351319,3.8403078587372734,16.999720484530876,-0.0861629253394506,-0.1064880184159392,-0.2484430163064903,0.2185713127921147,-5.9456712028753245,12.2818836666886,-18.227554869563924,0.349744360704035,0.2578163359350577,0.5330486573321935,0.1700046692652657,0.019187671864741,-5.9456712028753245,-3037.714772680474,7915.0,7915.0,3957.5,11872.5,1.0,1.0,1.0,1.0,15830.0,40.81916688116755,0.0028197232453938,0.0,-0.8616506632285754,-0.8616506632285754,0.0,1.3551474374984736,1.7534960599297196e-08,0.0013547762962923,6.715712051172382e-05,0.000155473223026,1.7534960599297196e-08,0.3503406813627255,0.0300200400801603,0.0335785602558619,4.894233914011097,4.110256526197742,2.9622144480056884,-0.0480459135431547,1.528102379654297,0.1741219201827275,7.157154308617235,-0.1850673078100408,7.825930958823559e-05,1.0,0,0.9832596336070132,68,0,15.485950687828762,0.5001895135817751,928.1074041683472,0
Twitter_volume_CRM,Twitter_volume_CRM,0.0002370679768371,0.0002540944155885,0.0411452022225601,0.0016929276659353,0.5001886555150296,0.4998113444849704,173.55793563335254,315.0564673005724,6.983888269324103,19.434839628724195,-0.001241440368586,-0.0605623517719794,-0.0236611777222465,0.0214380511304398,-0.7994133581448857,1.5383417006838729,-2.3377550588287583,0.0411458851789703,0.0267736425698187,0.6941760297712436,0.21842802753181,0.0176003050659952,-0.7994133581448857,173.55793563335254,7950.5,7950.5,3975.25,11925.75,1.0,1.0,1.0,1.0,15901.0,53.70133585684879,0.0012323102343772,0.0,0.4693311024552679,0.4693311024552679,0.0,1.977374690569667,4.592533088902081e-09,0.0013194294312299,9.9831236498446e-05,0.0002138301582601,4.592533088902081e-09,0.8508416833667335,3.933927855711423,0.049915618249223,4.8924739053785045,4.535474684054552,2.8293473204460127,-0.4523260548041815,1.6698382026972105,0.0730816208591675,7.137134268537075,-0.2477877817271696,9.1044153695123e-05,1.0,0,0.9005094019243506,46,0,3.028931131815856,0.5007232249543738,9.612628014685624,1
Twitter_volume_CVS,Twitter_volume_CVS,0.0003993794030526,-0.0002295943038359,0.0112342118621572,0.0001262075161638,0.4548665867659118,0.5451334132340881,28.1291014188227,162.82768479230788,4.527585647093906,1.0930946483753492,0.167962023135745,0.0570899748016745,-0.0037110233093227,0.0036734119835347,-0.1761420937226395,0.4030517791558807,-0.5791938728785202,0.0112413086458569,0.0061094040343806,0.8236768813459965,0.2626944348673338,0.0193962891681301,-0.011880678555281,28.1291014188227,7926.0,7926.0,3963.0,11889.0,1.0,1.0,1.0,1.0,15852.0,67.57488109535912,2.371340480805649e-05,0.0,0.4589510675036205,0.4589510675036205,0.0,0.8751329715072667,7.103290567040111e-10,0.0028314035183285,0.0001285217111659,0.0003226487874485,7.103290567040111e-10,6.436432865731463,2.812805611222445,0.0642608555829566,4.769887914793526,4.606608852805403,2.700359485339625,-0.5997809321018291,1.7961105194288067,0.0699398247523628,6.976973947895792,-0.3447507654414435,0.0001150338247967,1.0,0,0.5958238708049082,115,0,1.4104333784706014,0.501514004541982,0.0556012853481023,1
Twitter_volume_FB,Twitter_volume_FB,0.0031730122728123,0.0168519899828964,0.4028139652333937,0.1622590905870497,0.5030000631592244,0.4969999368407756,126.94997801769952,5788.1067797427,60.158272391347786,8.461836533856353,-0.1018756462542192,-0.1194212444155368,-0.20268554296646,0.1895484511351419,-3.405372923548498,39.3778216491819,-42.7831945727304,0.4028264621321856,0.2090651390767614,0.411752134161411,0.1249309813491051,0.0094152381384051,-3.405372923548498,126.94997801769952,7916.0,7916.0,3958.0,11874.0,1.0,1.0,1.0,1.0,15832.0,50.92902550008412,0.0109077627805321,0.0,0.115557472734317,0.115557472734317,0.0,0.2046755639711569,1.1573627155545576e-06,0.0005426822592152,9.490015391024024e-05,7.071853394727933e-05,1.1573627155545576e-06,6.85685370741483,7.977975951903808,0.0474500769551201,6.01187571951724,4.96581935997057,2.899711607861534,-0.0760966826082998,1.799262376593268,0.8169052781642058,8.298296593186373,0.0166114546834625,5.7357338913025485e-05,1.0,0,0.9914098029307103,25,0,40.70946597822255,0.5002526528549457,638.021730600675,1
Twitter_volume_GOOG,Twitter_volume_GOOG,0.0004913031794398,0.0091486735667007,0.2288711786516718,0.0523820164174054,0.5054286074990532,0.4945713925009468,465.8441516060431,15.347968579758874,1.5581056782610536,5.413228622192828,-0.113479168505666,-0.106475082805005,-0.1790137709236247,0.161097718907815,-1.2384407173060268,3.690059147169279,-4.928499864475306,0.2288717059756832,0.1847849892768527,1.3312238007769488,0.4306714710113238,0.0464383047375003,-1.2384407173060268,465.8441516060431,7920.5,7920.5,3960.25,11880.75,1.0,1.0,1.0,1.0,15841.0,43.389087802442205,0.0062852805251344,0.0,0.3910777424190191,0.3910777424190191,0.0,1.1035518227153125,4.4888547397557966e-10,0.0012986413226281,5.04486765263642e-05,0.0001338292270225,4.4888547397557966e-10,6.616613226452906,8.67867735470942,0.025224338263182,4.741943336982532,4.649961463916373,2.785507965819688,-0.4973296540864074,1.8285933654132167,0.0778845676187748,7.157154308617235,-0.3323185250425645,5.853187638073841e-05,1.0,0,0.980493655703492,94,0,9.929004935776303,0.5005997096142604,512.741421762059,0
Twitter_volume_IBM,Twitter_volume_IBM,0.000203977255854,0.001127996246871,0.0681327666530173,0.0046420738917945,0.5027370540489524,0.4972629459510476,334.0197530748148,17.645513027532985,1.265766673718514,14.414939668659986,-0.0406861055045947,-0.0687188091265436,-0.0502172120330368,0.04587019244993,-0.9819257579212192,0.9676594489011308,-1.9495852068223496,0.0681330719879517,0.0533985377495072,1.0696493364514406,0.3460480896803127,0.0349473141156627,-0.9819257579212192,334.0197530748148,7946.0,7946.0,3973.0,11919.0,1.0,1.0,1.0,1.0,15892.0,34.58912215848179,0.0049599486758586,0.0,0.616507367832901,0.616507367832901,0.0,0.6145056506070253,1.1971489807157105e-08,0.0012291588107706,6.163375171147274e-05,0.0001326174770365,1.1971489807157105e-08,6.376372745490983,2.892885771543086,0.0308168758557363,5.002754575162976,4.925047052368957,2.629131825976435,-0.5299313792511582,2.046430188189666,0.1812996359543442,7.437434869739479,-0.1239957990658178,6.553388547347106e-05,1.0,0,0.965580166121258,93,0,2.7227648336105688,0.5007550969040712,33.404831580945114,1
Twitter_volume_KO,Twitter_volume_KO,0.003630731940729,-0.0001292060813762,0.2829042447724725,0.080034811710283,0.4950476310642862,0.5049523689357138,77.91932080679749,1059.1067075924348,17.246829841131287,22.54785747643251,0.0398714909191838,-0.0113343183941825,-0.1027286193094569,0.1001704840954844,-6.375253881214618,17.325930223898922,-23.70118410511354,0.282927541827777,0.1325604200267668,0.1939061981494537,0.0602403474502322,0.011936291600701,-6.375253881214618,77.91932080679749,7925.0,7925.0,3962.5,11887.5,1.0,1.0,1.0,1.0,15850.0,62.662434294605845,0.0034768074032696,0.0,0.388074922228418,0.388074922228418,0.0,0.2744072986672489,2.973206592128597e-08,0.0017634957909072,0.0001097810150786,0.0002074521992298,2.973206592128597e-08,0.4304208416833667,6.87687374749499,0.0548905075393339,5.160588612790221,4.685293311827866,2.686315877233755,-0.4399965700000458,1.832563624555627,0.2729270895710707,7.277274549098196,-0.1628729750682623,9.698441833171918e-05,1.0,0,0.9454258675078268,79,0,19.48032822811672,0.4998738170346687,144.5712073576823,1
