Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,target
Yahoo_A1real_10_data,-0.57005805,-0.12721162,-0.77510643,0.58671653,-0.23480068,0.31120458,-0.30831438,0.1318892,0.26807967,-0.16860013,-0.56759304,-0.0116650285,-0.70727926,0.18617338,-0.95212644,-0.4454964,4
Yahoo_A1real_11_data,-0.49211565,-0.05824522,0.041579653,-0.41530177,-0.1599147,-0.15445986,-0.05312484,0.100511245,-0.48186,-0.24400592,-0.09818056,-0.5202872,0.559978,-0.35308293,0.33795303,-0.33090943,2
Yahoo_A1real_12_data,-0.107994266,0.018223014,-0.3981975,-0.73865914,0.014110539,0.041148998,-0.7273147,0.31036654,-0.23699014,0.13139325,0.21458529,-0.47874644,-0.47663313,-0.118341096,0.046532694,-0.72030646,4
Yahoo_A1real_13_data,-0.59139204,-0.31978187,-0.039346583,-0.29003537,-0.05710593,-0.41051802,0.45713094,0.14687428,-0.5969276,-0.23564821,-0.3667843,-0.46690682,1.4843528,-0.3602333,0.7054041,-0.3234884,4
Yahoo_A1real_14_data,-0.3016024,0.1633826,0.024054265,-0.73509115,-0.19817933,0.0688713,-0.6379379,0.004607662,-0.21098983,-0.03861477,0.19465679,-0.41741735,-0.44632673,-0.12398234,-0.12587678,-0.54232967,0
Yahoo_A1real_15_data,-0.5890096,-0.3503289,-0.07829345,-0.2828004,-0.048205674,-0.42193764,0.49574518,0.12705174,-0.59213763,-0.23240468,-0.38058406,-0.46105954,1.5273504,-0.35576928,0.72898185,-0.31620547,4
Yahoo_A1real_16_data,-0.57831323,0.35938343,0.6348136,-0.58340305,-0.38831833,-0.053168368,-0.39544946,-0.22669077,-0.46646008,-0.3168081,0.12653251,-0.567333,0.007654159,-0.40477172,0.01940507,-0.2818216,4
Yahoo_A1real_17_data,-0.15218939,-0.32569468,-0.40416646,-0.6962364,-0.07485297,-0.33489725,-0.34407207,-0.16544797,-0.36629534,0.124341235,0.10640363,-0.06295399,-0.15293851,0.059383217,0.31581447,-0.33130485,4
Yahoo_A1real_18_data,-0.38669538,-0.5419013,-0.47547835,-0.19238304,-0.025375037,-0.43932158,0.47506556,-0.1622289,-0.63302505,-0.16097689,-0.23712528,-0.4655769,1.5059905,-0.3408112,0.96385735,-0.31592503,4
Yahoo_A1real_19_data,-0.37617993,0.1357137,-0.1325203,-0.650394,-0.24983479,0.14257762,-0.51578325,-0.079302505,0.06617784,-0.09231606,0.0019064369,-0.18819144,-0.68796366,0.004694591,-0.53328997,-0.40786391,4
Yahoo_A1real_1_data,-0.39331013,-0.2189488,-0.65942234,-0.099969484,-0.1329312,0.14027427,-0.3980041,0.22727324,0.2521477,-0.0003435269,-0.31078303,0.2126975,-0.82896316,0.33658394,-0.8385718,-0.43395656,4
Yahoo_A1real_20_data,-0.38397753,0.2643187,-0.11072781,-0.66481936,-0.22276823,0.13638158,-0.55930686,-0.152899,0.12920864,-0.16432643,0.007761787,-0.3675999,-0.6673331,-0.031745646,-0.57428086,-0.4098064,4
Yahoo_A1real_21_data,-0.11228532,-0.62564796,-0.72979075,-0.3305888,-0.016495874,-0.45373252,-0.0042782133,-0.699482,-0.7753541,0.3329297,0.15163797,-0.3458215,0.76387155,-0.25140303,1.2798524,-0.26630223,0
Yahoo_A1real_22_data,-0.42346045,0.54540515,0.14754473,-0.6133803,-0.36585203,0.26444927,-0.5110707,-0.34495518,0.11571627,-0.23223999,0.07892203,-0.52370584,-0.75983113,-0.27317536,-0.6046582,-0.2523216,2
Yahoo_A1real_23_data,-0.13540201,-0.24514546,-0.6147787,-0.62635255,0.006680947,-0.16786392,-0.5677852,-0.002332719,0.0129657695,0.28082258,0.120146975,0.13198951,-0.7551132,0.39353058,-0.3277083,-0.4849373,4
Yahoo_A1real_24_data,-0.40519917,-0.5738904,-0.5324467,-0.18252723,-0.030458566,-0.44855464,0.49578118,-0.25720805,-0.63543123,-0.11452943,-0.2290862,-0.44323593,1.4530089,-0.3421041,1.0056626,-0.25389037,0
