Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,target
Yahoo_A1real_10_data,-0.17154795,-0.49133942,-0.6442299,-0.5681508,-0.7288498,-0.24684964,0.45630747,-0.17343587,-0.24635832,0.10077916,0.50898063,-0.08764171,-0.057821866,-0.046347532,0.049952593,-0.01600101,-0.42366198,-0.4006429,-0.12311809,0.16944087,-0.38301572,-0.23249525,-0.4228742,-0.7879837,-0.07119234,0.11011611,-0.40371957,-0.3103253,-0.13275112,0.17895687,-0.17193434,-0.3485306,4
Yahoo_A1real_11_data,-0.42576802,0.4250886,0.006039513,-0.33103067,0.35092616,-0.3002083,-0.4559735,0.12267951,-0.1867709,0.15979774,-0.43383732,0.035864554,-0.3325366,-0.16364585,-0.22374956,-0.046704248,-0.33784488,0.050274853,-0.3708509,-0.24395405,-0.25150725,0.1708363,-0.18939005,0.10249738,-0.5215243,-0.55559415,-0.21982603,-0.38801202,-0.12510113,-0.19181947,0.08628049,-0.37947825,2
Yahoo_A1real_12_data,-0.5548601,-0.0841827,-0.42926744,-0.5083269,-0.3122242,-0.28697482,-0.14245819,0.24170475,-0.059541173,0.25138608,-0.37440756,0.03122949,-0.13931122,0.16777542,0.020218432,0.009474095,-0.44198474,0.02447655,-0.40726167,-0.055827733,-0.4336015,0.040629722,-0.4067453,0.014810494,-0.40017602,-0.7828084,-0.39413458,-0.23896262,0.16788995,0.05982395,-0.029713554,-0.5050476,4
Yahoo_A1real_13_data,-0.40552238,0.9583153,0.5997845,-0.40510646,0.9125943,-0.38985196,-0.5898966,0.39988673,-0.1020818,0.26656076,-0.3287115,-0.1626426,-0.4738454,-0.32726693,-0.46005657,-0.15276244,-0.27364615,-0.15885611,-0.37693778,-0.18425718,-0.3021421,0.50596726,0.09424733,0.03471982,-0.5250401,-0.31294787,-0.28443116,-0.49244797,-0.07753318,-0.30895287,0.09687314,-0.33981445,4
Yahoo_A1real_14_data,-0.5101788,-0.1869327,-0.51618594,-0.24809392,-0.28644824,-0.19983824,-0.1765338,-0.09799595,-0.19745319,-0.013412898,-0.47137564,0.115475826,-0.21585383,0.14190237,0.08652503,0.08511664,-0.44135663,0.21533269,-0.3313724,-0.19661558,-0.28940472,-0.17110562,-0.4666883,-0.022558296,-0.4394581,-0.7457348,-0.16620803,-0.2708218,-0.010216311,0.029070372,0.113917366,-0.4586,0
Yahoo_A1real_15_data,-0.40578628,0.982107,0.6495126,-0.41704628,0.9375924,-0.3849526,-0.58813673,0.42266503,-0.093375795,0.2736827,-0.3088883,-0.20595841,-0.47253376,-0.33525017,-0.47579747,-0.17769648,-0.26802513,-0.18488415,-0.37278277,-0.18371665,-0.31462282,0.5289065,0.12118785,0.022045068,-0.5204769,-0.28433928,-0.30562204,-0.49282053,-0.0679651,-0.32258335,0.07395532,-0.33142692,4
Yahoo_A1real_16_data,-0.47583967,0.07316186,-0.47351965,0.055481065,0.03865749,-0.23800212,-0.44986925,-0.3052435,-0.3524065,-0.18324853,-0.5989139,0.38426456,-0.41773093,-0.1044874,-0.05404857,0.18261294,-0.37575272,0.5371304,-0.27877873,-0.345045,-0.07089129,-0.21692234,-0.44267207,0.06100067,-0.66636705,-0.7302568,0.124670185,-0.36247092,-0.31184137,-0.15531854,0.3024942,-0.4507933,4
Yahoo_A1real_17_data,-0.27125713,-0.026906729,-0.14326479,-0.48331216,0.007377938,-0.30859873,-0.1668703,0.09455771,-0.03618872,-0.01859412,-0.50615287,-0.33211675,-0.12703696,0.18054521,-0.006909191,-0.28043702,-0.33938327,-0.285584,-0.49904856,-0.42060938,-0.23199686,-0.050098784,-0.16268496,0.116944365,-0.058283206,-0.6071134,-0.45053342,-0.21602939,0.08795588,0.023607278,-0.09627917,-0.28254032,4
Yahoo_A1real_18_data,-0.4677124,0.9790217,0.93819505,-0.4707531,0.9278132,-0.31160703,-0.61415684,0.5494907,-0.046539735,0.23368615,-0.32148024,-0.6110057,-0.33147785,-0.27027664,-0.57716954,-0.43840668,-0.24609478,-0.374234,-0.32576826,-0.2499694,-0.40658003,0.5212439,0.2904575,0.22822814,-0.47064427,-0.28574997,-0.5220827,-0.37367627,0.019854855,-0.35236427,-0.2355437,-0.2484131,4
Yahoo_A1real_19_data,-0.38374513,-0.40444908,-0.61600393,-0.28670114,-0.43494064,-0.15595953,0.075040154,-0.2049138,-0.21218145,-0.06821251,-0.26280522,0.022423433,-0.14568071,0.1155997,0.15940602,0.013943123,-0.42048958,0.06845802,-0.303772,-0.19326435,-0.286722,-0.23475812,-0.4683027,-0.33066267,-0.29822147,-0.49223584,-0.22942963,-0.2845384,-0.061288025,0.0118514905,0.06251261,-0.4007986,4
Yahoo_A1real_1_data,-0.15667222,-0.48212972,-0.59438336,-0.57734984,-0.58920854,-0.2975277,0.40099385,-0.0006812523,-0.14202544,0.11988264,0.08694601,-0.16477107,-0.026007209,0.1448687,0.20070519,-0.017438648,-0.41561645,-0.38150084,-0.38404903,-0.033894632,-0.31633073,-0.19382006,-0.44785938,-0.6278418,0.015625075,-0.18603005,-0.44878858,-0.20945837,0.13508777,0.2603014,-0.06074875,-0.3534994,4
Yahoo_A1real_20_data,-0.48259673,-0.3291174,-0.60904926,-0.22102822,-0.46774018,-0.111961655,0.064957425,-0.29445586,-0.27122787,-0.12234985,-0.22106889,0.022709116,-0.1363464,0.112860754,0.15271167,-0.010867825,-0.4477968,0.2071163,-0.2658559,-0.23092331,-0.2821813,-0.27759007,-0.49323502,-0.29325694,-0.412971,-0.49534076,-0.12499236,-0.27279168,-0.083001286,0.01238465,-0.025258876,-0.40889335,4
Yahoo_A1real_21_data,-0.4514545,0.5726148,0.9701538,-0.5139701,0.59498197,-0.20622505,-0.64869654,0.56547046,0.19863561,-0.10297143,-0.5458056,-1.0420815,-0.14587681,-0.0094850045,-0.53948355,-0.78257275,-0.19150707,-0.50659233,-0.20883232,-0.4367815,-0.3065287,0.14170623,0.4760137,0.6136436,-0.18418534,-0.5058857,-0.76440585,-0.21686618,0.07202644,-0.21277769,-0.53159595,-0.12681115,0
Yahoo_A1real_22_data,-0.54849267,-0.34855354,-0.6625292,-0.043738842,-0.49898925,-0.0013464001,-0.019469956,-0.40894005,-0.35509974,-0.24444467,-0.20338488,0.15428856,-0.17305006,0.022587188,0.12927069,0.07138715,-0.43496296,0.50440294,-0.093270876,-0.23626937,-0.19323958,-0.32327363,-0.50509685,-0.24073033,-0.55471134,-0.48456985,0.08269882,-0.2381639,-0.26504067,-0.12736864,-0.03528417,-0.4166879,2
Yahoo_A1real_23_data,-0.30198935,-0.3234361,-0.3887526,-0.58934724,-0.47608492,-0.33504942,0.1770506,0.11705129,0.031597007,0.019468969,-0.260178,-0.32797778,-0.008120851,0.32846984,0.1578291,-0.21670853,-0.42333063,-0.35105562,-0.4671833,-0.20541434,-0.27267575,-0.18095815,-0.34749046,-0.21352053,0.08308229,-0.52570987,-0.553932,-0.18938486,0.28383142,0.26337337,-0.1601644,-0.34170583,4
Yahoo_A1real_24_data,-0.44649076,0.96206385,0.9895177,-0.4928151,0.91616994,-0.29660028,-0.6231738,0.5680235,-0.02001876,0.20637098,-0.3278863,-0.701696,-0.32173464,-0.28856274,-0.58373874,-0.51880443,-0.21807118,-0.41718706,-0.30682725,-0.27534536,-0.38379043,0.49054036,0.33882943,0.24929596,-0.43451643,-0.27772424,-0.5757654,-0.37060097,0.016271956,-0.37652227,-0.29678544,-0.20430562,0
