Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,target
Yahoo_A1real_10_data,0.42388865,0.12729937,-0.16453704,-0.7463864,-0.36853155,-0.8894243,0.49049497,-0.17449893,4
Yahoo_A1real_11_data,-0.47746357,-0.22606996,-0.2635313,0.10139418,-0.32992408,0.6895405,-0.6434685,-0.11278577,2
Yahoo_A1real_12_data,-0.42238972,0.16948049,-0.05098666,-0.35255352,0.023447959,-0.4868991,-0.66292036,0.25324616,4
Yahoo_A1real_13_data,-0.50171304,-0.46839368,-0.3055412,-0.29866856,-0.21311529,1.7406881,-0.8029787,-0.30826208,4
Yahoo_A1real_14_data,-0.43725818,-0.12456993,-0.22606058,0.037963726,-0.15912895,-0.5100138,-0.575628,0.36521113,0
Yahoo_A1real_15_data,-0.4927737,-0.48073444,-0.2992146,-0.34905538,-0.20867655,1.7847236,-0.81210655,-0.3218627,4
Yahoo_A1real_16_data,-0.6627454,-0.3432501,-0.56061006,0.5533937,-0.5199073,-0.036077935,-0.6186943,0.28905633,4
Yahoo_A1real_17_data,0.015690131,-0.257485,0.37221065,-0.38041347,0.12769789,-0.042498834,-0.8815815,-0.07853332,4
Yahoo_A1real_18_data,-0.5500149,-0.39029726,-0.078809194,-0.40207955,-0.08827428,1.7522397,-0.9032346,-0.44052795,4
Yahoo_A1real_19_data,-0.0778245,-0.13762617,-0.21212299,-0.12955782,-0.2906541,-0.78322583,-0.27259907,0.26915252,4
Yahoo_A1real_1_data,0.39964384,-0.11262569,0.050750706,-0.6708547,-0.14412098,-1.0181963,0.1109694,0.22159566,4
Yahoo_A1real_20_data,-0.20534441,-0.15907593,-0.34912848,0.030368468,-0.35703698,-0.8111925,-0.16500606,0.2931263,4
Yahoo_A1real_21_data,-0.442165,-0.40023938,0.4767154,-0.84331423,0.4455024,1.1577634,-1.1584209,-0.3671362,0
Yahoo_A1real_22_data,-0.4630767,-0.11719868,-0.6694109,0.3667939,-0.56788886,-0.7943372,0.044022024,0.28119326,2
Yahoo_A1real_23_data,0.24372698,-0.30333197,0.36878443,-0.7730719,0.20619681,-0.7534083,-0.6076344,0.3101095,4
Yahoo_A1real_24_data,-0.5059995,-0.40016022,-0.029421719,-0.49927497,-0.06619379,1.7515339,-0.9325881,-0.45546484,0
Yahoo_A1real_25_data,-0.41726717,-0.56065136,-0.16463912,-0.76712316,-0.28009292,2.2703326,-0.89119965,-0.58870786,2
Yahoo_A1real_26_data,-0.5414908,0.10722887,-0.22413883,-0.09987285,-0.057475038,-0.4480118,-0.62281215,0.32235065,2
Yahoo_A1real_27_data,-0.48501652,-0.47956464,-0.063397475,-0.69862723,0.043582454,1.7681844,-0.97528523,-0.39041397,4
Yahoo_A1real_28_data,-0.304054,0.037622668,-0.31168717,-0.13440229,-0.19448009,-0.7450381,-0.31953484,0.3325122,2
Yahoo_A1real_29_data,-0.48802918,-0.0276489,-0.13547333,-0.038494054,-0.024731304,-0.13428976,-0.75037915,0.17685713,0
Yahoo_A1real_2_data,-0.44558853,-0.5011215,-0.14667676,-0.51896834,-0.2728188,2.0293572,-0.8485199,-0.5173957,4
Yahoo_A1real_30_data,-0.53859967,-0.41673398,-0.38027075,0.06797067,-0.30556107,1.4199513,-0.7247277,-0.21060346,2
Yahoo_A1real_31_data,-0.39044482,-0.5660519,-0.046511333,-0.7825417,-0.16593912,2.051353,-0.94494605,-0.5362898,2
Yahoo_A1real_32_data,-0.58127844,-0.121947356,-0.7241973,0.49113575,-0.60485756,-0.865332,0.12691398,0.29941866,4
