Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,target
Yahoo_A1real_1_data,2.00411,-1.8503507,1.9556853,0.7390294,-1.2541595,-2.0254061,-1.6705878,0.7342344,1.327423,-0.9815039,-0.94053346,0.9591667,-2.0139413,-0.34288746,2.2047012,-0.35230532,0.9880167,0.38475424,1.5533344,1.6767931,0.10843666,-0.5329377,-0.4903146,3.580697,-1.0618516,-1.6506251,-0.8438855,1.5335982,1.0250345,0.80578583,-1.2929385,1.1475433,4
Yahoo_A1real_2_data,0.5151461,0.6124821,-0.271099,0.8581943,-1.7167506,0.982651,-0.35494956,0.5910226,0.33519208,0.3817571,-0.97147036,1.9860511,0.5316449,1.5071436,0.17939825,0.060629126,0.3166921,1.2274483,1.4667034,0.4931887,-0.41204378,1.6555668,-1.1726741,2.8560855,-0.941715,-0.94132745,1.5353581,2.1871583,-0.85602605,0.093734786,-1.4165213,-0.48991856,4
Yahoo_A1real_3_data,0.015525367,0.8882921,0.73566115,2.8713076,-4.341181,-0.010653059,1.3429457,3.6599965,-1.0452832,-2.6305315,1.4770956,1.8702462,-0.4830963,1.319872,-0.8651317,-2.2555523,0.7150189,1.6723762,2.08665,2.5801785,1.66698,1.4319196,-1.9480263,4.6101375,-0.58064944,-3.5315895,1.7998341,3.1785398,-1.0561284,0.03624904,-4.1150045,-0.8375463,4
Yahoo_A1real_4_data,1.1026309,-1.2045165,1.1620569,0.38064072,-1.06536,-1.0957891,-1.067307,0.5740465,-0.012799906,-0.30030146,-1.1347859,1.5777514,-0.58040893,0.13372776,0.9327161,-0.0062527135,0.14414185,1.2009779,2.2008576,0.8971755,-0.1652193,-0.82331574,-1.3105994,2.906768,-0.9411759,-1.3574717,-0.32822505,2.1244614,-0.0973469,0.16773926,-1.2909563,0.35942626,4
Yahoo_A1real_5_data,0.53618884,-1.3641232,1.4040692,1.1790847,-1.4213351,-0.35106605,-1.2684364,0.37727153,1.3269325,-2.2889364,-0.06635332,1.6084135,-1.2020837,-0.03279268,2.9623,0.54817116,0.71647424,0.94838274,1.0516013,1.0936496,1.5242312,-0.033218075,0.09769676,2.9875307,-1.1895878,-2.1070724,-0.53783727,0.25974366,1.2949014,1.5876522,-1.3708435,0.98328274,4
Yahoo_A1real_6_data,0.3683721,0.14276113,0.7163154,2.2575595,-2.1004043,-0.8652925,0.7089157,2.7680588,-0.49373633,-2.6008084,0.19966327,1.9650564,0.43940818,0.9607672,-0.19208357,-0.054972682,1.0238315,1.7262924,2.2178867,2.3192625,1.4276547,-0.15573491,-1.1531659,4.491215,-0.831521,-2.4066303,0.8895872,2.9976842,0.22312607,1.4429073,-2.2394218,-0.9173622,4
Yahoo_A1real_7_data,0.9424884,-0.14755839,0.47340018,1.157684,-0.9735619,0.20283403,-1.0561746,0.27597854,0.18007348,0.33607152,-1.4908195,1.5999284,0.27415025,0.89962256,0.19907458,-0.00088011473,0.4862731,0.8137358,1.4968544,0.13200991,-0.05244454,0.09329148,-1.298708,2.6640658,-0.9540415,-1.1023808,0.306477,2.6794324,-0.3695849,0.6088767,-0.8596152,-0.7376879,4
Yahoo_A1real_8_data,0.85725975,-1.2912837,1.1186194,0.13401881,-0.56132,-1.1012291,-1.845354,-0.0062911217,0.025698243,-0.22929472,-1.5720855,2.28678,-0.37216514,-0.44606018,1.2267042,0.35528064,0.48869312,1.610363,1.6992202,0.26852107,-0.5059468,-1.2593889,-0.57635325,2.7800057,-0.5712444,-1.5629336,-0.5575286,2.028964,-0.10817762,0.20270982,-0.5080744,-0.2626554,0
Yahoo_A1real_9_data,0.75455624,-1.0684267,1.6793637,0.3802231,-1.180496,0.45962808,-2.1363187,-0.337163,2.3535724,-1.8701594,0.078376964,1.6529126,-0.90795904,0.98761666,2.941818,0.86344194,0.932205,0.20165804,0.75801927,1.812528,0.8724723,0.9515032,1.0448611,3.2982953,-1.494152,-0.9103999,-0.08303511,0.37790987,1.6721543,1.7651174,-0.9325915,0.98194605,4
Yahoo_A1real_10_data,2.565114,-3.372677,0.89042246,-0.14625579,-4.506712,-2.8411462,-4.5502768,2.2848625,5.3036346,-1.3008666,-1.764537,3.7403185,-4.385433,-3.085412,4.6368275,2.8288488,6.3029494,2.0800328,3.6422029,5.661175,1.135906,-3.8307705,2.8069878,10.36533,-8.471841,-3.2074358,-1.8650963,3.0449374,0.9831413,3.7605848,-0.7831343,2.7774475,4
