Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,target
Yahoo_A1real_1_data,1.8617896,-0.17372105,1.1039332,0.8965071,0.359855,-0.07230152,-1.9089305,0.21216784,4
Yahoo_A1real_2_data,-4.39024,-2.5916572,0.2869628,2.1863356,-0.8961513,-2.6674237,-4.2364326,-0.82779235,4
Yahoo_A1real_3_data,-1.0531156,-6.158732,0.51220274,-2.663283,-4.013657,0.09053968,-4.2828493,0.5114238,4
Yahoo_A1real_4_data,-0.47405916,-0.65364033,1.5414393,0.23413186,-0.4094811,-0.85616785,-1.8125582,0.33242932,4
Yahoo_A1real_5_data,2.8662424,-0.07955489,-0.4839906,0.75598836,-1.4434836,1.909392,-1.9730641,-0.7520928,4
Yahoo_A1real_6_data,-1.2119331,-4.0150924,1.6372948,-1.20941,-3.6206741,-0.9163071,-1.7010194,0.994465,4
Yahoo_A1real_7_data,-3.1238384,-1.3279454,0.591821,2.394137,-0.35716242,-2.0163238,-3.3301036,0.11481098,4
Yahoo_A1real_8_data,-0.5295551,0.5502079,1.9819568,-0.25259745,0.5025269,-0.59870625,-1.716911,0.33503452,0
Yahoo_A1real_9_data,2.7551851,-0.13739544,0.28883827,0.9753728,-1.4145086,1.6846968,-2.3775544,-0.7400897,4
Yahoo_A1real_10_data,8.104199,-2.1448143,4.1198697,2.1477625,0.61774117,2.004355,-1.6414969,-5.6127005,4
Yahoo_A1real_11_data,-1.237007,-1.2478026,1.495142,0.3551479,-1.042145,-1.1464956,-2.3091083,0.36481097,2
Yahoo_A1real_12_data,-1.9265662,-0.82965916,1.423683,0.68490756,-0.20491403,-1.3398371,-2.1800556,0.07279859,4
Yahoo_A1real_13_data,-1.6548381,-4.635056,1.5831716,-2.2964885,-3.5973232,-0.15241021,-2.630381,0.73890835,4
Yahoo_A1real_14_data,-1.265681,-2.1139054,2.0807197,-0.029195974,-2.0639923,-1.4860572,-1.3505024,0.82976437,0
Yahoo_A1real_15_data,-1.721124,-4.7249436,1.5244753,-2.424589,-3.6534472,-0.06857146,-2.663461,0.6829931,4
Yahoo_A1real_16_data,-1.1729411,-1.3944114,1.4923058,0.24121307,-0.9344363,-1.1880394,-1.7142135,0.36178872,4
Yahoo_A1real_17_data,0.7632647,1.1359451,3.5172222,0.6322836,1.359452,0.18536036,-3.267782,0.5706604,4
Yahoo_A1real_18_data,-3.517497,-2.1422884,0.0053989384,3.3979895,-1.0091326,-2.8083003,-4.0266633,-0.28512493,4
Yahoo_A1real_19_data,1.8961545,0.52465075,3.0159128,1.0026171,1.1234443,0.44595632,-3.2219658,0.38598192,4
