Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,AE_33,AE_34,AE_35,AE_36,AE_37,AE_38,AE_39,AE_40,AE_41,AE_42,AE_43,AE_44,AE_45,AE_46,AE_47,AE_48,AE_49,AE_50,AE_51,AE_52,AE_53,AE_54,AE_55,AE_56,AE_57,AE_58,AE_59,AE_60,AE_61,AE_62,AE_63,AE_64,AE_65,AE_66,target
Yahoo_A1real_10_data,Yahoo_A1real_10_data,-3.633480908850594e-05,7.5040040988128e-05,0.0089841487185958,8.071492819784774e-05,0.5031271716469771,0.4968728283530229,-247.26691046103304,-0.222820919948135,-0.0827684702027215,5.817417439172377,-0.037190447699053,-0.0057701244221527,-0.0073900099997556,0.0074544357768528,-0.0523008840581837,0.0251503873392113,-0.077451271397395,0.0089842221931672,0.0077531235980309,1.778323629870912,0.6933172477672445,0.11599743219839,-0.0523008840581837,-247.26691046103304,719.0,719.0,359.5,1078.5,1.0,1.0,1.0,1.0,1438.0,11.842455395409162,0.0021823327064289,0.0774584858734675,0.8500153049714099,0.8500153049714099,0.0,0.906245047212415,6.01808680217202e-08,0.0355999576413715,0.000496064889161,0.0019965329914134,6.01808680217202e-08,9.419418837675352,6.116112224448898,0.2480324445805462,4.575795350350414,5.521636905035314,3.005312731212338,-0.3146831864300299,1.95231613855133,0.2237790978165707,9.419418837675352,-0.1825289900814042,0.0005666791223072,1.0,0,0.997913769123089,0,0,0.0808515327348522,0.5006954102917242,0.0856496661516508,4
Yahoo_A1real_11_data,Yahoo_A1real_11_data,0.6099358866840241,0.465106403655227,34.63484698363149,1199.5726255795676,0.4954829742876998,0.5045170257123002,56.7844058416415,61.881347232799286,0.961271035074232,12.585331209929718,0.0125448352429328,-0.0015108018920872,-7.501281135094359,8.407458987725022,-435.28108482013886,469.1639975749422,-904.445082395081,34.640217195702355,14.872218292681683,0.5293451593658309,0.1909209090150554,0.038294029850741,-435.28108482013886,56.7844058416415,719.0,719.0,359.5,1078.5,1.0,1.0,1.0,1.0,1438.0,14.008546337390465,0.0002733625296742,5.4941126334686085e-151,0.4093474970027387,0.4093474970027387,0.0,0.0832856298081146,1.818359213751016e-06,0.0207310108522526,0.0013300810284846,0.0019841275212652,1.818359213751016e-06,9.419418837675352,0.9709619238476954,0.6650405142423251,5.546735662233843,4.948491645918123,2.982424776023568,-0.138812037308533,1.812962196561328,0.4351383686143363,8.178176352705412,-0.0971895499792184,0.0007129203304001,1.0,0,0.8699582753818706,15,0,760.2340980806875,0.4951321279551494,92656.00299946548,2
Yahoo_A1real_12_data,Yahoo_A1real_12_data,0.0061090452330007,-0.0051353827147266,0.3988079947018548,0.1590478166381147,0.4822793606671299,0.51772063933287,65.28154796857105,168.5693661945048,8.352122909763189,5.498460770906153,0.0845852746352674,0.0163571458198366,-0.1831132097931384,0.178761684799431,-2.186721074257358,8.567276597563797,-10.753997671821155,0.3988547819341941,0.225066177812139,0.8413952049080109,0.2857573923506641,0.037084627208891,-2.186721074257358,65.28154796857105,719.0,719.0,359.5,1078.5,1.0,1.0,1.0,1.0,1438.0,18.84824064631892,0.0009633165042252,0.0,-0.0155085419924008,-0.0155085419924008,0.0,0.2498037756518556,7.762953461956948e-06,0.0116570772090995,0.0011302283167598,0.0013869921316283,7.762953461956948e-06,5.275270541082165,6.83683366733467,0.5651141583799226,5.748552296764281,4.786625341553265,2.858721658516615,-0.2045841217061201,1.853595803220603,0.6359242339371962,7.617615230460922,-0.070621620146744,0.0007111267750973,1.0,0,0.8977746870647443,5,0,8.424846222913054,0.5041724617520833,40.76679662252506,4
Yahoo_A1real_13_data,Yahoo_A1real_13_data,-1.541769943781268,0.4297850059283519,59.35682129959952,3523.2322347925915,0.5448227936066713,0.4551772063933287,-38.49914286986494,1350.1540731175992,-36.21697424742276,37.3551989407007,-0.0996459163332777,-0.1093820147722778,-7.239392613421387,6.586642994104295,-2218.8276381152973,100.60147799719562,-2319.429116112493,59.37684135546567,9.512986179891852,0.4125776269049592,0.1355147269264187,0.0255911339938077,-2218.8276381152973,-38.49914286986494,719.0,719.0,359.5,1078.5,1.0,1.0,1.0,1.0,1438.0,15.482459362806766,0.0017285815918484,0.0,-0.0130981901409585,-0.0130981901409585,0.0,0.012659038528689,0.0005884634088748,0.0026833779922446,0.0013668395924499,0.000254422158949,0.0005884634088748,9.419418837675352,3.13312625250501,0.6834197962249684,6.198106401231196,5.01273990655214,2.8878609600955176,-0.0106874430469768,1.809348110657041,0.9839187765716466,8.518517034068136,0.0029142530069058,0.0002287239233945,1.0,0,0.9520166898463476,0,0,110.56040657979976,0.5041724617520833,104419.97788254928,4
Yahoo_A1real_14_data,Yahoo_A1real_14_data,-0.2174999819914589,-0.0712861378478919,11.26900429346089,126.99045776603998,0.5031271716469771,0.4968728283530229,-51.81151852102192,478.5963183759494,-16.316178937135742,28.820206417267983,-0.0389246042479821,-0.0230538208552625,-4.920023084698627,4.558924841590752,-324.99252986543365,75.21747591936219,-400.21000578479584,11.271103051973496,5.940122830786909,0.6845899056841369,0.2285217245543277,0.0281577275194173,-324.99252986543365,-51.81151852102192,719.0,719.0,359.5,1078.5,1.0,1.0,1.0,1.0,1438.0,21.769292460696303,0.0032076789026264,0.0,0.0541161058395025,0.0541161058395025,0.0,0.2426435281745777,8.250221676934908e-06,0.0114448666539131,0.0011721891578623,0.0012699950376127,8.250221676934908e-06,9.419418837675352,1.2912825651302606,0.586094578931156,5.884075412473917,4.949850411511743,2.884193729595684,-0.0714896718347611,1.8152370444240324,0.7532760754425228,8.278276553106213,0.0565782087544184,0.0008739483065542,1.0,0,0.9381084840049108,4,0,130.58769474096772,0.4979137691234367,34036.91106736632,0
Yahoo_A1real_15_data,Yahoo_A1real_15_data,-1.588025041579896,0.3061622791537957,61.08071032268272,3730.85317352348,0.551772063933287,0.448227936066713,-38.4633168633021,1355.1931450628351,-36.3185853875379,37.3899356832608,-0.0930336587784864,-0.0854184684845786,-7.090176905547196,6.538371713097149,-2285.39185553196,100.65028437533692,-2386.042139907297,61.10135020649024,9.460600761874048,0.2452535734809159,0.0805556793937611,0.0255991750108111,-2285.39185553196,-38.4633168633021,719.0,719.0,359.5,1078.5,1.0,1.0,1.0,1.0,1438.0,15.822742973435863,0.00193354862332,0.0,-0.0133414835987124,-0.0133414835987124,0.0,0.0117484231621775,0.0005999386476204,0.0025935757199975,0.0013689197820181,0.0002504087010611,0.0005999386476204,6.89689378757515,3.13312625250501,0.684459891009089,6.198649564987253,5.0095859033876735,2.8869977362309367,-0.0092534578616583,1.8098348310755976,0.9844459333140728,8.498496993987976,0.0023266458548301,0.0002256923270432,1.0,0,0.9492350486780604,0,0,112.70426111929736,0.5062586926282988,102681.37119950067,4
Yahoo_A1real_16_data,Yahoo_A1real_16_data,-0.000238112126017,-0.0010129292562925,0.0180951540506723,0.0003274346001175,0.4976043805612594,0.5023956194387406,-75.9945759501209,275.9953789269083,2.5795579074453663,19.448943930047367,0.1284571137587431,0.1623027936659298,-0.0060952087488364,0.0060387211133303,-0.3521697681120574,0.4052817490331861,-0.7574515171452435,0.0180967206283934,0.0076797628981163,0.7581561324738433,0.2675958497078164,0.0238895211339487,-0.3521697681120574,-75.9945759501209,730.0,730.0,365.0,1095.0,1.0,1.0,1.0,1.0,1460.0,15.340673703881514,0.0155679831432671,7.524575190414493e-280,0.0513375492178925,0.0513375492178925,0.0,0.0634983482293825,2.678693968168927e-07,0.0098683811706012,0.0012006486383628,0.001403525747985,2.678693968168927e-07,9.419418837675352,2.6526452905811624,0.6003243191814199,5.689250193738579,4.811664994899189,2.7892926228560744,-0.1848811910852462,1.8340270701149284,0.5469889372034967,7.817815631262525,-0.0917291482557907,0.0009841015034275,1.0,0,0.9842465753417916,5,0,0.3990855867382502,0.5006849315065064,0.0649177566387046,4
Yahoo_A1real_17_data,Yahoo_A1real_17_data,0.1061854163863229,-0.1573712648665264,7.3746904035716785,54.386058548532205,0.4705056179775281,0.5294943820224719,69.45106574042212,4.638922743402666,0.6136355184885536,4.052876454370127,0.1072139981996261,0.0091749837133108,-3.3620501516228103,3.106657913038361,-29.782523682571536,40.14464242568829,-69.92716610825983,7.375454826055498,4.9348351027432384,1.751252210487081,0.6466838056132105,0.1054624520611756,-29.782523682571536,69.45106574042212,711.5,711.5,355.75,1067.25,1.0,1.0,1.0,1.0,1423.0,25.68063481871465,8.646411338193809e-05,4.783946413689937e-51,0.3582515796883239,0.3582515796883239,0.0,0.1470773196191155,2.9198867079055934e-08,0.0369319209981341,0.0014541936055778,0.0038812159362146,2.9198867079055934e-08,6.676673346693387,0.6706613226452907,0.7270968027889495,4.7039220322413104,4.640359201381071,2.7490967482109614,-0.6645481894707307,1.839028633099504,0.0942464185392109,6.696693386773547,-0.4283564341623332,0.0013353188330336,1.0,0,0.770906535487863,22,0,275.6652819703695,0.5003513703439914,1024.797369881378,4
Yahoo_A1real_18_data,Yahoo_A1real_18_data,3.96998588270656e-05,9.54448265644281e-07,0.001559482368865,2.431985258800979e-06,0.4496919917864476,0.5503080082135524,39.28082200080521,1303.009164944568,35.13462038889601,1.6426101881762485,0.0745350889947975,-0.0121840999634386,-0.000211743127612,0.0002085313457635,-0.0025219234111621,0.0579995722143139,-0.060521495625476,0.0015599876081533,0.0003041835236545,0.3841771446413495,0.1261863403451991,0.0257674125032891,-0.0025219234111621,39.28082200080521,730.0,730.0,365.0,1095.0,1.0,1.0,1.0,1.0,1460.0,26.26174807861643,0.0007342188010779,0.0,0.0104166424679415,0.0104166424679415,0.0,0.036373147126455,6.145822022295097e-05,0.0050648481940704,0.0013544994795969,0.0004398480490803,6.145822022295097e-05,0.1501402805611222,6.416412825651303,0.6772497397984866,6.166949838525951,4.969957912718776,2.9115709116328645,-0.011658833538535,1.802656669873772,0.9506980578341891,8.458456913827655,-0.0076623680799181,0.0003813588845457,1.0,0,0.7705479452049517,1,0,0.0581326071546742,0.4883561643832271,4.871303030067808e-05,4
Yahoo_A1real_19_data,Yahoo_A1real_19_data,0.02369216339847,0.0186406829986571,0.4531000062077074,0.2052996156254245,0.497191011235955,0.5028089887640449,19.124466578366608,4.538401481399816,0.5388932706263613,3.873743720335928,0.0334461287979888,0.0053839720819216,-0.2271291533289452,0.2670712806711737,-1.7315011442065504,2.652583694135899,-4.384084838342449,0.4537190036045705,0.3343072113875798,1.7584009272376508,0.6493236077649654,0.1033511035511041,-1.7315011442065504,19.124466578366608,711.5,711.5,355.75,1067.25,1.0,1.0,1.0,1.0,1423.0,33.087308860410474,0.0026021954267401,4.8738840410882585e-47,0.3899855815854869,0.3899855815854869,0.0,0.2427451840618444,3.712995006042832e-09,0.0569175667406408,0.0010150748364493,0.0038586470789316,3.712995006042832e-09,6.3563527054108215,8.198196392785572,0.5075374182246881,4.274714891708538,4.724990297968478,2.8064432423848995,-0.718288592502213,2.038890540160501,0.0769177294403963,6.596593186372746,-0.4445496769620156,0.0009046024820337,1.0,0,0.9585382993668596,17,0,27.869996905112064,0.5003513703439914,233.7541147656109,4
