Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,target
TravelTime_387,-0.52946097,0.28079244,-0.47791728,0.083953455,-0.4764431,0.56284344,-0.2709659,-0.2509242,0.4267599,-0.3330928,-0.45547476,-0.32474458,-0.6871951,-0.12180342,-1.0135659,-0.2919958,0
TravelTime_451,-0.121571526,-0.06504572,-0.26927286,-0.74396,-0.13712756,-0.19397458,-0.46721718,-0.041162938,-0.14765215,0.011417326,0.2042546,-0.14339533,-0.4630557,0.15571935,-0.17731835,-0.55141807,1
Twitter_volume_AAPL,-0.4848828,-0.32079536,-0.037888315,-0.45923775,-0.07540257,-0.47415033,0.10743586,0.15156762,-0.63572836,-0.19473208,-0.14530562,-0.45158502,0.9378352,-0.2086655,0.64369583,-0.46786457,1
Twitter_volume_AMZN,-0.4550968,0.23736592,-0.46409968,-0.24145119,-0.3799157,0.618605,-0.42750502,0.07537365,0.38138318,-0.22451028,-0.27092987,-0.29911277,-0.76011,-0.046712242,-0.89935803,-0.54864305,0
Twitter_volume_CRM,-0.24648234,0.03845613,-0.35270017,-0.7034802,-0.21338853,0.22256276,-0.5610327,0.14714652,0.11961249,-0.06623815,0.13111405,-0.18541232,-0.7660718,0.122564375,-0.5071181,-0.6285171,1
Twitter_volume_CVS,0.12827177,-0.51652783,-0.5987338,-0.72310346,-0.00217755,-0.54788965,-0.32182735,-0.5800854,-0.632645,0.347274,0.42288634,-0.10841063,0.062464602,0.074172646,0.8643803,-0.42604703,1
Twitter_volume_FB,-0.4208901,0.6668091,0.449931,-0.7586445,-0.50506914,0.2862413,-0.48618793,-0.3691537,-0.028643545,-0.34964293,0.2940442,-0.5368255,-0.5354051,-0.3467871,-0.54429394,-0.35552657,1
Twitter_volume_GOOG,-0.5148641,0.2361321,-0.4994371,0.05405693,-0.5105926,0.6745158,-0.26607522,-0.17421521,0.44803074,-0.30844462,-0.41226852,-0.30255613,-0.6957269,-0.1100771,-0.98487014,-0.3593927,0
Twitter_volume_IBM,-0.49204203,0.15987563,-0.4903237,-0.10881971,-0.43917426,0.57568866,-0.3194228,-0.05509695,0.41211045,-0.25403395,-0.34504062,-0.22345066,-0.74942636,0.005078427,-0.9456497,-0.4324018,1
Twitter_volume_KO,-0.37997842,0.1803227,0.22069438,-0.7967876,-0.26602927,-0.034156322,-0.51175374,0.09276766,-0.42625704,-0.22325122,0.23601106,-0.49156293,-0.13173261,-0.2094766,0.039251212,-0.595152,1
Twitter_volume_PFE,-0.34607154,-0.13388939,-0.4980631,-0.4426013,-0.27902168,0.17920607,-0.35033247,0.062450066,0.29454008,-0.090536736,-0.13069245,0.08395191,-0.8107889,0.30417633,-0.7410178,-0.46447426,0
Twitter_volume_UPS,-0.37514696,-0.43203494,-0.21483228,-0.5278551,-0.10957007,-0.506154,0.16251346,-0.13522123,-0.49659905,-0.062329456,-0.06260126,-0.20760162,0.67785037,-0.022570021,0.54715526,-0.3444324,1
Yahoo_A1real_10_data,-0.57005805,-0.12721162,-0.77510643,0.58671653,-0.23480068,0.31120458,-0.30831438,0.1318892,0.26807967,-0.16860013,-0.56759304,-0.0116650285,-0.70727926,0.18617338,-0.95212644,-0.4454964,4
Yahoo_A1real_11_data,-0.49211565,-0.05824522,0.041579653,-0.41530177,-0.1599147,-0.15445986,-0.05312484,0.100511245,-0.48186,-0.24400592,-0.09818056,-0.5202872,0.559978,-0.35308293,0.33795303,-0.33090943,2
Yahoo_A1real_12_data,-0.107994266,0.018223014,-0.3981975,-0.73865914,0.014110539,0.041148998,-0.7273147,0.31036654,-0.23699014,0.13139325,0.21458529,-0.47874644,-0.47663313,-0.118341096,0.046532694,-0.72030646,4
Yahoo_A1real_13_data,-0.59139204,-0.31978187,-0.039346583,-0.29003537,-0.05710593,-0.41051802,0.45713094,0.14687428,-0.5969276,-0.23564821,-0.3667843,-0.46690682,1.4843528,-0.3602333,0.7054041,-0.3234884,4
Yahoo_A1real_14_data,-0.3016024,0.1633826,0.024054265,-0.73509115,-0.19817933,0.0688713,-0.6379379,0.004607662,-0.21098983,-0.03861477,0.19465679,-0.41741735,-0.44632673,-0.12398234,-0.12587678,-0.54232967,0
Yahoo_A1real_15_data,-0.5890096,-0.3503289,-0.07829345,-0.2828004,-0.048205674,-0.42193764,0.49574518,0.12705174,-0.59213763,-0.23240468,-0.38058406,-0.46105954,1.5273504,-0.35576928,0.72898185,-0.31620547,4
Yahoo_A1real_16_data,-0.57831323,0.35938343,0.6348136,-0.58340305,-0.38831833,-0.053168368,-0.39544946,-0.22669077,-0.46646008,-0.3168081,0.12653251,-0.567333,0.007654159,-0.40477172,0.01940507,-0.2818216,4
Yahoo_A1real_17_data,-0.15218939,-0.32569468,-0.40416646,-0.6962364,-0.07485297,-0.33489725,-0.34407207,-0.16544797,-0.36629534,0.124341235,0.10640363,-0.06295399,-0.15293851,0.059383217,0.31581447,-0.33130485,4
Yahoo_A1real_18_data,-0.38669538,-0.5419013,-0.47547835,-0.19238304,-0.025375037,-0.43932158,0.47506556,-0.1622289,-0.63302505,-0.16097689,-0.23712528,-0.4655769,1.5059905,-0.3408112,0.96385735,-0.31592503,4
Yahoo_A1real_19_data,-0.37617993,0.1357137,-0.1325203,-0.650394,-0.24983479,0.14257762,-0.51578325,-0.079302505,0.06617784,-0.09231606,0.0019064369,-0.18819144,-0.68796366,0.004694591,-0.53328997,-0.40786391,4
Yahoo_A1real_1_data,-0.39331013,-0.2189488,-0.65942234,-0.099969484,-0.1329312,0.14027427,-0.3980041,0.22727324,0.2521477,-0.0003435269,-0.31078303,0.2126975,-0.82896316,0.33658394,-0.8385718,-0.43395656,4
Yahoo_A1real_20_data,-0.38397753,0.2643187,-0.11072781,-0.66481936,-0.22276823,0.13638158,-0.55930686,-0.152899,0.12920864,-0.16432643,0.007761787,-0.3675999,-0.6673331,-0.031745646,-0.57428086,-0.4098064,4
