Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,target
TravelTime_387,-0.4052494,-0.58358616,-0.6214625,-0.33214164,-0.64396226,0.012297904,0.32990244,-0.40153673,-0.37342128,-0.2509313,0.3246644,-0.10272478,-0.040544834,0.017326681,-0.016025834,0.010190329,-0.44342455,-0.013618579,0.123926565,-0.05874165,-0.3749591,-0.2847822,-0.36657602,-0.7076241,-0.29659855,0.03833917,-0.11957079,-0.25592116,-0.3542155,0.024425013,-0.16074112,-0.32849127,0
TravelTime_451,-0.37831405,-0.13522491,-0.4354888,-0.44306636,-0.28989798,-0.310235,-0.074796215,0.013988085,-0.14127263,-0.005463643,-0.4371392,-0.05977222,-0.075345926,0.2929816,0.022075014,-0.11357317,-0.4250122,-0.067980066,-0.4658117,-0.3296341,-0.29306722,-0.0881866,-0.40524322,-0.09782015,-0.16786008,-0.6014959,-0.31838447,-0.17106226,0.10720557,0.112682626,0.015590895,-0.42983684,1
Twitter_volume_AAPL,-0.37528387,0.69399756,0.31376484,-0.5001278,0.63062936,-0.40875375,-0.5754187,0.25695297,-0.11490281,0.20617417,-0.5663225,-0.19971454,-0.3879746,-0.12068904,-0.4159794,-0.13585043,-0.3434961,-0.18795945,-0.42009246,-0.29277596,-0.34094507,0.31604385,-0.038408484,0.14366253,-0.4485596,-0.5435068,-0.32782543,-0.36215952,-0.035411324,-0.22503643,0.09506179,-0.35387596,1
Twitter_volume_AMZN,-0.4578563,-0.53626555,-0.7864612,-0.46051994,-0.6700243,-0.051336553,0.28437516,-0.11746536,-0.25873205,0.042929,0.09492388,0.13840184,-0.08102263,0.15377861,0.04078469,0.20991798,-0.4505458,0.053755462,0.002393184,0.06483086,-0.48495716,-0.12180287,-0.5231146,-0.72090834,-0.3690169,-0.31481847,-0.17120516,-0.23975018,-0.18647029,0.13095635,0.106072724,-0.48066416,0
Twitter_volume_CRM,-0.40593642,-0.37359446,-0.6352108,-0.49192864,-0.49085662,-0.19028632,0.101558656,0.08242868,-0.13733344,0.11365402,-0.31313628,0.042974845,-0.10530206,0.26773077,0.0965384,0.09910899,-0.43808904,-0.0049738884,-0.32024926,-0.12788859,-0.40020007,-0.070201054,-0.50995594,-0.4400691,-0.30258507,-0.58976334,-0.31201693,-0.18713328,0.084478505,0.15690716,0.1452421,-0.4763629,1
Twitter_volume_CVS,-0.3354854,0.13733451,0.45094958,-0.53420395,0.21355107,-0.25359246,-0.44957843,0.33600044,0.18627766,-0.20597595,-0.7542524,-0.7940594,-0.014749748,0.35379085,-0.27625695,-0.56392664,-0.33793458,-0.4480228,-0.33017895,-0.5409051,-0.25424153,-0.06257182,0.20408939,0.61453587,0.046724085,-0.68128085,-0.7034185,-0.107124805,0.19846605,0.011012055,-0.33684945,-0.18079576,1
Twitter_volume_FB,-0.64260393,-0.2522914,-0.6911776,0.0005277789,-0.3817359,-0.07588555,-0.16741484,-0.3428468,-0.3747426,-0.33307582,-0.38869253,0.34795967,-0.27399555,0.16929209,-0.0765684,0.27602783,-0.4854052,0.6618175,-0.031996388,-0.26503742,-0.27689028,-0.24684043,-0.503009,-0.19836232,-0.686489,-0.7512074,0.25188336,-0.18356255,-0.263824,-0.07895364,0.15555988,-0.46113005,1
Twitter_volume_GOOG,-0.4139911,-0.59364575,-0.6946842,-0.4272107,-0.6420677,0.026399799,0.3308792,-0.2658157,-0.3095735,-0.14241824,0.25543553,-0.00823837,-0.040086675,0.08643377,-0.05107109,0.1386641,-0.44151896,0.00011396256,0.18113108,0.0089461915,-0.43717885,-0.2053585,-0.42425072,-0.7758936,-0.31624153,-0.06404514,-0.14270772,-0.24359891,-0.34399307,0.101985425,-0.02709655,-0.40051594,0
Twitter_volume_IBM,-0.37677303,-0.56488585,-0.72907555,-0.45458728,-0.6298056,-0.023107093,0.3227957,-0.18217216,-0.25820157,-0.038561206,0.14645052,0.027176088,-0.05757081,0.12693635,0.014631393,0.14940202,-0.43635777,-0.030801995,0.037310973,-0.009136464,-0.43149126,-0.16798407,-0.4830542,-0.7711601,-0.28909615,-0.16643865,-0.19122209,-0.24883813,-0.23356204,0.13675623,0.049722265,-0.4274708,1
Twitter_volume_KO,-0.4801908,0.04549026,-0.48042142,-0.30387157,-0.068597496,-0.29413176,-0.37172818,-0.027893828,-0.22036529,0.025954477,-0.6393596,0.26726982,-0.32934648,0.095064074,-0.123747975,0.15333714,-0.4135537,0.24282816,-0.36665785,-0.27277672,-0.3295252,-0.032433517,-0.44380334,-0.030300869,-0.5747273,-0.8608714,-0.07856859,-0.27406907,-0.081490844,-0.05322399,0.2811256,-0.4679121,1
