Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,target
TravelTime_387,-0.004460314,0.23939416,-0.5590717,-0.20674187,-0.54262567,-0.93565536,0.58477193,-0.19173893,0
TravelTime_451,-0.0748902,-0.18547752,0.09261551,-0.2429535,-0.05893704,-0.53633624,-0.74128497,0.2007113,1
Twitter_volume_AAPL,-0.46100518,-0.3035452,-0.12486638,-0.0456358,-0.23497824,1.0612295,-0.91083544,-0.30447578,1
Twitter_volume_AMZN,-0.122118786,0.2870661,-0.48470208,-0.2669169,-0.4280622,-1.1278383,0.3494444,0.1332117,0
Twitter_volume_CRM,-0.20477833,0.058861397,-0.17109516,-0.30502012,-0.24022923,-0.9926535,-0.30029464,0.38143307,1
Twitter_volume_CVS,-0.22316654,-0.36648768,0.70227104,-0.6672594,0.4900669,0.31881154,-1.2034035,-0.19209127,1
Twitter_volume_FB,-0.79134846,-0.042201772,-0.8421398,0.5706545,-0.7164691,-0.86874145,-0.16177094,0.40066025,1
Twitter_volume_GOOG,-0.030440686,0.3025964,-0.5525953,-0.23393683,-0.5041921,-1.0323374,0.5602656,-0.111525975,0
Twitter_volume_IBM,0.0056383098,0.22244646,-0.45280156,-0.26461408,-0.446461,-1.0883412,0.45446813,0.02360052,1
Twitter_volume_KO,-0.6015732,-0.021777568,-0.34655017,0.24546118,-0.35221347,-0.3170531,-0.75510275,0.213128,1
Twitter_volume_PFE,0.19895016,-0.07977716,-0.039657407,-0.43339205,-0.24554235,-1.0907006,-0.045754705,0.2924653,0
Twitter_volume_UPS,-0.13165773,-0.43111938,0.15307778,-0.29350197,-0.10895725,0.8445746,-0.9449591,-0.3048702,1
Yahoo_A1real_10_data,0.42388865,0.12729937,-0.16453704,-0.7463864,-0.36853155,-0.8894243,0.49049497,-0.17449893,4
Yahoo_A1real_11_data,-0.47746357,-0.22606996,-0.2635313,0.10139418,-0.32992408,0.6895405,-0.6434685,-0.11278577,2
Yahoo_A1real_12_data,-0.42238972,0.16948049,-0.05098666,-0.35255352,0.023447959,-0.4868991,-0.66292036,0.25324616,4
Yahoo_A1real_13_data,-0.50171304,-0.46839368,-0.3055412,-0.29866856,-0.21311529,1.7406881,-0.8029787,-0.30826208,4
Yahoo_A1real_14_data,-0.43725818,-0.12456993,-0.22606058,0.037963726,-0.15912895,-0.5100138,-0.575628,0.36521113,0
Yahoo_A1real_15_data,-0.4927737,-0.48073444,-0.2992146,-0.34905538,-0.20867655,1.7847236,-0.81210655,-0.3218627,4
Yahoo_A1real_16_data,-0.6627454,-0.3432501,-0.56061006,0.5533937,-0.5199073,-0.036077935,-0.6186943,0.28905633,4
Yahoo_A1real_17_data,0.015690131,-0.257485,0.37221065,-0.38041347,0.12769789,-0.042498834,-0.8815815,-0.07853332,4
Yahoo_A1real_18_data,-0.5500149,-0.39029726,-0.078809194,-0.40207955,-0.08827428,1.7522397,-0.9032346,-0.44052795,4
Yahoo_A1real_19_data,-0.0778245,-0.13762617,-0.21212299,-0.12955782,-0.2906541,-0.78322583,-0.27259907,0.26915252,4
Yahoo_A1real_1_data,0.39964384,-0.11262569,0.050750706,-0.6708547,-0.14412098,-1.0181963,0.1109694,0.22159566,4
Yahoo_A1real_20_data,-0.20534441,-0.15907593,-0.34912848,0.030368468,-0.35703698,-0.8111925,-0.16500606,0.2931263,4
Yahoo_A1real_21_data,-0.442165,-0.40023938,0.4767154,-0.84331423,0.4455024,1.1577634,-1.1584209,-0.3671362,0
Yahoo_A1real_22_data,-0.4630767,-0.11719868,-0.6694109,0.3667939,-0.56788886,-0.7943372,0.044022024,0.28119326,2
Yahoo_A1real_23_data,0.24372698,-0.30333197,0.36878443,-0.7730719,0.20619681,-0.7534083,-0.6076344,0.3101095,4
Yahoo_A1real_24_data,-0.5059995,-0.40016022,-0.029421719,-0.49927497,-0.06619379,1.7515339,-0.9325881,-0.45546484,0
Yahoo_A1real_25_data,-0.41726717,-0.56065136,-0.16463912,-0.76712316,-0.28009292,2.2703326,-0.89119965,-0.58870786,2
Yahoo_A1real_26_data,-0.5414908,0.10722887,-0.22413883,-0.09987285,-0.057475038,-0.4480118,-0.62281215,0.32235065,2
Yahoo_A1real_27_data,-0.48501652,-0.47956464,-0.063397475,-0.69862723,0.043582454,1.7681844,-0.97528523,-0.39041397,4
Yahoo_A1real_28_data,-0.304054,0.037622668,-0.31168717,-0.13440229,-0.19448009,-0.7450381,-0.31953484,0.3325122,2
Yahoo_A1real_29_data,-0.48802918,-0.0276489,-0.13547333,-0.038494054,-0.024731304,-0.13428976,-0.75037915,0.17685713,0
Yahoo_A1real_2_data,-0.44558853,-0.5011215,-0.14667676,-0.51896834,-0.2728188,2.0293572,-0.8485199,-0.5173957,4
Yahoo_A1real_30_data,-0.53859967,-0.41673398,-0.38027075,0.06797067,-0.30556107,1.4199513,-0.7247277,-0.21060346,2
Yahoo_A1real_31_data,-0.39044482,-0.5660519,-0.046511333,-0.7825417,-0.16593912,2.051353,-0.94494605,-0.5362898,2
Yahoo_A1real_32_data,-0.58127844,-0.121947356,-0.7241973,0.49113575,-0.60485756,-0.865332,0.12691398,0.29941866,4
Yahoo_A1real_33_data,-0.42238972,0.16948049,-0.05098666,-0.35255352,0.023447959,-0.4868991,-0.66292036,0.25324616,4
Yahoo_A1real_34_data,-0.66930085,-0.07608941,-0.753122,0.5077882,-0.5695451,-0.8147048,-0.015177385,0.3776981,4
Yahoo_A1real_35_data,-0.5906347,-0.37173545,0.01150518,-0.6095555,0.17505896,1.5991921,-1.0123304,-0.36070463,0
Yahoo_A1real_36_data,-0.5884551,0.0066310605,-0.80024415,0.47339654,-0.6038036,-0.91823626,0.3198093,0.2203114,4
Yahoo_A1real_37_data,0.32244742,-0.44338247,0.6283326,-0.6922295,0.27380517,-0.5544273,-0.8019514,0.19080709,4
Yahoo_A1real_38_data,0.14767808,-0.21977727,0.14680085,-0.49942806,0.016232785,-0.7834117,-0.44091493,0.2699883,4
Yahoo_A1real_39_data,0.06444196,0.26533616,-0.509082,-0.30356607,-0.48568,-0.89313054,0.55208176,-0.18115337,4
Yahoo_A1real_3_data,-0.38801023,-0.6185043,-0.27953938,-0.86266387,-0.21777348,2.2021377,-0.90217096,-0.45780808,4
Yahoo_A1real_40_data,-0.71472704,-0.0527085,-0.7935872,0.51432997,-0.5327889,-0.7713014,-0.023597028,0.4000349,2
Yahoo_A1real_41_data,-0.41398084,-0.0795706,0.027550956,-0.14508803,0.04883122,-0.06949996,-0.8443598,0.10117831,0
Yahoo_A1real_42_data,-0.37141547,-0.3612207,0.105558395,-0.33841658,-0.013762578,1.1164963,-0.8958154,-0.31343585,2
Yahoo_A1real_43_data,0.09962902,0.3082059,-0.55468595,-0.35528526,-0.57725936,-0.7900347,0.61836773,-0.33545658,4
Yahoo_A1real_44_data,-0.57296985,0.04048389,-0.6978841,0.35348144,-0.5258695,-0.8603973,0.04663091,0.3280483,2
Yahoo_A1real_45_data,0.22628313,-0.3787058,0.4855261,-0.82188416,0.27742872,-0.7770785,-0.65151995,0.3595459,1
Yahoo_A1real_46_data,-0.52684295,-0.4298096,0.32303664,-0.8581028,0.3452623,1.4974324,-1.141477,-0.41938102,2
Yahoo_A1real_47_data,-0.55632704,-0.29084244,-0.110381804,-0.0042653396,-0.12367066,1.1726568,-0.8373888,-0.2505664,4
Yahoo_A1real_48_data,-0.1179474,-0.39580515,-0.32614058,0.25507903,-0.34259552,-0.25839967,-0.6455696,0.21546607,2
Yahoo_A1real_49_data,-0.5500149,-0.39029726,-0.078809194,-0.40207955,-0.08827428,1.7522397,-0.9032346,-0.44052795,4
Yahoo_A1real_4_data,-0.4410927,-0.38298017,-0.1095514,-0.13293831,-0.19673896,1.2773662,-0.83872133,-0.29929894,4
Yahoo_A1real_50_data,-0.612707,-0.30484313,-0.28329512,0.21671368,-0.30175108,1.265323,-0.75594735,-0.25682053,0
Yahoo_A1real_51_data,-0.59044844,-0.17672138,0.10023327,-0.3921799,0.29900298,0.87036216,-1.0055748,-0.1746076,0
Yahoo_A1real_52_data,0.057641137,-0.14822128,0.14239573,-0.6041359,0.101927325,-0.7714077,-0.50829273,0.32963046,4
Yahoo_A1real_53_data,-0.5059995,-0.40016022,-0.029421719,-0.49927497,-0.06619379,1.7515339,-0.9325881,-0.45546484,0
Yahoo_A1real_54_data,-0.57964176,-0.27404353,-0.1381781,0.13307312,-0.14369431,1.0774149,-0.78148663,-0.20924614,2
Yahoo_A1real_55_data,0.12950535,0.34227094,-0.548271,-0.44111776,-0.5110595,-0.80612874,0.62971854,-0.32876423,4
Yahoo_A1real_56_data,-0.3087496,0.22985384,-0.6365951,-0.0014665618,-0.37097955,-1.0033957,0.35309103,0.18158287,4
Yahoo_A1real_57_data,-0.42627257,-0.10898151,-0.58695996,0.2883577,-0.54091,-0.88386524,0.06721995,0.27756947,4
Yahoo_A1real_58_data,-0.40579197,-0.54311055,-0.12098286,-0.7028081,-0.253763,2.1454124,-0.88304496,-0.55676895,4
Yahoo_A1real_59_data,-0.16105285,-0.5196143,0.9528528,-1.0164936,0.92363673,0.10026443,-1.2449713,-0.06688615,0
Yahoo_A1real_5_data,-0.12963608,0.47677878,-0.8012633,-0.24292344,-0.68946165,-0.60384476,0.71621615,-0.5434632,4
Yahoo_A1real_60_data,-0.62318957,-0.17985885,-0.29167095,0.2827392,-0.21087913,0.48744103,-0.7821084,0.027288435,4
Yahoo_A1real_61_data,-0.78520143,-0.3168476,-0.5339921,0.61126375,-0.51459813,0.17199442,-0.70223,0.2359225,2
