Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,target
ambient_temperature_system_failure,0.120934464,-1.0924718,1.5978783,0.082874775,-0.51153636,-0.17091915,-1.6681212,1.1643785,0.85444415,0.41269398,-1.8169296,0.280851,-1.2785894,-0.8015042,1.0838292,0.04258869,1.0187749,-0.046092592,-0.58315724,0.08909412,-0.5323667,-1.4363827,0.9283246,0.7361504,-2.0565493,-1.7553259,-1.7865142,2.1490679,0.71612096,-0.3235265,-1.4114392,1.2997128,0
art_daily_flatmiddle,2.628427,-2.800136,1.5732001,1.0602168,-0.9881329,-2.9412942,-1.142677,1.2047218,0.7097833,-0.567851,-2.335016,2.3161085,-3.135735,-2.3489,2.1377778,-0.005812343,-0.088131845,2.0003984,2.9043465,0.858834,0.95129424,-1.4956563,-2.019645,3.5844326,-0.79367584,-3.179272,-0.9475449,0.99592805,0.07000619,0.63118666,-1.8898953,1.037928,1
art_daily_jumpsdown,1.9330827,-1.9331415,0.77088976,1.372474,-0.5890057,-2.8571973,-0.67112523,0.98558974,0.19738026,-0.9962259,-1.8564011,2.5969467,-2.4063501,-2.850382,1.5368546,0.3014183,0.95556885,2.1758904,2.1864405,0.25279155,1.1508598,-2.003527,-0.5836027,3.108336,-0.38631114,-3.1306865,-0.47625962,0.46186665,0.17326832,1.0702684,-0.54482824,-0.029867698,0
art_daily_jumpsup,2.812681,-1.9562045,0.7474346,0.6638179,-0.26397464,-1.8374251,-1.0098182,0.8904556,0.35414577,0.4709529,-2.9135544,2.576249,-1.9917829,-2.0692313,1.3115937,0.16040383,0.12516649,1.9973334,2.129631,0.68591696,0.36383116,-1.4005964,-1.8714069,2.9505565,-0.63935995,-2.5756772,-1.0450329,1.1564242,-0.60705304,0.5175126,-1.5556452,0.76187146,1
art_daily_nojump,2.015862,-1.716365,1.0651463,1.5531394,-0.6026961,-2.5708592,-1.0025923,0.9771926,0.51575005,-1.3151631,-1.7351112,2.4053733,-2.5069122,-2.6090126,1.9510493,0.329772,1.4415638,2.049587,1.5910431,0.42439434,1.1534262,-1.761212,-0.4218308,3.1987884,-0.49289104,-3.1799822,-0.42314368,0.39310613,0.6147617,1.3313599,-0.7240475,0.27337822,0
art_increase_spike_density,-0.0069793426,-2.064463,2.9096298,3.6784003,-3.1343715,-0.6896949,-2.0983112,2.1766517,2.7331944,-5.6047072,-0.19446193,1.7989705,-3.4546494,-3.1584876,6.0272493,0.12726524,3.1475456,1.7555465,0.6664445,0.2284294,3.8931508,-0.2906613,0.9092093,4.2144837,-3.3086479,-6.5140414,-1.10167,-1.4187326,2.7586215,1.7000589,-3.8370287,3.5508533,4
art_load_balancer_spikes,0.4904631,-1.1764221,0.5922191,-0.5530183,-0.37122017,-0.85057455,-0.5967427,1.2823839,0.42923445,0.5917548,-1.0476652,0.3353178,-1.8512396,-0.97723883,1.1817482,0.38059193,-0.422574,0.21590987,0.6177791,0.8032551,-0.11183877,-0.5479884,0.11962601,1.1604384,-0.8359361,-1.1190244,-1.1360276,0.34856814,0.12296731,-0.41515636,-1.0408423,1.4335065,1
cpu_utilization_asg_misconfiguration,0.026177954,-0.84702563,1.3055092,2.0057285,-2.6837816,0.18467988,-2.9969096,3.416387,3.0257797,-4.046602,-2.268919,2.2910492,-4.965304,-2.9510875,3.917479,-0.34380388,3.2824078,-0.914884,-2.2128692,0.14574853,5.3161874,-0.37986133,1.980965,2.8361773,-5.4146137,-6.5876527,-3.5314703,-1.2016194,1.8686016,1.0235922,-5.1918306,3.9336596,4
ec2_cpu_utilization_53ea38,-2.1802542,-5.1727257,6.2130456,2.882923,-11.11229,-3.2735848,-4.968931,7.079469,4.086552,-7.808892,6.194976,2.418215,-9.1723175,-6.1728454,9.526895,-2.7427306,4.539432,7.6149135,6.822459,7.6679864,0.22864792,2.3970623,2.0089839,9.054777,-6.455267,-9.33157,2.2015734,-2.026396,-0.8756838,-1.859241,-8.705502,5.1457524,2
ec2_cpu_utilization_5f5533,0.5769976,-3.077596,7.525172,-6.3671875,-12.563193,-3.6123562,-8.308922,3.9958508,-2.9699936,-0.4589914,0.8214889,1.2796502,-9.343176,-2.3483253,9.168244,0.11322485,-2.1694407,4.262838,4.563419,12.301971,4.343567,-3.3572192,5.929978,10.811874,-4.819832,-4.687215,-2.363289,-3.4295576,7.0670457,4.9539757,-2.9523172,8.909821,4
