Dataset,AE_1,AE_2,AE_3,AE_4,target
IOPS_102,-0.39781687,-0.8480419,1.974091,0.65380394,4
IOPS_103,1.9928705,-0.41943294,-0.14961587,-0.909039,4
IOPS_104,1.859107,-0.59830713,0.2831674,-0.72567,2
IOPS_11,-0.54858893,-0.76223063,2.0179307,0.581854,4
IOPS_116,0.841264,-0.50143117,0.6366779,-0.15374108,4
IOPS_118,1.5812651,-0.6237196,0.642387,-0.58868676,0
IOPS_121,1.9736986,-0.42299822,-0.1147515,-0.9011664,4
IOPS_127,0.99172217,-0.055378433,0.20899284,-0.6844925,4
IOPS_128,-0.23119472,-0.60818464,1.3526379,0.7385161,0
IOPS_186,2.1400492,-0.4436473,-0.43212327,-1.0138825,4
IOPS_19,1.3965435,-0.6650756,0.84790474,-0.44391719,0
IOPS_192,2.1390777,-0.33587694,-0.6034075,-1.1068736,4
IOPS_194,-0.078580275,-0.17251714,0.023317408,0.54516643,4
IOPS_199,1.929011,-0.75017655,0.39358822,-0.67216104,4
IOPS_218,0.6707996,-0.66562635,1.0476257,0.022979895,0
IOPS_225,-0.47984213,-0.7432522,2.1419153,0.52905697,0
IOPS_236,-0.5168176,-0.8182062,1.9811081,0.74727094,4
IOPS_24,0.043689374,-0.7922026,1.9530748,0.16467223,0
IOPS_241,-1.0064425,-0.2492884,-0.7234705,1.9560536,2
IOPS_242,-0.4352345,0.7851464,-0.9202267,-1.1288025,4
IOPS_243,-0.95130956,-1.046905,-0.72939885,2.5290287,2
IOPS_246,-0.92449117,-1.1650317,-0.6532403,2.5574245,2
IOPS_255,-0.38403568,-0.011724339,0.053231608,0.53801847,4
IOPS_256,-0.36039424,-0.2484303,0.38936102,0.8693804,4
IOPS_261,1.9701833,-0.5036488,0.01037893,-0.83748174,0
IOPS_264,1.4759895,-0.606397,0.6211545,-0.45392543,0
IOPS_267,-0.3043236,-0.80336434,2.006685,0.48346913,0
IOPS_269,1.5528682,-0.4925716,0.46485513,-0.5942796,0
IOPS_275,2.026838,-0.49542552,-0.09940739,-0.8982483,4
IOPS_285,-0.13466758,-0.8468329,1.8036782,0.5223751,0
IOPS_3,-0.634272,-0.72365904,2.115315,0.5203942,4
IOPS_319,0.862203,-0.8997665,1.5755211,-0.23474756,0
IOPS_327,-0.36013973,-0.10893513,0.11716332,0.68342644,2
IOPS_328,-0.97475964,-1.2620475,-0.61144805,2.4641373,2
IOPS_329,-1.0093838,0.39446473,-0.64123935,0.46210024,3
IOPS_330,0.9518883,0.52419466,-0.68744236,-1.2431192,3
IOPS_331,0.5437016,0.074520424,0.13339658,-0.49581516,0
IOPS_333,-0.7384015,-0.93426764,1.249418,1.4287142,4
IOPS_334,0.31918326,-0.16350442,0.41283894,0.0016026497,0
IOPS_337,-0.72924453,0.16251218,-0.307038,0.6726212,3
IOPS_338,0.7070357,0.5393453,-0.66230685,-1.2084048,4
IOPS_342,-0.9149502,-0.4894108,-0.55252707,2.0052214,3
IOPS_344,0.42975608,-0.74823964,1.4601071,0.03768849,2
IOPS_353,1.9203682,-0.5825129,0.20140262,-0.74960303,0
IOPS_365,0.6902395,-0.48528403,0.8297136,-0.12052002,2
IOPS_381,1.0390881,-0.7187062,1.0784652,-0.25267437,0
IOPS_393,1.7536706,-0.42786774,0.18600498,-0.7149356,4
IOPS_394,2.0268664,-0.4241237,-0.20508204,-0.93162763,4
IOPS_396,1.9657363,-0.49932113,0.006269156,-0.8479861,4
IOPS_401,0.1875087,-0.75878584,1.6524367,0.17956905,2
IOPS_418,0.6427602,-0.3530029,0.82714635,-0.18927409,4
IOPS_427,1.2954975,-0.07974235,0.23044294,-0.81373775,2
IOPS_450,1.5379292,-0.3617202,0.31567857,-0.7014026,4
IOPS_459,-0.5602208,-0.83640647,1.6754423,1.0576497,0
IOPS_46,1.914481,-0.5872584,0.19780089,-0.7335993,0
IOPS_461,1.8533719,-0.31972107,-0.06929722,-0.9018768,4
IOPS_475,1.972382,-0.5899629,0.121353954,-0.8002998,4
IOPS_478,1.9238993,-0.57082254,0.17325225,-0.7736643,4
IOPS_52,1.9583875,-0.4539826,-0.027383938,-0.8683749,0
IOPS_59,1.5274214,-0.6344962,0.71150964,-0.48680246,0
IOPS_68,0.2479618,-0.79906553,1.5261818,0.21138097,2
IOPS_71,0.23383176,-0.72581196,1.3646402,0.24898167,2
IOPS_81,0.5916005,-0.6316974,1.0044394,0.018542731,2
IOPS_87,0.48024914,-0.46294126,0.52852595,0.17807223,2
IOPS_89,1.1420217,-0.54898673,0.6492113,-0.28336865,0
IOPS_94,0.6598914,-0.8082841,1.6404222,-0.23335092,0
IOPS_96,1.8432152,-0.6239182,0.33996612,-0.7045379,4
Yahoo_A1real_10_data,1.9073443,-0.661042,0.35273716,-0.72451216,4
Yahoo_A1real_11_data,-0.70777893,0.0007855019,-0.43541265,1.187789,2
Yahoo_A1real_12_data,-0.037711725,-0.2742448,0.12672585,0.75658536,4
Yahoo_A1real_13_data,-0.9194978,-0.48137718,-0.72425926,2.2433043,4
Yahoo_A1real_14_data,-0.43486196,0.103475034,-0.0046540075,0.1727551,0
Yahoo_A1real_15_data,-0.91718704,-0.53623885,-0.7267104,2.2861316,4
Yahoo_A1real_16_data,-1.0753458,0.6023717,-0.73393685,0.041778963,4
Yahoo_A1real_17_data,-0.4931167,-0.27364978,0.8864198,0.80903524,4
Yahoo_A1real_18_data,-0.88886917,-0.8874951,-0.6027559,2.3879616,4
Yahoo_A1real_19_data,0.0052298796,0.13964052,0.31543824,-0.30924633,4
Yahoo_A1real_1_data,1.1979843,-0.61959,0.84816897,-0.41377813,4
Yahoo_A1real_20_data,0.032971967,0.21095558,0.011990507,-0.40464965,4
Yahoo_A1real_21_data,-0.8072014,-1.1042126,0.45063967,2.1148498,0
Yahoo_A1real_22_data,-0.23688552,0.5601092,-0.47263795,-0.78979087,2
Yahoo_A1real_23_data,0.3501092,-0.7041838,1.1841385,0.33333224,4
Yahoo_A1real_24_data,-0.88615984,-0.9377646,-0.50707513,2.3722897,0
Yahoo_A1real_25_data,-0.91434705,-1.1713824,-0.762348,2.6110837,2
Yahoo_A1real_26_data,-0.2883094,-0.036331944,-0.108226255,0.5822319,2
Yahoo_A1real_27_data,-0.8620045,-0.9603893,-0.46410868,2.4547641,4
Yahoo_A1real_28_data,-0.006909735,0.092904516,0.027395347,-0.04933002,2
Yahoo_A1real_29_data,-0.5281477,0.06193585,-0.070556685,0.8030984,0
Yahoo_A1real_2_data,-0.9233989,-0.9953693,-0.7071998,2.473956,4
Yahoo_A1real_30_data,-0.97778314,-0.063363574,-0.73211473,1.850324,2
Yahoo_A1real_31_data,-0.9075087,-1.1745094,-0.5203627,2.4934978,2
Yahoo_A1real_32_data,-0.2529939,0.623839,-0.62324226,-0.91034335,4
Yahoo_A1real_33_data,-0.037711725,-0.2742448,0.12672585,0.75658536,4
Yahoo_A1real_34_data,-0.4092625,0.64559186,-0.7070516,-0.7731413,4
Yahoo_A1real_35_data,-0.8235667,-0.90315,-0.40540022,2.419694,0
Yahoo_A1real_36_data,-0.021611549,0.607801,-0.69763374,-1.0162324,4
Yahoo_A1real_37_data,-0.056945007,-0.62172633,1.4810529,0.41265967,4
Yahoo_A1real_38_data,0.32435578,-0.29369497,0.8899931,0.097302,4
Yahoo_A1real_39_data,1.5032276,-0.03800746,-0.022971276,-0.87821454,4
Yahoo_A1real_3_data,-0.89824367,-1.0418153,-0.7582036,2.6245415,4
Yahoo_A1real_40_data,-0.49137115,0.6721782,-0.7803935,-0.75591654,2
Yahoo_A1real_41_data,-0.52149546,-0.037469395,0.0995514,0.8605816,0
Yahoo_A1real_42_data,-0.7745938,-0.597686,0.044766907,1.7944436,2
Yahoo_A1real_43_data,1.6763566,-0.038629837,-0.114111274,-1.0322914,4
Yahoo_A1real_44_data,-0.16583432,0.56541836,-0.56996846,-0.7442359,2
Yahoo_A1real_45_data,0.4160453,-0.8745587,1.3347657,0.29102847,1
Yahoo_A1real_46_data,-0.8622976,-1.2383876,0.041093525,2.3846033,2
Yahoo_A1real_47_data,-0.8604254,-0.36552253,-0.44772586,1.9131466,4
Yahoo_A1real_48_data,-0.789133,0.554211,0.060770053,-0.20552412,2
Yahoo_A1real_49_data,-0.88886917,-0.8874951,-0.6027559,2.3879616,4
Yahoo_A1real_4_data,-0.87987536,-0.32887375,-0.36199895,1.8532351,4
Yahoo_A1real_50_data,-0.9585651,-0.1693649,-0.74800414,1.8512695,0
Yahoo_A1real_51_data,-0.6861797,-0.5451951,-0.083619915,1.9708412,0
