Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,target
IOPS_102,0.29257035,-0.5153734,-0.66001016,-0.824629,-0.013557323,-0.5468134,-0.44755927,-0.61196566,-0.25395244,0.44346672,0.5025708,0.37121528,-0.67322725,0.4609524,0.31570655,-0.33022788,4
IOPS_103,-0.49212644,-0.026015326,-0.7574404,0.8736755,-0.5454843,0.5605018,-0.122277305,-0.3413895,0.3565181,-0.36855665,-0.5996741,-0.2848874,-0.52999204,-0.15147062,-0.83584094,-0.2118332,4
IOPS_11,0.25860107,-0.52580494,-0.6369458,-0.8643968,-0.06339764,-0.61803293,-0.36443016,-0.6722396,-0.22816585,0.35538435,0.49651837,0.3664936,-0.6170462,0.4679681,0.29157534,-0.29857734,4
IOPS_116,-0.3176045,-0.07143817,-0.5545423,-0.38410452,-0.19973283,0.27848577,-0.48213956,0.172676,0.25569558,-0.040734872,-0.099230856,-0.017392343,-0.8237044,0.23465922,-0.70443684,-0.5611016,4
IOPS_118,-0.50795627,-0.19952412,-0.7024962,0.30057707,-0.32226273,0.36785758,-0.2789142,0.13186397,0.34658024,-0.14806217,-0.48088363,0.08603183,-0.742911,0.26646978,-0.9142998,-0.40807214,0
IOPS_121,-0.5054523,-0.03340756,-0.7542376,0.84100544,-0.5404963,0.5560568,-0.12211316,-0.32164434,0.35152748,-0.36839798,-0.60401374,-0.2689867,-0.5374953,-0.13246222,-0.85179156,-0.22111817,4
IOPS_127,-0.47094455,0.18952475,-0.46772283,-0.11072046,-0.42592916,0.54610485,-0.32061747,-0.06323586,0.42033434,-0.17663026,-0.30345815,-0.16180423,-0.7739714,0.010283529,-0.92910355,-0.41789404,4
IOPS_128,0.038179327,-0.4365159,-0.5288501,-0.7421375,-0.09588959,-0.3530977,-0.36763203,-0.29609835,-0.32296208,0.32460725,0.3166764,0.14380655,-0.53915936,0.23448384,0.29456493,-0.3607144,0
IOPS_19,-0.4547161,-0.25576106,-0.6874529,0.09801683,-0.25385958,0.25130954,-0.32274806,0.18026643,0.31091657,-0.087969124,-0.40416715,0.17902926,-0.77627164,0.3464257,-0.85818565,-0.43133935,0
IOPS_192,-0.3398816,-0.025932495,-0.774,1.0041935,-0.6660026,0.42819718,0.009821748,-0.7950166,0.3377937,-0.51713586,-0.5439088,-0.47185358,-0.3595257,-0.39645663,-0.6422432,0.056119606,4
IOPS_199,-0.562316,-0.22582965,-0.78853726,0.6719455,-0.36429814,0.42031762,-0.23791534,0.10596424,0.30077264,-0.22323428,-0.6262182,-0.008089516,-0.6498845,0.18562168,-0.9135313,-0.41101506,4
IOPS_218,-0.21070826,-0.25610942,-0.6066156,-0.48917496,-0.13600472,0.06122328,-0.44804406,0.13166578,0.18238743,0.075910166,0.009633207,0.17756869,-0.84410095,0.38678807,-0.55359834,-0.4973819,0
IOPS_24,0.115509264,-0.5059643,-0.6362897,-0.70404446,-0.069448404,-0.4127581,-0.37979528,-0.35263768,0.04897209,0.31512338,0.27579185,0.53884006,-0.83939004,0.60481834,-0.16547787,-0.29511622,0
IOPS_243,-0.6740665,-0.62728995,-0.38481808,-0.14360903,-0.010254447,-0.6295431,0.833321,-0.09408588,-0.511843,-0.25398496,-0.5017334,-0.46888524,1.8259578,-0.24597956,0.8864924,-0.31633306,2
IOPS_246,-0.65667397,-0.67926115,-0.50965345,-0.10838024,-0.03233477,-0.60747385,0.9117694,-0.28903675,-0.49149927,-0.1810105,-0.47183326,-0.44238055,1.851382,-0.2223212,0.9492722,-0.26906607,2
IOPS_255,-0.26578745,0.101081654,-0.08507969,-0.8286235,-0.18426053,0.07365036,-0.6245078,0.17174998,-0.2760117,-0.07234648,0.23452117,-0.431082,-0.38519126,-0.1308668,-0.04608578,-0.67094666,4
IOPS_256,-0.16121235,-0.12066845,-0.23546237,-0.82346517,-0.08722879,-0.10778554,-0.56010854,0.13789025,-0.38915473,0.04900244,0.263213,-0.32800415,-0.3059294,-0.037392274,0.1895188,-0.63344353,4
IOPS_264,-0.47878975,-0.16589737,-0.70116985,0.13373716,-0.27594033,0.37639964,-0.3423308,0.19368024,0.3364846,-0.13375738,-0.41979605,0.047683567,-0.7651482,0.2631926,-0.8977262,-0.4793083,0
