Dataset,AE_1,AE_2,AE_3,AE_4,target
IOPS_102,-0.39781687,-0.8480419,1.974091,0.65380394,4
IOPS_103,1.9928705,-0.41943294,-0.14961587,-0.909039,4
IOPS_11,-0.54858893,-0.76223063,2.0179307,0.581854,4
IOPS_116,0.841264,-0.50143117,0.6366779,-0.15374108,4
IOPS_118,1.5812651,-0.6237196,0.642387,-0.58868676,0
IOPS_121,1.9736986,-0.42299822,-0.1147515,-0.9011664,4
IOPS_127,0.99172217,-0.055378433,0.20899284,-0.6844925,4
IOPS_128,-0.23119472,-0.60818464,1.3526379,0.7385161,0
IOPS_19,1.3965435,-0.6650756,0.84790474,-0.44391719,0
IOPS_192,2.1390777,-0.33587694,-0.6034075,-1.1068736,4
IOPS_199,1.929011,-0.75017655,0.39358822,-0.67216104,4
IOPS_218,0.6707996,-0.66562635,1.0476257,0.022979895,0
IOPS_24,0.043689374,-0.7922026,1.9530748,0.16467223,0
IOPS_243,-0.95130956,-1.046905,-0.72939885,2.5290287,2
IOPS_246,-0.92449117,-1.1650317,-0.6532403,2.5574245,2
IOPS_255,-0.38403568,-0.011724339,0.053231608,0.53801847,4
IOPS_256,-0.36039424,-0.2484303,0.38936102,0.8693804,4
IOPS_264,1.4759895,-0.606397,0.6211545,-0.45392543,0
IOPS_269,1.5528682,-0.4925716,0.46485513,-0.5942796,0
IOPS_275,2.026838,-0.49542552,-0.09940739,-0.8982483,4
IOPS_327,-0.36013973,-0.10893513,0.11716332,0.68342644,2
IOPS_328,-0.97475964,-1.2620475,-0.61144805,2.4641373,2
IOPS_329,-1.0093838,0.39446473,-0.64123935,0.46210024,3
IOPS_331,0.5437016,0.074520424,0.13339658,-0.49581516,0
IOPS_333,-0.7384015,-0.93426764,1.249418,1.4287142,4
IOPS_337,-0.72924453,0.16251218,-0.307038,0.6726212,3
IOPS_338,0.7070357,0.5393453,-0.66230685,-1.2084048,4
IOPS_353,1.9203682,-0.5825129,0.20140262,-0.74960303,0
IOPS_365,0.6902395,-0.48528403,0.8297136,-0.12052002,2
IOPS_394,2.0268664,-0.4241237,-0.20508204,-0.93162763,4
IOPS_396,1.9657363,-0.49932113,0.006269156,-0.8479861,4
IOPS_401,0.1875087,-0.75878584,1.6524367,0.17956905,2
IOPS_418,0.6427602,-0.3530029,0.82714635,-0.18927409,4
IOPS_450,1.5379292,-0.3617202,0.31567857,-0.7014026,4
IOPS_459,-0.5602208,-0.83640647,1.6754423,1.0576497,0
IOPS_46,1.914481,-0.5872584,0.19780089,-0.7335993,0
IOPS_478,1.9238993,-0.57082254,0.17325225,-0.7736643,4
IOPS_52,1.9583875,-0.4539826,-0.027383938,-0.8683749,0
IOPS_59,1.5274214,-0.6344962,0.71150964,-0.48680246,0
IOPS_71,0.23383176,-0.72581196,1.3646402,0.24898167,2
IOPS_81,0.5916005,-0.6316974,1.0044394,0.018542731,2
IOPS_87,0.48024914,-0.46294126,0.52852595,0.17807223,2
IOPS_89,1.1420217,-0.54898673,0.6492113,-0.28336865,0
Twitter_volume_AMZN,0.9452245,-0.026963396,0.022845004,-0.50761014,0
Twitter_volume_CRM,0.2794714,-0.25553188,0.39292672,0.047360767,1
Twitter_volume_CVS,-0.7449623,-0.92769355,1.1889417,1.4925474,1
Twitter_volume_FB,-0.68164784,0.6287446,-0.723466,-0.57989585,1
Twitter_volume_GOOG,1.2565734,0.010374064,-0.040781952,-0.7959512,0
Twitter_volume_PFE,0.7231507,-0.32378304,0.8149864,-0.3424605,0
Twitter_volume_UPS,-0.8429678,-0.5062731,0.35160324,1.4946033,1
Yahoo_A1real_10_data,1.9073443,-0.661042,0.35273716,-0.72451216,4
Yahoo_A1real_11_data,-0.70777893,0.0007855019,-0.43541265,1.187789,2
Yahoo_A1real_12_data,-0.037711725,-0.2742448,0.12672585,0.75658536,4
Yahoo_A1real_13_data,-0.9194978,-0.48137718,-0.72425926,2.2433043,4
Yahoo_A1real_14_data,-0.43486196,0.103475034,-0.0046540075,0.1727551,0
Yahoo_A1real_15_data,-0.91718704,-0.53623885,-0.7267104,2.2861316,4
Yahoo_A1real_16_data,-1.0753458,0.6023717,-0.73393685,0.041778963,4
Yahoo_A1real_17_data,-0.4931167,-0.27364978,0.8864198,0.80903524,4
Yahoo_A1real_18_data,-0.88886917,-0.8874951,-0.6027559,2.3879616,4
Yahoo_A1real_19_data,0.0052298796,0.13964052,0.31543824,-0.30924633,4
Yahoo_A1real_1_data,1.1979843,-0.61959,0.84816897,-0.41377813,4
Yahoo_A1real_21_data,-0.8072014,-1.1042126,0.45063967,2.1148498,0
Yahoo_A1real_22_data,-0.23688552,0.5601092,-0.47263795,-0.78979087,2
Yahoo_A1real_24_data,-0.88615984,-0.9377646,-0.50707513,2.3722897,0
Yahoo_A1real_25_data,-0.91434705,-1.1713824,-0.762348,2.6110837,2
Yahoo_A1real_27_data,-0.8620045,-0.9603893,-0.46410868,2.4547641,4
Yahoo_A1real_29_data,-0.5281477,0.06193585,-0.070556685,0.8030984,0
Yahoo_A1real_31_data,-0.9075087,-1.1745094,-0.5203627,2.4934978,2
Yahoo_A1real_32_data,-0.2529939,0.623839,-0.62324226,-0.91034335,4
Yahoo_A1real_33_data,-0.037711725,-0.2742448,0.12672585,0.75658536,4
Yahoo_A1real_34_data,-0.4092625,0.64559186,-0.7070516,-0.7731413,4
Yahoo_A1real_35_data,-0.8235667,-0.90315,-0.40540022,2.419694,0
Yahoo_A1real_36_data,-0.021611549,0.607801,-0.69763374,-1.0162324,4
Yahoo_A1real_37_data,-0.056945007,-0.62172633,1.4810529,0.41265967,4
Yahoo_A1real_38_data,0.32435578,-0.29369497,0.8899931,0.097302,4
Yahoo_A1real_39_data,1.5032276,-0.03800746,-0.022971276,-0.87821454,4
Yahoo_A1real_42_data,-0.7745938,-0.597686,0.044766907,1.7944436,2
Yahoo_A1real_44_data,-0.16583432,0.56541836,-0.56996846,-0.7442359,2
Yahoo_A1real_45_data,0.4160453,-0.8745587,1.3347657,0.29102847,1
Yahoo_A1real_48_data,-0.789133,0.554211,0.060770053,-0.20552412,2
Yahoo_A1real_49_data,-0.88886917,-0.8874951,-0.6027559,2.3879616,4
Yahoo_A1real_51_data,-0.6861797,-0.5451951,-0.083619915,1.9708412,0
Yahoo_A1real_52_data,0.3608324,-0.4537585,0.76381195,0.25256905,4
Yahoo_A1real_54_data,-0.87058604,-0.21277615,-0.5466677,1.7628841,2
Yahoo_A1real_56_data,0.65189016,0.23419908,-0.2820875,-0.724363,4
Yahoo_A1real_57_data,-0.088309765,0.43729022,-0.37850463,-0.76305693,4
Yahoo_A1real_58_data,-0.90652883,-1.1182572,-0.66064197,2.5269935,4
Yahoo_A1real_59_data,-0.76061094,-1.0558988,1.6729585,1.4818487,0
Yahoo_A1real_5_data,1.8061454,0.15436043,-0.61306375,-1.2523854,4
Yahoo_A1real_60_data,-0.9083656,0.21430832,-0.51340497,1.0915693,4
Yahoo_A1real_64_data,-0.722314,0.60180116,-0.73045886,-0.27812195,0
Yahoo_A1real_65_data,0.44235355,0.33011332,-0.26683918,-0.8546045,4
Yahoo_A1real_66_data,-0.8906788,-0.4711491,-0.43116087,1.8613814,2
Yahoo_A1real_67_data,-0.88697773,-1.098799,-0.715864,2.6482685,2
Yahoo_A1real_6_data,-0.88834,-0.34890482,-0.6414854,2.1010633,4
Yahoo_A1real_7_data,-0.8907742,-1.0590473,-0.19099747,2.2301185,4
Yahoo_A1real_8_data,-0.80310464,-0.07931863,0.03774335,1.2443408,0
Yahoo_A1real_9_data,1.8898712,0.09048009,-0.622594,-1.2458594,4
ambient_temperature_system_failure,0.19416425,-0.27501264,0.71918243,0.19268475,0
art_daily_jumpsdown,0.056477543,-0.053415325,0.92346144,-0.1951443,0
art_daily_jumpsup,-0.7535101,-0.7601249,1.5210232,0.9208582,1
art_increase_spike_density,2.1476197,-0.3529789,-0.5634031,-1.1051567,4
ec2_cpu_utilization_24ae8d,1.6623204,0.073645316,-0.3653077,-1.0761389,0
ec2_cpu_utilization_53ea38,2.1528273,-0.31463507,-0.65238386,-1.1524583,2
ec2_cpu_utilization_77c1ca,-0.76571006,-0.7405472,1.5233918,0.9266092,1
ec2_cpu_utilization_825cc2,2.0982957,-0.31926298,-0.49992537,-1.0947652,4
ec2_cpu_utilization_ac20cd,-0.7587966,-0.9616218,1.8286673,1.2750452,1
ec2_cpu_utilization_fe7f93,0.15682769,0.19707969,0.3431281,-0.61500907,2
ec2_disk_write_bytes_c0d644,-0.8292146,-0.86474854,0.99396944,1.4025621,0
