Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,target
IOPS_102,0.19736844,-0.531065,0.90779954,-0.80256325,0.60173523,-0.4743688,-1.0700016,0.12721628,4
IOPS_103,0.25431672,0.3686545,-0.49175614,-0.63560456,-0.57048243,-0.74445486,0.65173346,-0.4518918,4
IOPS_11,0.25905812,-0.571306,0.97397757,-0.7528086,0.55281705,-0.4158944,-1.0943176,0.057454467,4
IOPS_116,0.081120685,0.0040064147,-0.08458254,-0.5183365,-0.18884821,-1.087415,-0.055865064,0.3057686,4
IOPS_118,0.39328694,0.03658269,-0.12097114,-0.6516108,-0.28157377,-1.0568674,0.4102973,0.013750968,0
IOPS_121,0.266518,0.3482543,-0.46990988,-0.6333468,-0.5596509,-0.7541217,0.64593256,-0.43791735,4
IOPS_127,0.013096875,0.17499311,-0.43948534,-0.28582102,-0.36728936,-1.0959475,0.39223582,0.08477477,4
IOPS_128,0.10444623,-0.2642747,0.5592484,-0.63569593,0.3506152,-0.42180896,-0.95816725,0.06970832,0
IOPS_19,0.4256779,-0.06240054,-0.00741214,-0.67729276,-0.2101225,-1.0946656,0.23253459,0.13694717,0
IOPS_192,0.14481045,0.5003578,-0.70713323,-0.6424689,-0.7575206,-0.5004727,0.65650254,-0.6907729,4
IOPS_199,0.4515239,0.12518993,-0.1754545,-0.74154407,-0.37078792,-0.9411711,0.53099686,-0.19247304,4
IOPS_218,0.23510562,-0.16748357,0.18508393,-0.6626139,-0.028971434,-1.0222301,-0.34368244,0.34652176,0
IOPS_24,0.43430933,-0.5559498,0.74318004,-0.7900377,0.38024956,-0.77446043,-0.8188594,0.29073837,0
IOPS_243,-0.41075063,-0.5208394,-0.28985804,-0.6317563,-0.36343688,2.0535538,-0.9030118,-0.5507286,2
IOPS_246,-0.37056604,-0.5464579,-0.2401079,-0.7863183,-0.33074296,2.1046212,-0.9409171,-0.588172,2
IOPS_255,-0.48033416,0.09391563,-0.19782512,-0.07014944,-0.17399243,-0.54056305,-0.7195241,0.24351327,4
IOPS_256,-0.34461594,0.03017739,0.049562223,-0.23334208,0.010256025,-0.356158,-0.84724885,0.12327673,4
IOPS_264,0.32307133,0.047245514,-0.11526043,-0.6463533,-0.26861548,-1.1007053,0.32856667,0.094743855,0
IOPS_269,0.30890137,0.10425878,-0.20932876,-0.5988392,-0.3362388,-1.0418254,0.42527208,-0.008362929,0
IOPS_275,0.3058482,0.33379042,-0.44422245,-0.67541414,-0.55637455,-0.7383507,0.6419885,-0.44914994,4
IOPS_327,-0.4504262,0.09042791,-0.120148554,-0.14085196,-0.141544,-0.50843024,-0.76475894,0.22010534,2
IOPS_328,-0.55733514,-0.30839756,0.025767377,-0.4153953,-0.27835166,1.9186511,-0.9411976,-0.69840217,2
IOPS_329,-0.78711736,-0.10226033,-0.503579,0.48015594,-0.5421981,-0.18125871,-0.74736416,0.22458264,3
IOPS_331,-0.12571447,0.12582166,-0.42677668,-0.090073094,-0.47930482,-1.0853838,0.16292971,0.20313926,0
IOPS_333,-0.14598909,-0.3892381,0.7741097,-0.6652709,0.46758446,0.21535452,-1.2020941,-0.17479953,4
IOPS_337,-0.6624623,0.050468102,-0.31778073,0.22807203,-0.34712377,-0.2992568,-0.7693197,0.19030823,3
IOPS_338,-0.46804667,0.29852608,-0.9000109,0.32731065,-0.6921093,-0.9776417,0.65728486,-0.19294362,4
IOPS_353,0.38431525,0.2121176,-0.28688866,-0.706069,-0.43521672,-0.88256127,0.57021993,-0.27355167,0
IOPS_365,0.164102,-0.07986305,0.017222531,-0.5599722,-0.12483969,-1.0571016,-0.1767917,0.32909033,2
IOPS_394,0.25641692,0.3840777,-0.5128273,-0.6507534,-0.58764416,-0.7105345,0.6586437,-0.484131,4
IOPS_396,0.31959915,0.3017677,-0.40690625,-0.6662186,-0.51375407,-0.79895234,0.6273065,-0.38182086,4
IOPS_401,0.32318354,-0.43921703,0.5853582,-0.7439304,0.26432315,-0.8289452,-0.719949,0.32872677,2
IOPS_418,0.22615284,-0.076130174,-0.006757953,-0.5249162,-0.16391237,-1.0528541,-0.1709487,0.3100121,4
IOPS_450,0.24527118,0.18362635,-0.33118698,-0.51621455,-0.37858555,-1.0113884,0.5043505,-0.08864435,4
IOPS_459,-0.0012525194,-0.42871377,0.8270057,-0.7780807,0.6212295,-0.15561138,-1.1633731,-0.024599398,0
IOPS_46,0.35405132,0.22716267,-0.29862824,-0.6811834,-0.42937687,-0.90182203,0.578519,-0.2548045,0
IOPS_478,0.3665294,0.22991413,-0.31593314,-0.6843981,-0.44777837,-0.8699901,0.5891261,-0.29698512,4
IOPS_52,0.30223984,0.32021004,-0.42619732,-0.6550901,-0.5238014,-0.79288214,0.6324149,-0.39092624,0
IOPS_59,0.4049048,-0.0019635404,-0.06620063,-0.6783728,-0.2592818,-1.0821376,0.30970684,0.07042951,0
IOPS_71,0.17965047,-0.29832494,0.44179228,-0.68817574,0.19637984,-0.83782625,-0.68343806,0.34646785,2
IOPS_81,0.14083003,-0.15211836,0.15916231,-0.6177676,-0.017332586,-1.0148966,-0.35950932,0.37888718,2
IOPS_87,-0.12031344,0.04380887,-0.05780655,-0.49900565,-0.12601598,-0.987364,-0.36105058,0.36516175,2
IOPS_89,0.20003514,0.029061686,-0.09134376,-0.5998594,-0.21568836,-1.1219716,0.13427815,0.22974299,0
Twitter_volume_AMZN,-0.122118786,0.2870661,-0.48470208,-0.2669169,-0.4280622,-1.1278383,0.3494444,0.1332117,0
Twitter_volume_CRM,-0.20477833,0.058861397,-0.17109516,-0.30502012,-0.24022923,-0.9926535,-0.30029464,0.38143307,1
Twitter_volume_CVS,-0.22316654,-0.36648768,0.70227104,-0.6672594,0.4900669,0.31881154,-1.2034035,-0.19209127,1
Twitter_volume_FB,-0.79134846,-0.042201772,-0.8421398,0.5706545,-0.7164691,-0.86874145,-0.16177094,0.40066025,1
Twitter_volume_GOOG,-0.030440686,0.3025964,-0.5525953,-0.23393683,-0.5041921,-1.0323374,0.5602656,-0.111525975,0
Twitter_volume_PFE,0.19895016,-0.07977716,-0.039657407,-0.43339205,-0.24554235,-1.0907006,-0.045754705,0.2924653,0
Twitter_volume_UPS,-0.13165773,-0.43111938,0.15307778,-0.29350197,-0.10895725,0.8445746,-0.9449591,-0.3048702,1
