Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,target
ambient_temperature_system_failure,-1.6867074,-1.2329438,1.5400773,0.045454428,-2.6642845,-0.056931853,-1.206794,0.41282314,-1.3605965,-0.910801,-0.2822919,-0.024694845,-1.1804156,-1.1229246,0.8171269,0.17244501,0
art_daily_flatmiddle,1.8881348,-1.8590664,-0.5925585,4.243755,-4.281485,1.3648622,0.2362138,0.14697964,2.306471,-1.9955984,-1.0907527,1.037097,-3.8141208,-1.0512758,-1.345506,1.4356356,1
art_daily_jumpsup,1.8298166,-1.3930272,-0.2150347,3.6613061,-2.983023,0.061799623,-0.06344554,-0.42225745,1.8940687,-1.3910626,-2.0425246,0.38151088,-3.5595973,-1.6248593,-1.0181599,0.6074807,1
art_daily_nojump,1.2679944,-0.69422466,-0.94931924,3.0225716,-2.9782197,1.689055,-0.022550121,-0.28910208,1.8391488,-1.530672,-0.5419078,1.5535889,-2.4735553,-0.67602104,-0.853599,1.4503642,0
art_increase_spike_density,0.073021434,0.5917781,1.8563676,5.01171,-7.3444,7.2136064,-1.44284,-0.5436914,0.35530868,-2.3512635,1.6502658,-0.89956856,-0.6938289,-0.300991,0.15445442,1.7194428,4
art_load_balancer_spikes,0.26708117,-0.41076702,0.15675904,1.141302,-2.197923,0.795178,0.89915013,0.63050264,0.12155921,-1.1609747,-0.0349569,0.1791536,-1.4833038,-1.1352016,-0.2593016,-0.17979446,1
cpu_utilization_asg_misconfiguration,-1.8638996,2.9029546,2.99751,4.8624697,-8.007026,7.981615,1.2758186,1.6243296,-2.6414592,-2.4543762,0.17525661,-2.1368423,-1.9671487,-3.809055,-0.13842145,0.99911773,4
ec2_cpu_utilization_53ea38,1.5279634,-2.2404456,2.4614396,9.07312,-9.607404,9.456595,1.211318,7.4804316,7.1883044,-4.076841,4.6246076,-1.6980972,3.2516248,8.30399,4.990831,-3.3990383,2
ec2_cpu_utilization_24ae8d,0.43305784,0.47467124,1.388656,1.7496592,-3.8957236,2.0528445,-0.6020913,-0.027685495,-0.07329624,-1.4713221,1.0269225,-0.62062085,-1.2890139,-1.1320696,0.3185094,0.08505587,0
ec2_cpu_utilization_77c1ca,0.14144267,-1.3550879,0.20478758,1.9244893,-1.8476408,-0.14310354,0.60369563,0.33971927,0.50544584,-1.0743045,-0.7687162,1.2286446,-1.8347224,-0.27353448,0.1439977,0.18306573,1
ec2_cpu_utilization_ac20cd,1.8013288,-0.2419514,-0.62305635,1.182046,-0.009216702,-1.4425628,-0.22719051,0.67765844,1.1526049,-1.0028275,-2.4837875,0.36381823,-1.4883797,-1.0259224,-0.05896905,-0.05944512,1
ec2_cpu_utilization_fe7f93,0.07400114,-0.47912896,0.41974518,2.0450788,-2.8709657,1.181392,0.54190385,-0.015817173,0.3404932,-1.3265618,0.021148134,0.3056056,-1.656353,-1.3580511,0.2221456,-0.17702754,2
ec2_network_in_257a54,1.4650749,1.0723422,0.5980233,0.9403999,-1.300419,-1.8363065,-0.7177421,3.0736458,-1.1178131,-0.12282756,-0.20409143,1.9523739,-2.2703342,-0.15380788,-1.3161252,0.9719597,1
elb_request_count_8c0756,-0.36574936,0.50159454,1.948401,2.8547168,-4.3732347,2.8105438,-1.4176273,-0.4565967,0.17638764,-1.4069879,1.1811764,-0.7129643,-0.8436462,-0.6733597,0.6929328,0.64797753,0
exchange-2_cpc_results,1.407578,-0.5272188,0.8416099,4.5638294,-7.611732,4.712153,-2.4258933,-1.1875119,1.7374728,-2.9251955,1.744857,0.21097589,-2.404433,-1.1555338,-0.06642711,2.3283935,4
exchange-2_cpm_results,1.536575,-0.46836585,0.8367467,4.766441,-7.8037066,4.9707804,-2.6916702,-1.1305817,1.9102907,-3.0917275,1.8402221,0.25600746,-2.4181342,-0.9919737,-0.23437823,2.6080825,0
exchange-3_cpc_results,1.5672789,-1.9439698,0.11753635,1.6115016,-2.462415,-1.4785362,-0.9799542,0.33453873,1.5173109,-2.0789597,-1.4377295,0.35708404,-2.4733531,-0.36929283,-0.13683343,0.67600214,4
exchange-4_cpc_results,2.3916357,-0.52583677,0.18217,2.5802555,-4.225963,2.8094356,-1.7531509,-0.12563008,1.8442838,-2.4706748,0.96431637,-0.9245011,-1.9324152,-0.60498714,-0.76153815,1.2113864,4
grok_asg_anomaly,0.30010438,-0.24300127,0.2831376,1.1977617,-1.2915028,0.748635,0.95126647,0.54007417,-0.17227407,-0.71503675,-0.3400611,-0.34568584,-1.0257989,-0.44182613,-0.626288,-0.42198738,0
iio_us-east-1_i-a2eb1cd9_NetworkIn,1.8984225,-0.29273683,0.34210372,1.486929,-2.0533798,0.09481441,-0.9100391,0.6525171,0.77746034,-1.2611285,0.6217789,-0.2724055,-1.6067425,0.23335914,-0.5132241,0.0916852,4
occupancy_t4013,0.65559137,-1.664968,0.19981547,2.0905254,-2.3946433,-0.72652256,0.31991506,0.44047898,1.1010319,-1.8566064,-0.43237245,1.0633016,-1.925576,0.3773531,0.28504598,-0.24488777,1
rds_cpu_utilization_cc0c53,0.8414376,0.6300889,0.84459794,2.2124813,-4.3008795,2.8518965,-0.6228975,-0.23929441,0.15266933,-1.4725525,1.0938171,-0.7458405,-1.2632086,-1.1165631,-0.25014794,0.721372,0
rds_cpu_utilization_e47b3b,0.13210613,0.6676595,0.90465105,4.0131116,-5.995817,6.5011625,-1.0988424,-0.55485535,0.026673285,-1.9159814,0.8913357,-0.8296367,-0.53615427,-0.2963352,-0.56809664,2.0472028,2
rogue_agent_key_updown,-0.1724481,0.45486146,0.51725423,0.7449598,-1.025363,-0.03784269,0.071897626,0.9221773,-1.5924742,-0.66412795,-1.0107043,-1.1709138,-1.3064817,-0.28207868,-0.9987002,-0.3748651,0
speed_6005,0.376551,-2.3817852,1.0430808,2.2010093,-3.3896136,0.4061934,0.9473521,2.0252147,1.9278152,-1.9850023,1.3141832,0.6753066,-0.9101558,2.0475333,0.8721956,-1.0699447,0
speed_t4013,2.8605072,1.367224,2.0515745,2.1942742,-2.6505272,-0.23546776,-2.6231666,2.7939634,0.73976547,-3.5111828,-1.0588533,-3.888908,-2.0888517,-1.8163091,-1.2923301,0.5628135,1
TravelTime_387,0.24997932,-0.3747751,0.5284609,1.0620432,-1.1604304,0.14929184,-0.06927615,0.0957824,0.34079385,-0.8442684,0.3081231,0.13670298,-0.58604103,0.32796615,0.23496597,-0.39566964,0
Twitter_volume_AMZN,0.3015089,1.0676464,2.2324772,2.774564,-4.433769,1.4347577,2.202855,4.295755,-2.9873168,-1.2069687,-2.1549325,-3.1660986,-3.050681,-2.8607183,-1.5034171,-1.7503028,0
Twitter_volume_CRM,-0.18723802,0.45803112,2.0203109,2.3020465,-4.530898,1.0273975,1.905577,3.7860289,-3.0912213,-1.1763604,-2.032716,-2.5996714,-2.9073606,-3.449772,-0.9432825,-1.6580576,1
Twitter_volume_GOOG,-1.1359264,0.35972697,2.3690538,2.6115015,-5.537977,2.1366231,1.6375258,2.7957847,-2.3647573,-0.9931621,-1.0443267,-1.5302093,-2.5293033,-3.8340366,0.12593785,-1.0068368,0
Twitter_volume_IBM,-1.571753,0.7020829,2.2376058,2.0384836,-5.293755,1.7611036,1.5713928,3.463511,-2.8822277,-1.4332731,-1.4604349,-1.4563758,-2.6513286,-3.7030287,-0.02482421,-0.69257104,1
Twitter_volume_KO,-0.29183125,0.2630595,2.5417256,1.8318105,-5.1872673,0.48779967,0.9498976,3.7979496,-4.126569,-0.8891064,-2.3111312,-3.080444,-3.5129993,-3.793907,-0.9380622,-1.6798191,1
Twitter_volume_PFE,-0.14265992,0.4560958,2.3488638,3.1430032,-5.406018,1.3280071,2.5837722,4.0072618,-2.1731315,-0.8945456,-1.6024467,-2.0881243,-3.1428528,-3.7190263,-0.6476031,-1.997504,0
Yahoo_A1real_1_data,0.83467805,-1.3439057,0.59505916,2.2825243,-3.7874303,0.6241042,-0.8252086,0.18708073,0.802452,-1.9150234,0.48822904,0.16446742,-2.215341,-0.12066853,-0.1739673,0.63338614,4
Yahoo_A1real_2_data,4.156529,0.7733449,2.153743,0.32270592,-2.7256086,-1.9087154,-1.764475,2.1526332,-0.13580742,-1.8141154,0.38376528,-2.1072755,-2.72856,2.2842364,0.20479079,-2.6800025,4
Yahoo_A1real_3_data,3.3159096,3.3799713,6.8561287,1.411695,-5.607232,-2.5417967,-4.2252307,3.0648918,-2.0791507,-4.769228,-0.44225538,-4.694012,-2.64394,-0.21312988,1.5232471,-1.0032752,4
Yahoo_A1real_6_data,3.2731829,1.8613678,3.3066645,1.9375331,-3.5357087,-0.5875882,-3.2793076,2.7217114,0.34493107,-3.8707664,-0.35581312,-3.8653395,-2.2700863,-0.9282111,-0.29695642,0.07440124,4
Yahoo_A1real_7_data,2.5994637,-0.82225764,1.1534859,0.19882488,-1.8368313,-1.6438165,-1.9149493,1.221135,-0.19512644,-0.856535,-0.19635876,-1.4002666,-2.4308834,1.3730228,-0.6145741,-0.8952117,4
Yahoo_A1real_8_data,1.6739576,-0.98695666,-0.6989932,0.5636334,-1.4791107,-0.1665134,-0.53656346,0.31694174,1.6596385,-1.5242815,-0.5902282,0.73865235,-1.4799411,-0.026273038,0.068768606,0.6794077,0
