Dataset,AE_1,AE_2,AE_3,AE_4,target
ambient_temperature_system_failure,-0.14503507,-2.8044474,-2.5588741,3.406236,0
art_daily_flatmiddle,3.126492,-5.305333,-1.9194895,-2.8478835,1
art_daily_jumpsup,2.663029,-3.8808603,-1.4356354,-2.241883,1
art_daily_nojump,2.9904451,-5.219987,-0.9935024,-0.7203176,0
art_increase_spike_density,9.367212,-11.080861,-2.542243,5.5149813,4
art_load_balancer_spikes,-0.9068524,-0.40538064,-0.056002855,1.0027629,1
cpu_utilization_asg_misconfiguration,5.671408,-9.775561,-2.0406997,10.333662,4
ec2_cpu_utilization_53ea38,-13.906042,-24.313381,-2.5751455,-6.5392265,2
ec2_cpu_utilization_24ae8d,2.276461,-2.561537,1.5288417,0.89127374,0
ec2_cpu_utilization_77c1ca,0.32516822,-2.874755,-0.66362566,-0.009072308,1
ec2_cpu_utilization_ac20cd,-0.51928693,-0.0049216505,-0.94041497,0.24473912,1
ec2_cpu_utilization_fe7f93,-0.6753219,-2.0194194,-0.42750737,0.8172651,2
ec2_network_in_257a54,1.3127214,1.1035529,3.0813103,4.6356964,1
elb_request_count_8c0756,3.8583155,-6.033747,-0.33853492,2.3784907,0
exchange-2_cpc_results,9.361795,-9.66283,-0.7603498,0.7262837,4
exchange-2_cpm_results,10.166798,-10.350165,-1.155145,0.99132556,0
exchange-3_cpc_results,2.512282,-2.3589735,-1.930897,-2.7337806,4
exchange-4_cpc_results,6.2591753,-3.5147173,0.524486,-0.6517543,4
grok_asg_anomaly,-0.23559557,-0.60297596,-0.14498565,1.5865903,0
iio_us-east-1_i-a2eb1cd9_NetworkIn,2.8867645,0.36607495,0.23448364,-0.42873687,4
occupancy_t4013,0.6224819,-2.7470877,-0.6744272,-1.0139962,1
rds_cpu_utilization_cc0c53,4.008322,-3.5140212,1.2524748,1.7425524,0
rds_cpu_utilization_e47b3b,9.736852,-8.203502,-2.6109803,5.816285,2
rogue_agent_key_updown,0.49833998,0.35743532,-1.0676556,2.7656667,0
speed_6005,-1.5219607,-5.8812056,-2.1497614,-0.49789664,0
