Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,target
ambient_temperature_system_failure,3.3132102,-2.7467167,-1.495068,1.9854404,-0.5486935,1.3129832,1.5365524,-0.32356566,0
art_daily_flatmiddle,1.6730925,0.2756183,2.7332985,0.91413385,1.2792528,0.6439857,-3.3220577,0.40020236,1
art_daily_jumpsup,0.46265396,0.5012499,3.064743,0.68594265,2.0636256,-0.31023636,-2.0830746,-0.19004615,1
art_daily_nojump,2.1581218,-0.18843156,2.1693118,1.2273155,0.9330825,1.1722734,-2.2340178,0.5361777,0
art_increase_spike_density,10.95538,-1.7505214,-4.385672,3.5632393,-1.8996274,7.538227,-2.546852,0.9777876,4
art_load_balancer_spikes,0.5766594,0.38388613,0.8224457,1.2881457,0.6340585,0.7008978,1.0262834,-0.20013188,1
cpu_utilization_asg_misconfiguration,11.295407,-0.7603367,-4.861973,5.2171836,-0.010672152,7.9960723,4.1463013,2.818103,4
ec2_cpu_utilization_53ea38,11.14664,3.7342167,-2.090499,11.292771,0.25787133,13.359678,-7.9459586,3.0604036,2
ec2_cpu_utilization_24ae8d,2.917605,0.31628045,0.6044771,1.1880418,-0.26993665,2.324154,-0.07095357,-1.0682518,0
ec2_cpu_utilization_77c1ca,0.018211205,-0.24030456,1.1277986,1.5988165,2.338783,0.16807984,-0.5665361,0.28187534,1
ec2_cpu_utilization_ac20cd,-1.2227348,0.013890974,2.2238743,1.1751906,1.4309344,0.13816439,0.590572,0.87255466,1
ec2_cpu_utilization_fe7f93,1.6051648,-0.043844737,1.3982291,1.301173,1.1677506,0.95551944,0.47406864,-0.27418807,2
ec2_network_in_257a54,-0.80673164,0.7579853,0.3702389,4.461253,-0.8302782,0.04362155,-0.42907736,2.7115633,1
elb_request_count_8c0756,5.786534,-0.9101822,-1.4067892,2.1347218,-0.52240294,3.1269503,-0.6527098,-0.060212754,0
exchange-2_cpc_results,6.7791696,-1.04811,-0.02960371,1.6259191,-0.98804027,4.712656,-4.1478972,-0.16350372,4
exchange-2_cpm_results,7.1987767,-1.3351943,-0.27794027,1.6494476,-1.2749383,4.9051595,-4.379068,-0.086050235,0
exchange-3_cpc_results,-0.5498694,0.2812061,2.9439695,0.75920576,1.2658894,-0.99577963,-2.3349733,0.28925762,4
exchange-4_cpc_results,2.0284164,0.17299715,0.7181881,0.61897445,-1.0230334,1.0719935,-2.345748,-0.60981643,4
grok_asg_anomaly,0.5759209,0.23646548,-0.05057051,0.7843656,0.779307,0.40621564,0.66809285,0.5163034,0
iio_us-east-1_i-a2eb1cd9_NetworkIn,-0.23197752,-0.57477725,0.8816888,0.9175557,-0.85257345,-1.0885351,-1.5712527,0.072097816,4
occupancy_t4013,0.6330053,-0.20567766,1.7676878,1.1690671,1.7667484,0.27529293,-1.3052555,0.09823523,1
rds_cpu_utilization_cc0c53,3.3717637,0.25813416,-0.26754466,1.1636075,-0.5436272,2.9318724,-0.6049768,-0.6578857,0
rds_cpu_utilization_e47b3b,9.305913,-1.4367516,-4.5155478,2.988661,-2.4980013,7.0550766,-1.9869797,0.65657884,2
rogue_agent_key_updown,0.18645926,-0.6951644,-1.771704,1.4824185,-0.12858948,-0.15186974,0.85474986,0.40006313,0
speed_6005,2.5521061,0.030683361,0.61906016,2.8372564,2.0058978,1.8188078,-1.8223565,0.9350272,0
speed_t4013,-0.9114075,-2.9287028,1.8831402,-0.45000654,-3.1870615,-0.7136567,-0.082307,1.4496129,1
TravelTime_387,1.3459448,-0.3128115,-0.031621493,0.8914874,0.47784412,0.34725848,-0.42403924,-0.16746603,0
Twitter_volume_AMZN,2.7193263,-1.1840309,-3.4403596,5.503997,0.268292,-0.03431185,5.1445518,2.6880982,0
Twitter_volume_CRM,3.3203871,-2.018723,-3.0058734,5.718794,0.22316915,0.54344153,5.5072427,2.2181613,1
Twitter_volume_GOOG,5.187296,-2.1404037,-3.1691086,5.8288593,0.4890371,1.4653242,5.9734755,2.0091012,0
Twitter_volume_IBM,4.9911804,-2.3176103,-2.8013606,5.6347466,0.042263925,1.5916466,5.9360003,2.0868356,1
Twitter_volume_KO,3.2805164,-3.075795,-3.905962,6.6282387,-0.8616254,-0.19010179,5.681544,2.1691687,1
Twitter_volume_PFE,3.2919984,-1.0135746,-2.7277606,6.612426,0.95751655,0.044786837,5.713923,2.1773043,0
Yahoo_A1real_1_data,1.8617896,-0.17372105,1.1039332,0.8965071,0.359855,-0.07230152,-1.9089305,0.21216784,4
Yahoo_A1real_2_data,-4.39024,-2.5916572,0.2869628,2.1863356,-0.8961513,-2.6674237,-4.2364326,-0.82779235,4
Yahoo_A1real_3_data,-1.0531156,-6.158732,0.51220274,-2.663283,-4.013657,0.09053968,-4.2828493,0.5114238,4
Yahoo_A1real_6_data,-1.2119331,-4.0150924,1.6372948,-1.20941,-3.6206741,-0.9163071,-1.7010194,0.994465,4
Yahoo_A1real_7_data,-3.1238384,-1.3279454,0.591821,2.394137,-0.35716242,-2.0163238,-3.3301036,0.11481098,4
Yahoo_A1real_8_data,-0.5295551,0.5502079,1.9819568,-0.25259745,0.5025269,-0.59870625,-1.716911,0.33503452,0
Yahoo_A1real_10_data,8.104199,-2.1448143,4.1198697,2.1477625,0.61774117,2.004355,-1.6414969,-5.6127005,4
Yahoo_A1real_11_data,-1.237007,-1.2478026,1.495142,0.3551479,-1.042145,-1.1464956,-2.3091083,0.36481097,2
