Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,target
IOPS_102,-0.1909903,-0.3258589,0.046519972,-0.5401959,-0.21740468,-0.24234614,0.00077861996,0.17566755,0.21363853,-0.3339065,-0.6375068,-0.7474116,0.15889911,0.62793773,0.09033102,-0.49415985,-0.37732303,-0.5042977,-0.38577852,-0.5609648,-0.11409711,-0.28997126,0.0025824711,0.28479335,0.37593964,-0.5824542,-0.6774794,-0.0036268258,0.30657724,0.32620215,-0.2580666,-0.17352751,4
IOPS_103,-0.28362608,-0.62496465,-0.535474,-0.5857713,-0.62499094,-0.029256407,0.38972035,-0.37566936,-0.3091622,-0.2679316,0.6237655,-0.20964769,0.004797974,-0.07534246,-0.25249866,0.0072228634,-0.38207123,-0.34271616,0.3911633,0.113064244,-0.4230193,-0.28456956,-0.21173781,-0.82427424,-0.15310715,0.35720113,-0.29884744,-0.28234777,-0.5665879,0.14583863,-0.24316691,-0.30041793,4
IOPS_104,-0.21072716,-0.5556636,-0.65058947,-0.63569975,-0.6605069,-0.115444265,0.43134844,-0.14825058,-0.22599289,0.030904137,0.49414417,-0.09463353,-0.029639943,-0.003099958,-0.10112851,0.10539267,-0.39746395,-0.38611734,0.11011261,0.16776262,-0.42961147,-0.17138119,-0.39636958,-0.90131456,-0.095199786,0.15748784,-0.37460473,-0.28455168,-0.30140248,0.25257897,-0.058871515,-0.38378048,2
IOPS_11,-0.1529018,-0.32232442,0.02446395,-0.50438386,-0.16235036,-0.25235686,-0.015003022,0.08490921,0.15854058,-0.38623902,-0.7118477,-0.7275033,0.17636545,0.645274,0.1177501,-0.5232166,-0.35193995,-0.52221185,-0.43968916,-0.6746913,-0.07845882,-0.31406578,-0.0033497885,0.30974936,0.4023395,-0.6029768,-0.6260679,0.016160216,0.25558588,0.30116168,-0.21117063,-0.13487612,4
IOPS_116,-0.31885612,-0.44333673,-0.6167837,-0.5712559,-0.57870233,-0.205012,0.26643682,0.09884552,-0.11565734,0.1415547,-0.09472653,-0.06383633,-0.043316312,0.23517823,0.11949223,0.062725425,-0.42893857,-0.18256107,-0.27105483,-0.03259268,-0.3803303,-0.09313399,-0.47915512,-0.6037019,-0.15884311,-0.37868243,-0.41150165,-0.19923982,0.08769037,0.25117925,0.06619722,-0.45108017,4
IOPS_118,-0.16815779,-0.51457393,-0.64269763,-0.6473602,-0.6362347,-0.17243238,0.4212813,-0.016006628,-0.16250503,0.11456177,0.27395317,-0.10979882,-0.02011167,0.08477759,0.03265981,0.08613965,-0.39743334,-0.39493927,-0.09903003,0.08147029,-0.37353653,-0.15013151,-0.4543396,-0.85902894,-0.039646633,-0.0005590846,-0.42827398,-0.24386217,-0.09428305,0.305265,0.019823765,-0.39343792,0
IOPS_121,-0.27507252,-0.6250663,-0.54575145,-0.58142346,-0.6224246,-0.031519953,0.38801104,-0.36665332,-0.30805197,-0.25323057,0.6022915,-0.20228195,-0.0056233616,-0.069432564,-0.2437193,0.016490405,-0.38625297,-0.33749697,0.36828926,0.10232105,-0.42234954,-0.2748276,-0.23063298,-0.8314314,-0.15120617,0.3407398,-0.3014343,-0.28624508,-0.5478335,0.14549285,-0.22710438,-0.3064552,4
IOPS_127,-0.3666378,-0.5567951,-0.7087396,-0.45591754,-0.653988,-0.043443058,0.3291042,-0.1775053,-0.2298911,-0.062215783,0.14257772,0.0323954,-0.047188163,0.16199078,0.056654487,0.13465036,-0.43873096,-0.01936019,0.027324222,0.014707633,-0.4079343,-0.18235761,-0.4522656,-0.70759517,-0.22527458,-0.19016486,-0.1787057,-0.22838417,-0.21399005,0.15451586,0.041296024,-0.43015534,4
IOPS_128,-0.19245094,-0.21371476,-0.057753064,-0.5622365,-0.17644937,-0.24046905,-0.1025959,0.25087267,0.12733547,-0.11330931,-0.5597296,-0.5227337,0.0016701401,0.38700777,-0.008795229,-0.32294786,-0.35342208,-0.3937036,-0.38920408,-0.4177129,-0.21910368,-0.1017733,-0.08711265,0.11638066,0.14571948,-0.5352578,-0.61101353,-0.10127054,0.22138871,0.17561747,-0.14427665,-0.26160482,0
IOPS_186,-0.29002428,-0.65823364,-0.38219103,-0.60190696,-0.56142974,-0.042977612,0.353091,-0.51701975,-0.3436588,-0.50078607,0.710466,-0.34509274,0.03572762,-0.13994741,-0.39011618,-0.12238707,-0.36191028,-0.40077284,0.5426349,0.03467418,-0.3619191,-0.3733941,-0.037183303,-0.7661163,-0.14230561,0.55620146,-0.320878,-0.26146328,-0.7455354,0.09345838,-0.40603673,-0.23966892,4
