Dataset,AE_1,AE_2,AE_3,AE_4,target
IOPS_102,-0.39781687,-0.8480419,1.974091,0.65380394,4
IOPS_103,1.9928705,-0.41943294,-0.14961587,-0.909039,4
IOPS_104,1.859107,-0.59830713,0.2831674,-0.72567,2
IOPS_11,-0.54858893,-0.76223063,2.0179307,0.581854,4
IOPS_116,0.841264,-0.50143117,0.6366779,-0.15374108,4
IOPS_118,1.5812651,-0.6237196,0.642387,-0.58868676,0
IOPS_121,1.9736986,-0.42299822,-0.1147515,-0.9011664,4
IOPS_127,0.99172217,-0.055378433,0.20899284,-0.6844925,4
IOPS_128,-0.23119472,-0.60818464,1.3526379,0.7385161,0
IOPS_186,2.1400492,-0.4436473,-0.43212327,-1.0138825,4
IOPS_19,1.3965435,-0.6650756,0.84790474,-0.44391719,0
IOPS_192,2.1390777,-0.33587694,-0.6034075,-1.1068736,4
IOPS_194,-0.078580275,-0.17251714,0.023317408,0.54516643,4
IOPS_199,1.929011,-0.75017655,0.39358822,-0.67216104,4
IOPS_218,0.6707996,-0.66562635,1.0476257,0.022979895,0
IOPS_225,-0.47984213,-0.7432522,2.1419153,0.52905697,0
IOPS_236,-0.5168176,-0.8182062,1.9811081,0.74727094,4
IOPS_24,0.043689374,-0.7922026,1.9530748,0.16467223,0
IOPS_241,-1.0064425,-0.2492884,-0.7234705,1.9560536,2
IOPS_242,-0.4352345,0.7851464,-0.9202267,-1.1288025,4
IOPS_243,-0.95130956,-1.046905,-0.72939885,2.5290287,2
IOPS_246,-0.92449117,-1.1650317,-0.6532403,2.5574245,2
IOPS_255,-0.38403568,-0.011724339,0.053231608,0.53801847,4
IOPS_256,-0.36039424,-0.2484303,0.38936102,0.8693804,4
IOPS_261,1.9701833,-0.5036488,0.01037893,-0.83748174,0
IOPS_264,1.4759895,-0.606397,0.6211545,-0.45392543,0
IOPS_267,-0.3043236,-0.80336434,2.006685,0.48346913,0
IOPS_269,1.5528682,-0.4925716,0.46485513,-0.5942796,0
IOPS_275,2.026838,-0.49542552,-0.09940739,-0.8982483,4
IOPS_285,-0.13466758,-0.8468329,1.8036782,0.5223751,0
IOPS_3,-0.634272,-0.72365904,2.115315,0.5203942,4
IOPS_319,0.862203,-0.8997665,1.5755211,-0.23474756,0
IOPS_327,-0.36013973,-0.10893513,0.11716332,0.68342644,2
IOPS_328,-0.97475964,-1.2620475,-0.61144805,2.4641373,2
IOPS_329,-1.0093838,0.39446473,-0.64123935,0.46210024,3
IOPS_330,0.9518883,0.52419466,-0.68744236,-1.2431192,3
IOPS_331,0.5437016,0.074520424,0.13339658,-0.49581516,0
IOPS_333,-0.7384015,-0.93426764,1.249418,1.4287142,4
IOPS_334,0.31918326,-0.16350442,0.41283894,0.0016026497,0
IOPS_337,-0.72924453,0.16251218,-0.307038,0.6726212,3
IOPS_338,0.7070357,0.5393453,-0.66230685,-1.2084048,4
IOPS_342,-0.9149502,-0.4894108,-0.55252707,2.0052214,3
IOPS_344,0.42975608,-0.74823964,1.4601071,0.03768849,2
IOPS_353,1.9203682,-0.5825129,0.20140262,-0.74960303,0
IOPS_365,0.6902395,-0.48528403,0.8297136,-0.12052002,2
IOPS_381,1.0390881,-0.7187062,1.0784652,-0.25267437,0
IOPS_393,1.7536706,-0.42786774,0.18600498,-0.7149356,4
IOPS_394,2.0268664,-0.4241237,-0.20508204,-0.93162763,4
IOPS_396,1.9657363,-0.49932113,0.006269156,-0.8479861,4
IOPS_401,0.1875087,-0.75878584,1.6524367,0.17956905,2
IOPS_418,0.6427602,-0.3530029,0.82714635,-0.18927409,4
IOPS_427,1.2954975,-0.07974235,0.23044294,-0.81373775,2
IOPS_450,1.5379292,-0.3617202,0.31567857,-0.7014026,4
IOPS_459,-0.5602208,-0.83640647,1.6754423,1.0576497,0
IOPS_46,1.914481,-0.5872584,0.19780089,-0.7335993,0
IOPS_461,1.8533719,-0.31972107,-0.06929722,-0.9018768,4
IOPS_475,1.972382,-0.5899629,0.121353954,-0.8002998,4
IOPS_478,1.9238993,-0.57082254,0.17325225,-0.7736643,4
IOPS_52,1.9583875,-0.4539826,-0.027383938,-0.8683749,0
IOPS_59,1.5274214,-0.6344962,0.71150964,-0.48680246,0
IOPS_68,0.2479618,-0.79906553,1.5261818,0.21138097,2
IOPS_71,0.23383176,-0.72581196,1.3646402,0.24898167,2
IOPS_81,0.5916005,-0.6316974,1.0044394,0.018542731,2
IOPS_87,0.48024914,-0.46294126,0.52852595,0.17807223,2
IOPS_89,1.1420217,-0.54898673,0.6492113,-0.28336865,0
IOPS_94,0.6598914,-0.8082841,1.6404222,-0.23335092,0
IOPS_96,1.8432152,-0.6239182,0.33996612,-0.7045379,4
TravelTime_387,1.3257779,0.117562436,-0.1131475,-0.99268186,0
TravelTime_451,-0.26591927,-0.121214114,0.6192476,0.28628278,1
Twitter_volume_AAPL,-0.90073603,-0.42131352,-0.2520942,1.8293107,1
Twitter_volume_AMZN,0.9452245,-0.026963396,0.022845004,-0.50761014,0
Twitter_volume_CRM,0.2794714,-0.25553188,0.39292672,0.047360767,1
Twitter_volume_CVS,-0.7449623,-0.92769355,1.1889417,1.4925474,1
Twitter_volume_FB,-0.68164784,0.6287446,-0.723466,-0.57989585,1
Twitter_volume_GOOG,1.2565734,0.010374064,-0.040781952,-0.7959512,0
Twitter_volume_IBM,1.1148694,-0.08539222,0.13365825,-0.65325236,1
Twitter_volume_KO,-0.756171,0.1972374,-0.2632852,0.53843135,1
Twitter_volume_PFE,0.7231507,-0.32378304,0.8149864,-0.3424605,0
Twitter_volume_UPS,-0.8429678,-0.5062731,0.35160324,1.4946033,1
ambient_temperature_system_failure,0.19416425,-0.27501264,0.71918243,0.19268475,0
art_daily_flatmiddle,-0.502539,-0.30681464,1.3480146,0.57302946,1
art_daily_jumpsdown,0.056477543,-0.053415325,0.92346144,-0.1951443,0
art_daily_jumpsup,-0.7535101,-0.7601249,1.5210232,0.9208582,1
art_daily_nojump,0.38462377,-0.004698333,0.7286969,-0.5245536,0
art_increase_spike_density,2.1476197,-0.3529789,-0.5634031,-1.1051567,4
art_load_balancer_spikes,0.21537748,0.1324056,0.20880976,-0.4407556,1
cpu_utilization_asg_misconfiguration,2.1241262,-0.3308954,-0.5861403,-1.0931348,4
ec2_cpu_utilization_24ae8d,1.6623204,0.073645316,-0.3653077,-1.0761389,0
ec2_cpu_utilization_53ea38,2.1528273,-0.31463507,-0.65238386,-1.1524583,2
ec2_cpu_utilization_5f5533,2.1376133,-0.336156,-0.56647474,-1.1132779,4
ec2_cpu_utilization_77c1ca,-0.76571006,-0.7405472,1.5233918,0.9266092,1
ec2_cpu_utilization_825cc2,2.0982957,-0.31926298,-0.49992537,-1.0947652,4
ec2_cpu_utilization_ac20cd,-0.7587966,-0.9616218,1.8286673,1.2750452,1
ec2_cpu_utilization_fe7f93,0.15682769,0.19707969,0.3431281,-0.61500907,2
ec2_disk_write_bytes_1ef3de,0.24454318,0.3182618,0.11776808,-0.8113469,1
ec2_disk_write_bytes_c0d644,-0.8292146,-0.86474854,0.99396944,1.4025621,0
ec2_network_in_257a54,-1.0772183,0.29920313,-0.71384317,1.0125716,1
ec2_network_in_5abac7,1.2619348,0.08498604,0.019631237,-1.0323656,0
ec2_request_latency_system_failure,0.49684572,-0.6956308,0.65260214,0.39136666,0
elb_request_count_8c0756,1.9855596,-0.5351908,0.06851269,-0.85383844,0
exchange-2_cpc_results,2.0762491,-0.4294638,-0.20875266,-0.9977329,4
exchange-2_cpm_results,2.1190124,-0.46284616,-0.2727588,-1.0074606,0
exchange-3_cpc_results,-0.7865033,-0.9962038,1.1271236,1.5382411,4
exchange-3_cpm_results,1.960681,-0.21095529,-0.29282108,-1.0757136,0
exchange-4_cpc_results,1.1961036,0.25264627,-0.2735094,-1.1192192,4
exchange-4_cpm_results,1.5522164,0.14797865,-0.3289698,-1.1565185,4
grok_asg_anomaly,1.2038547,-0.23423645,0.13362725,-0.593703,0
iio_us-east-1_i-a2eb1cd9_NetworkIn,1.0145692,0.25283724,-0.25068632,-1.0952617,4
machine_temperature_system_failure,-0.518515,-0.9789922,1.9010488,1.0524414,1
nyc_taxi,2.0835788,-0.42025235,-0.37191892,-0.97986484,4
occupancy_6005,-0.06640661,-0.7485444,2.0258682,0.16413306,0
occupancy_t4013,0.052812904,-0.76424646,1.9455826,0.07859956,1
rds_cpu_utilization_cc0c53,1.9237341,-0.23419675,-0.32014328,-1.0048077,0
rds_cpu_utilization_e47b3b,2.135014,-0.29209086,-0.6380449,-1.1519307,2
